Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/11/2023 20:07:52.541164,0,start,0.99, 1.65, -1.03,-0.09248, -0.09234, -0.01037, 0.99137,1.06, 1.65, -1.01,-0.09248, -0.09234, -0.01037, 0.99137,1.02, 1.65, -1.02,-0.09248, -0.09234, -0.01037, 0.99137,1.02, 1.65, -1.01,-0.19978, -0.05094, -0.01040, 0.97846,336.92, 354.04, 0.00,-0.10, 0.39, 0.91,0.99, 0.00, 0.10,0.04, 0.92, -0.39,TrackingSpace,0.9960938,1.08, 1.65, -1.00,-0.20039, -0.07198, -0.01476, 0.97696,336.82, 351.57, 0.00,-0.13, 0.39, 0.91,0.99, 0.00, 0.15,0.06, 0.92, -0.39,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.555437,1,start,0.98, 1.65, -1.03,-0.09209, -0.08629, -0.00846, 0.99197,1.05, 1.65, -1.02,-0.09209, -0.08629, -0.00846, 0.99197,1.02, 1.65, -1.02,-0.09209, -0.08629, -0.00846, 0.99197,1.02, 1.65, -1.01,-0.19978, -0.05094, -0.01040, 0.97846,336.92, 354.04, 0.00,-0.10, 0.39, 0.91,0.99, 0.00, 0.10,0.04, 0.92, -0.39,TrackingSpace,0.9960938,1.08, 1.65, -1.00,-0.20039, -0.07198, -0.01476, 0.97696,336.82, 351.57, 0.00,-0.13, 0.39, 0.91,0.99, 0.00, 0.15,0.06, 0.92, -0.39,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.569423,2,start,0.98, 1.65, -1.03,-0.09184, -0.07957, -0.00540, 0.99258,1.05, 1.65, -1.02,-0.09184, -0.07957, -0.00540, 0.99258,1.01, 1.65, -1.03,-0.09184, -0.07957, -0.00540, 0.99258,1.00, 1.65, -1.02,-0.20019, -0.02772, -0.00567, 0.97935,336.89, 356.76, 0.00,-0.05, 0.39, 0.92,1.00, 0.00, 0.06,0.02, 0.92, -0.39,TrackingSpace,0.9960938,1.07, 1.65, -1.01,-0.20110, -0.04975, -0.01023, 0.97825,336.77, 354.18, 0.00,-0.09, 0.39, 0.91,0.99, 0.00, 0.10,0.04, 0.92, -0.39,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.583456,3,start,0.97, 1.65, -1.04,-0.09318, -0.07228, -0.00274, 0.99302,1.04, 1.65, -1.03,-0.09318, -0.07228, -0.00274, 0.99302,1.00, 1.65, -1.03,-0.09318, -0.07228, -0.00274, 0.99302,1.00, 1.65, -1.02,-0.20019, -0.02772, -0.00567, 0.97935,336.89, 356.76, 0.00,-0.05, 0.39, 0.92,1.00, 0.00, 0.06,0.02, 0.92, -0.39,TrackingSpace,0.9960938,1.07, 1.65, -1.01,-0.20110, -0.04975, -0.01023, 0.97825,336.77, 354.18, 0.00,-0.09, 0.39, 0.91,0.99, 0.00, 0.10,0.04, 0.92, -0.39,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.597882,4,start,0.96, 1.65, -1.04,-0.09311, -0.06626, -0.00288, 0.99344,1.03, 1.65, -1.03,-0.09311, -0.06626, -0.00288, 0.99344,1.00, 1.65, -1.04,-0.09311, -0.06626, -0.00288, 0.99344,0.99, 1.65, -1.03,-0.20211, -0.01472, -0.00304, 0.97925,336.68, 358.28, 0.00,-0.03, 0.40, 0.92,1.00, 0.00, 0.03,0.01, 0.92, -0.40,TrackingSpace,0.9960938,1.05, 1.65, -1.02,-0.20298, -0.03677, -0.00763, 0.97846,336.56, 355.70, 0.00,-0.07, 0.40, 0.91,1.00, 0.00, 0.08,0.03, 0.92, -0.40,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.612077,5,start,0.96, 1.64, -1.05,-0.09153, -0.06117, -0.00214, 0.99392,1.03, 1.64, -1.04,-0.09153, -0.06117, -0.00214, 0.99392,0.99, 1.64, -1.04,-0.09153, -0.06117, -0.00214, 0.99392,0.99, 1.65, -1.03,-0.20211, -0.01472, -0.00304, 0.97925,336.68, 358.28, 0.00,-0.03, 0.40, 0.92,1.00, 0.00, 0.03,0.01, 0.92, -0.40,TrackingSpace,0.9960938,1.05, 1.65, -1.02,-0.20298, -0.03677, -0.00763, 0.97846,336.56, 355.70, 0.00,-0.07, 0.40, 0.91,1.00, 0.00, 0.08,0.03, 0.92, -0.40,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.626300,6,start,0.95, 1.64, -1.05,-0.08791, -0.05756, -0.00402, 0.99446,1.02, 1.65, -1.04,-0.08791, -0.05756, -0.00402, 0.99446,0.98, 1.65, -1.05,-0.08791, -0.05756, -0.00402, 0.99446,0.99, 1.65, -1.03,-0.20211, -0.01472, -0.00304, 0.97925,336.68, 358.28, 0.00,-0.03, 0.40, 0.92,1.00, 0.00, 0.03,0.01, 0.92, -0.40,TrackingSpace,0.9960938,1.05, 1.65, -1.02,-0.20298, -0.03677, -0.00763, 0.97846,336.56, 355.70, 0.00,-0.07, 0.40, 0.91,1.00, 0.00, 0.08,0.03, 0.92, -0.40,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.640301,7,start,0.94, 1.65, -1.05,-0.08471, -0.05282, -0.01084, 0.99495,1.01, 1.65, -1.05,-0.08471, -0.05282, -0.01084, 0.99495,0.98, 1.65, -1.05,-0.08471, -0.05282, -0.01084, 0.99495,0.97, 1.65, -1.04,-0.20481, -0.00187, -0.00039, 0.97880,336.36, 359.78, 0.00,0.00, 0.40, 0.92,1.00, 0.00, 0.00,0.00, 0.92, -0.40,TrackingSpace,0.9960938,1.04, 1.65, -1.03,-0.20564, -0.02409, -0.00506, 0.97832,336.26, 357.18, 0.00,-0.05, 0.40, 0.91,1.00, 0.00, 0.05,0.02, 0.92, -0.40,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.654527,8,start,0.94, 1.65, -1.06,-0.08361, -0.04815, -0.01607, 0.99521,1.00, 1.65, -1.05,-0.08361, -0.04815, -0.01607, 0.99521,0.97, 1.65, -1.05,-0.08361, -0.04815, -0.01607, 0.99521,0.97, 1.65, -1.04,-0.20481, -0.00187, -0.00039, 0.97880,336.36, 359.78, 0.00,0.00, 0.40, 0.92,1.00, 0.00, 0.00,0.00, 0.92, -0.40,TrackingSpace,0.9960938,1.04, 1.65, -1.03,-0.20564, -0.02409, -0.00506, 0.97832,336.26, 357.18, 0.00,-0.05, 0.40, 0.91,1.00, 0.00, 0.05,0.02, 0.92, -0.40,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 20:07:52.668586,9,start,0.93, 1.65, -1.06,-0.08238, -0.03898, -0.02217, 0.99559,1.00, 1.65, -1.05,-0.08238, -0.03898, -0.02217, 0.99559,0.96, 1.65, -1.06,-0.08238, -0.03898, -0.02217, 0.99559,0.96, 1.64, -1.05,-0.20083, 0.01007, 0.00206, 0.97957,336.83, 1.18, 0.00,0.02, 0.39, 0.92,1.00, 0.00, -0.02,-0.01, 0.92, -0.39,TrackingSpace,0.9960938,1.02, 1.64, -1.04,-0.20195, -0.01491, -0.00307, 0.97928,336.70, 358.26, 0.00,-0.03, 0.40, 0.92,1.00, 0.00, 0.03,0.01, 0.92, -0.40,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
