Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/11/2023 20:09:53.580482,0,start,0.51, 1.29, -0.05,-0.04372, -0.99460, -0.08500, 0.04044,0.44, 1.29, -0.04,-0.04372, -0.99460, -0.08500, 0.04044,0.48, 1.29, -0.05,-0.04372, -0.99460, -0.08500, 0.04044,0.51, 1.28, -0.05,0.00371, 0.99229, 0.12004, -0.03069,346.20, 183.54, 0.00,-0.06, 0.24, -0.97,-1.00, 0.00, 0.06,0.01, 0.97, 0.24,TrackingSpace,0.9960938,0.45, 1.29, -0.05,0.00152, 0.99285, 0.11868, -0.01271,346.37, 181.47, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.03,0.01, 0.97, 0.24,TrackingSpace,0.9960938,0.97, 1.87, -1.33,-0.04392, -0.99473, -0.08357, 0.04011
08/11/2023 20:09:53.594387,1,start,0.51, 1.29, -0.05,-0.04301, -0.99455, -0.08600, 0.04039,0.44, 1.29, -0.04,-0.04301, -0.99455, -0.08600, 0.04039,0.48, 1.29, -0.05,-0.04301, -0.99455, -0.08600, 0.04039,0.51, 1.28, -0.05,0.00371, 0.99229, 0.12004, -0.03069,346.20, 183.54, 0.00,-0.06, 0.24, -0.97,-1.00, 0.00, 0.06,0.01, 0.97, 0.24,TrackingSpace,0.9960938,0.45, 1.29, -0.05,0.00152, 0.99285, 0.11868, -0.01271,346.37, 181.47, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.03,0.01, 0.97, 0.24,TrackingSpace,0.9960938,0.97, 1.88, -1.33,-0.04364, -0.99461, -0.08494, 0.04041
08/11/2023 20:09:53.608677,2,start,0.51, 1.29, -0.05,-0.04217, -0.99454, -0.08665, 0.04005,0.44, 1.29, -0.04,-0.04217, -0.99454, -0.08665, 0.04005,0.48, 1.29, -0.05,-0.04217, -0.99454, -0.08665, 0.04005,0.51, 1.28, -0.05,0.00422, 0.99185, 0.12271, -0.03409,345.90, 183.94, 0.00,-0.07, 0.24, -0.97,-1.00, 0.00, 0.07,0.02, 0.97, 0.24,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00191, 0.99250, 0.12124, -0.01560,346.07, 181.80, 0.00,-0.03, 0.24, -0.97,-1.00, 0.00, 0.03,0.01, 0.97, 0.24,TrackingSpace,0.9960938,0.97, 1.88, -1.33,-0.04295, -0.99456, -0.08594, 0.04035
08/11/2023 20:09:53.622878,3,start,0.51, 1.29, -0.05,-0.04138, -0.99458, -0.08688, 0.03939,0.44, 1.29, -0.04,-0.04138, -0.99458, -0.08688, 0.03939,0.48, 1.29, -0.05,-0.04138, -0.99458, -0.08688, 0.03939,0.51, 1.28, -0.05,0.00422, 0.99185, 0.12271, -0.03409,345.90, 183.94, 0.00,-0.07, 0.24, -0.97,-1.00, 0.00, 0.07,0.02, 0.97, 0.24,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00191, 0.99250, 0.12124, -0.01560,346.07, 181.80, 0.00,-0.03, 0.24, -0.97,-1.00, 0.00, 0.03,0.01, 0.97, 0.24,TrackingSpace,0.9960938,0.97, 1.88, -1.33,-0.04209, -0.99456, -0.08653, 0.03997
08/11/2023 20:09:53.636818,4,start,0.51, 1.29, -0.05,-0.04051, -0.99470, -0.08644, 0.03831,0.44, 1.29, -0.04,-0.04051, -0.99470, -0.08644, 0.03831,0.48, 1.29, -0.05,-0.04051, -0.99470, -0.08644, 0.03831,0.51, 1.28, -0.05,0.00445, 0.99298, 0.11133, -0.03965,347.21, 184.57, 0.00,-0.08, 0.22, -0.97,-1.00, 0.00, 0.08,0.02, 0.98, 0.22,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00194, 0.99382, 0.10962, -0.01757,347.41, 182.03, 0.00,-0.03, 0.22, -0.98,-1.00, 0.00, 0.04,0.01, 0.98, 0.22,TrackingSpace,0.9960938,0.97, 1.88, -1.33,-0.04134, -0.99460, -0.08673, 0.03930
08/11/2023 20:09:53.650889,5,start,0.51, 1.28, -0.05,-0.03941, -0.99488, -0.08538, 0.03699,0.44, 1.29, -0.04,-0.03941, -0.99488, -0.08538, 0.03699,0.48, 1.29, -0.05,-0.03941, -0.99488, -0.08538, 0.03699,0.51, 1.28, -0.05,0.00445, 0.99298, 0.11133, -0.03965,347.21, 184.57, 0.00,-0.08, 0.22, -0.97,-1.00, 0.00, 0.08,0.02, 0.98, 0.22,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00194, 0.99382, 0.10962, -0.01757,347.41, 182.03, 0.00,-0.03, 0.22, -0.98,-1.00, 0.00, 0.04,0.01, 0.98, 0.22,TrackingSpace,0.9960938,0.97, 1.88, -1.33,-0.04040, -0.99471, -0.08632, 0.03821
08/11/2023 20:09:53.664975,6,start,0.51, 1.28, -0.05,-0.03784, -0.99518, -0.08325, 0.03554,0.44, 1.29, -0.04,-0.03784, -0.99518, -0.08325, 0.03554,0.48, 1.29, -0.05,-0.03784, -0.99518, -0.08325, 0.03554,0.51, 1.28, -0.05,0.00392, 0.99323, 0.11066, -0.03523,347.29, 184.06, 0.00,-0.07, 0.22, -0.97,-1.00, 0.00, 0.07,0.02, 0.98, 0.22,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00181, 0.99388, 0.10923, -0.01647,347.46, 181.90, 0.00,-0.03, 0.22, -0.98,-1.00, 0.00, 0.03,0.01, 0.98, 0.22,TrackingSpace,0.9960938,0.98, 1.88, -1.33,-0.03931, -0.99490, -0.08524, 0.03695
08/11/2023 20:09:53.678961,7,start,0.51, 1.28, -0.05,-0.03634, -0.99554, -0.08010, 0.03406,0.44, 1.29, -0.05,-0.03634, -0.99554, -0.08010, 0.03406,0.48, 1.28, -0.05,-0.03634, -0.99554, -0.08010, 0.03406,0.51, 1.28, -0.05,0.00392, 0.99323, 0.11066, -0.03523,347.29, 184.06, 0.00,-0.07, 0.22, -0.97,-1.00, 0.00, 0.07,0.02, 0.98, 0.22,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00181, 0.99388, 0.10923, -0.01647,347.46, 181.90, 0.00,-0.03, 0.22, -0.98,-1.00, 0.00, 0.03,0.01, 0.98, 0.22,TrackingSpace,0.9960938,0.98, 1.88, -1.33,-0.03782, -0.99519, -0.08315, 0.03551
08/11/2023 20:09:53.693648,8,start,0.51, 1.28, -0.05,-0.03474, -0.99601, -0.07550, 0.03261,0.44, 1.29, -0.05,-0.03474, -0.99601, -0.07550, 0.03261,0.48, 1.28, -0.05,-0.03474, -0.99601, -0.07550, 0.03261,0.51, 1.28, -0.05,0.00392, 0.99323, 0.11066, -0.03523,347.29, 184.06, 0.00,-0.07, 0.22, -0.97,-1.00, 0.00, 0.07,0.02, 0.98, 0.22,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00181, 0.99388, 0.10923, -0.01647,347.46, 181.90, 0.00,-0.03, 0.22, -0.98,-1.00, 0.00, 0.03,0.01, 0.98, 0.22,TrackingSpace,0.9960938,0.98, 1.87, -1.33,-0.03629, -0.99557, -0.07981, 0.03406
08/11/2023 20:09:53.707529,9,start,0.51, 1.28, -0.05,-0.03363, -0.99651, -0.06993, 0.03092,0.44, 1.28, -0.05,-0.03363, -0.99651, -0.06993, 0.03092,0.48, 1.28, -0.05,-0.03363, -0.99651, -0.06993, 0.03092,0.51, 1.28, -0.05,0.00337, 0.99368, 0.10782, -0.03106,347.61, 183.58, 0.00,-0.06, 0.21, -0.97,-1.00, 0.00, 0.06,0.01, 0.98, 0.21,TrackingSpace,0.9960938,0.44, 1.29, -0.04,0.00132, 0.99424, 0.10646, -0.01234,347.78, 181.42, 0.00,-0.02, 0.21, -0.98,-1.00, 0.00, 0.02,0.01, 0.98, 0.21,TrackingSpace,0.9960938,0.98, 1.86, -1.34,-0.03477, -0.99603, -0.07523, 0.03258
