Participant,calibration,screenStabilized_headConstrained,screenStabilized_walking,worldStabilized_bodyConstrained,worldStabilized_sphere,worldStabilized_sphere_VR,worldStabilized_walking
p03,1.460179692220974,1.3740215420496735,2.577997522992243,1.6245144231957325,2.110277607959668,2.2080317284459134,2.528227001887368
p04,1.5418614879812913,1.292515083162763,8.430781569684203,1.5002157298594594,2.4677601343416833,6.3883422243500405,4.6249101639831185
p05,1.7156059461281674,1.6974839747552306,2.617584596399679,1.5975869414317092,2.5086247034635054,2.6573923740202874,2.257968816405151
p06_incomplete,2.807280136306615,3.499776618285181,2.7396955949441786,1.7272979418713361,2.89746681169892,2.872584322961756,2.246977657164403
p07,1.6763059375343454,2.0485956278971265,3.3092297447944468,1.9411731013953302,3.3441889462145893,3.5038434008246426,4.315867233669625
p08,1.6966850760296415,2.139763829935241,2.92911826208578,1.8379930671177163,3.29981820185258,3.495200820127639,6.952487168119301
p09,1.645288178273443,1.9435843758308677,3.478507806245978,2.3306301128803586,2.422087071005155,2.6634401726970403,5.1655957735622895
p10,2.011721538531517,2.448437286468643,7.102051930724761,1.8933250340757746,3.330449169797264,4.207936570073018,4.825361152200552
p11,3.0429900432059394,3.2167585538495436,3.445200543991337,2.4975762860129374,3.838096649451371,3.5446989515962106,4.597944787980452
p12,5.38552958906532,5.46625907943084,7.443257433221371,4.929267558289531,6.419975269953335,5.982332621915898,8.94893680104327
p13,2.729634046545484,3.086923050162947,3.51738508403884,2.8008670426928792,3.35728629198468,3.596386440547951,5.516838577242099
p14_incomplete,3.676618206674897,3.1351087200931325,5.154647302848879,2.8491538573878037,8.623598476492782,6.573605708010544,8.26567735900066
p15,1.8290548723338116,2.2155420214655615,3.229023332103318,1.67146253846638,2.473072578308836,2.6305423601560243,3.161872708257449
p16,2.0674708757694944,2.0993180263405,4.817903360910581,2.667919539659473,2.884053781614478,3.1284850685720684,3.468615599446707
p17,2.6900806847712344,3.0832046554303703,5.306825107864912,1.9243616058457573,3.797524570917106,4.54862296492526,4.359166454097891
p18_repeat,1.4602778839678834,1.5445581860814848,3.1210535234083823,1.4482033790464472,3.06204628128113,3.463342066537244,5.600101276811517
p19,1.5236978245270651,1.5633685927098515,2.568662196629016,1.9461209318240438,2.699690102492414,2.8906907263902863,1.8328019232358208
p20,1.4229399748949643,1.1962240732637768,2.2654893590365823,1.15798634710998,2.147432784969081,2.415304872068223,2.248953088720343
p21_incomplete,1.73348652969193,1.4615677950539088,3.457973648675927,1.4892041382192565,2.47830332652947,3.0457868664591676,3.710817428327061
p22,2.414275005439524,2.1023948232212137,5.719384611685944,2.2626634914837593,4.8787943868955,3.6416557715295266,5.439839279359445
p23,1.0051572689031445,1.233348746993157,2.8504218348237558,1.3973902659072828,2.3373995163024768,2.352903297510369,3.4518109587863326
p24_incomplete,3.1206920351266447,1.9279936397483568,4.893863327472149,3.0005225802344757,4.14729348549037,4.142307822579959,9.704836292857044
p25,2.3933822763291905,2.178019707684877,3.0519033349909375,1.8954728573682156,2.803402180061335,3.057479173203175,3.5951084819266703
p26,2.692121412720794,1.6107779919250524,3.094256566815061,1.7617655393720724,3.000086281319306,2.680244661979696,3.268673268001257
p27,2.8884543539316008,2.324142427336721,3.436132046866871,1.5647863715922838,2.69703089190034,2.952072186256486,3.6021880170301275
p28,3.505307223631595,3.534908777937143,3.566297692378346,2.191670444123048,3.672784585381489,4.527726797275946,4.73747228658627
p29,2.8920440517622836,2.5824584087205364,3.0346226886380254,2.304296328599345,2.5574289019203835,2.6567852252591933,2.8710797401072568
p30_incomplete,2.260972702341066,3.477227604641076,3.2846807416131516,2.388029088245867,3.675635116884561,4.769699713033272,5.04069434204486
p31,2.458747382077422,2.801107893779856,3.611940529062757,2.920395009656652,3.446290160667013,3.350464870375866,8.90289419570325
p32,2.1278788303799465,2.0749943672906728,2.4053249089112527,2.5662035222652912,3.3562670803461203,3.7056148722040083,2.876472332274898
p33,2.1615163489849802,2.436819058135816,5.519868376437001,2.1970870296030975,4.260655329317743,3.9663415353619778,7.353273959358214
