Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
p03,calibration,1.5,1.460179692220974,1.460179692220974,,1.5316883444074638,1.5316883444074638,,2.845954486028245,0.2867869023391041,,2.858861385213345,2.858861385213345,,2.6000909601839015,0.2618960941385984,
p03,screenStabilized_headConstrained,1.5,1.3740215420496735,1.6325892712298893,1.2967125866259925,1.4245224172788862,1.719364326045423,1.3363652814461346,,,0.3744115927623296,2.6346250548659147,3.592107469729117,2.348300368234874,,,0.34223903327640226
p03,screenStabilized_walking,1.5,2.577997522992243,2.747892220357172,2.52715203524882,4.208139286381448,4.942731409644683,3.9882815017838236,,,,11.308375399574302,13.11078089076324,10.768985306548025,,,
p03,worldStabilized_bodyConstrained,1.5,1.6245144231957325,1.5480932569222898,1.6473772651833554,1.781748083967488,1.7513239712209276,1.7908500345952674,,,,4.543187129274425,4.92450659485547,4.429108175582588,,,
p03,worldStabilized_sphere,1.5,2.110277607959668,1.3284638884046793,3.0380888462267728,2.888539124391395,1.6094427626731955,4.406500820051077,,,,11.245041051255955,10.725241919992172,11.861909719687912,,,
p03,worldStabilized_sphere_VR,1.5,2.2080317284459134,1.3682479358086554,3.2088713628790053,2.978520084088064,1.6494359702634724,4.562484850447843,,,,11.339678227484425,10.833058190937383,11.943450435804507,,,
p03,worldStabilized_walking,1.5,2.528227001887368,2.228953764771857,2.6177724309277215,4.187897875318473,3.8841867156367886,4.278776814691254,,,,11.842598249312807,10.878493046659461,12.131096412573672,,,
p04,calibration,1.5,1.5418614879812913,1.5418614879812913,,1.5958653792237976,1.5958653792237976,,3.191910446156716,0.4053510182717678,,3.077096752343561,3.077096752343561,,2.7655108628353346,0.35204788267427833,
p04,screenStabilized_headConstrained,1.5,1.292515083162763,1.0519817076294018,1.3644752065910262,1.340871993232116,1.1113309040689177,1.4095435656133497,,,0.382515508901378,2.2818735344053165,3.2692966770818206,1.9864671648511267,,,0.3328057529107925
p04,screenStabilized_walking,1.5,8.430781569684203,6.924572926636192,8.880197807090479,16.01838192284371,13.186085089549865,16.863031887884226,,,,26.88278182986808,25.46217250247977,27.305864138485973,,,
p04,worldStabilized_bodyConstrained,1.5,1.5002157298594594,1.422682732535296,1.5234147514137044,1.727845871947027,1.7589130882242232,1.71854883191715,,,,4.929114274866034,5.69725859216641,4.6992632675660015,,,
p04,worldStabilized_sphere,1.5,2.4677601343416833,1.9562768772697,3.0747531351192685,3.944821724270679,3.129409360374522,4.912493246099583,,,,17.14300181478764,16.965929843830097,17.35312603096874,,,
p04,worldStabilized_sphere_VR,1.5,6.3883422243500405,6.078790970054761,6.757169758386777,9.195102345435522,8.384611827340606,10.16065744191191,,,,20.30739897271259,20.246642601260156,20.379725103885136,,,
p04,worldStabilized_walking,1.5,4.6249101639831185,4.436983255315515,4.680545349667365,8.718793184489574,8.269904865753883,8.85208101391314,,,,22.642439257233505,22.35119308501013,22.728856773120633,,,
p05,calibration,1.5,1.7156059461281674,1.7156059461281674,,3.6095896635255853,3.6095896635255853,,11.054853511837646,0.9346788498286425,,23.349033458923298,23.349033458923298,,13.761921370193251,1.407620648676897,
p05,screenStabilized_headConstrained,1.5,1.6974839747552306,1.6721063797709608,1.7051445808253396,4.269819352255817,2.724265840264028,4.734474470761918,,,2.7188455922717556,21.81265883155168,21.5347242142282,21.896398699466637,,,4.056555213878493
