Participant,calibration,screenStabilized_headConstrained,screenStabilized_walking,worldStabilized_bodyConstrained,worldStabilized_sphere,worldStabilized_sphere_VR,worldStabilized_walking
p03,1.5316883444074638,1.4245224172788862,4.208139286381448,1.781748083967488,2.888539124391395,2.978520084088064,4.187897875318473
p04,1.5958653792237976,1.340871993232116,16.01838192284371,1.727845871947027,3.944821724270679,9.195102345435522,8.718793184489574
p05,3.6095896635255853,4.269819352255817,4.1404010316155375,2.76762932250925,3.278545163591885,3.5415262620607812,3.3542539133507727
p06_incomplete,2.959366494394542,3.6230689002325187,4.424647320236858,1.9320783375810446,4.768355013082356,4.544033280646722,3.4703207662299063
p07,1.7466297433486921,2.1226574029059826,5.7076273481477315,2.197566465467708,4.2277329031360695,4.390733319897507,6.148904054771352
p08,1.820587776665072,2.225460831757578,4.401326582270782,2.0116709053504143,4.585867628884969,4.85512407084491,10.973904159832815
p09,1.729990733827095,2.0161496616774066,6.426005829478677,2.565506096226164,3.3905577199472137,3.524652424026756,8.3200161396276
p10,2.102698455128995,2.541241994640867,12.298535617266445,2.102390158681583,4.560446978778453,5.52121142739058,6.988791082098917
p11,3.159567001779007,3.3119466017507175,5.543425848883274,2.7453101038312444,4.797826136074876,4.479786041295564,7.715183498042085
p12,5.787128185316467,5.746918358193123,10.89598278401777,5.516819314928344,8.489774773759866,7.67980993367283,14.132142398927968
p13,2.9081056131067937,3.181324510868653,5.372771217969051,3.0464918225947732,4.504326453304898,4.805467319552479,9.572426741170108
p14_incomplete,3.8393021842479462,3.2485108069068866,9.544619427731531,3.1657712809553713,13.326385055425746,9.816004207950922,12.011136364495826
p15,1.9017196693812877,2.291526146731222,6.029619899839107,1.8834738680684966,3.29103844992975,3.4933419067509797,5.101131007208201
p16,2.1379612774099095,2.18591916850931,7.985186727486173,2.958437238467126,3.79987996350834,4.033746585963769,5.394795634661248
p17,2.800528659482777,3.183951912324135,8.086858020697463,2.195142153835496,4.949107112585196,5.916133382637761,6.9464285165547786
p18_repeat,1.514860508916152,1.605098405274739,5.797249360279729,1.6256767917147443,4.199024057400187,4.480526467423765,9.581218907921242
p19,1.5928630360617113,1.6097164404405309,4.032254517268495,2.245187319195236,3.656363943023549,3.9344978403427815,3.1138984801831366
p20,1.4932335762154487,1.2448392050632202,3.617307098808618,1.2685016758943228,2.930065330949806,3.3001247219301657,3.5181393938991636
p21_incomplete,1.8494891749566826,1.5145334165807651,5.4138582924658145,1.7064380193643158,3.3197486682676423,4.463983164474202,5.382071439668277
p22,2.5310469488676604,2.17059607505907,9.010562973958569,2.506473490340063,6.480988945934589,4.997299455722828,8.705125383274051
p23,1.060903268600204,1.2871796145263663,4.989713399771481,1.6677533507400697,3.3250678002038168,3.228506881392259,5.224086488939976
p24_incomplete,3.3389798809635094,1.998567122635805,7.586451507863723,3.540539845324053,5.625789283149168,5.608448782192436,15.785544474114921
p25,2.4836706178108208,2.2683694576455187,4.301528529499952,2.2312113608456956,3.7891318023774954,4.16660163778805,5.796136202454726
p26,2.81221467406169,1.6743529228430096,5.415442549330912,1.9915653996268303,4.054964166806513,3.7186516884501337,5.083054287757377
p27,3.055406563343683,2.4412692230131494,5.513611580696408,1.7805866135667503,3.5976928176134972,4.017904211954981,5.88919717210558
p28,3.6875796363419964,3.692292621852804,5.396006963454514,2.489925589263311,4.898663346265998,5.985736813866653,7.239000249185519
p29,3.022891688574788,2.6366756135065286,4.792958725839377,2.697531088280128,3.469693606372014,3.6099590336131464,4.438694143460115
p30_incomplete,2.346297857452975,3.6075489634924818,5.414477923793246,2.8850414640598583,4.893281167544808,6.322733725068048,7.516858806589132
p31,2.5611658508385626,2.8863755138613603,5.895385010002882,3.5846448019886212,4.789431062052346,4.621756753080765,13.379427418587333
p32,2.239899725612846,2.163523483751409,3.988479083715823,2.9588451234451094,4.182683709590014,4.647219410236554,4.821520900949325
p33,2.2513988797917843,2.5845339752802823,8.218364628549317,2.5425405345914402,5.7879215153180485,5.308848574962035,11.574835704922169
