Participant,calibration,screenStabilized_headConstrained,screenStabilized_walking,worldStabilized_bodyConstrained,worldStabilized_sphere,worldStabilized_sphere_VR,worldStabilized_walking
p03,2.858861385213345,2.6346250548659147,11.308375399574302,4.543187129274425,11.245041051255955,11.339678227484425,11.842598249312807
p04,3.077096752343561,2.2818735344053165,26.88278182986808,4.929114274866034,17.14300181478764,20.30739897271259,22.642439257233505
p05,23.349033458923298,21.81265883155168,36.94278104321558,20.221888847790808,37.43614292056576,35.983268775737585,41.46049271856381
p06_incomplete,31.396010270019648,31.44349381794209,20.99475283365307,31.635149739494786,21.606999109953094,21.92534395984869,21.691139254313725
p07,3.0455000914168853,2.808668909472907,20.417278688414527,5.53043354937844,18.95766322635464,19.02652978247859,20.93995947017325
p08,2.4964961279118425,2.6075168822219466,9.208744415794328,3.2459670153802387,10.053576491100749,9.931330515142356,15.349032415074799
p09,2.542566889358796,2.4796681369943796,10.210373615748347,3.4185442733659173,8.424699576320423,7.8793517074145845,11.424338293306956
p10,3.4903293145685703,3.6802710947466433,25.654769486488465,5.206599375699755,19.66164279276719,19.4796079497457,21.82855540092931
p11,3.314762564837543,3.3396746723240387,17.106364672559508,4.964407660055212,14.459858538605936,14.591527849789479,18.491100844005608
p12,7.077592663243675,6.478974227352602,21.783378696316486,7.359699464445365,19.826220305728185,19.141472486019296,26.016592664499115
p13,3.3676670793937196,3.303585127509616,9.314721802043426,3.4634751830320916,8.244674999685325,8.241808506512022,12.418447323233593
p14_incomplete,5.624391751746089,4.7626166331287205,23.29892103377371,6.255925834478746,25.20769010598037,22.754203055639856,23.302389025918472
p15,4.026491916333536,3.686813320244907,19.332756572114583,5.2033676491897625,17.35282902353879,17.11082432015182,19.34306413991547
p16,2.5484983168753814,2.2773484168250295,16.98569188950858,4.4506093439534755,14.4361731418476,14.394636994380782,15.743313240550481
p17,3.7729413507269665,4.365343401829111,22.05524118937599,5.811631828509711,20.880097572482494,20.774832940580126,23.353209282175307
p18_repeat,3.4671155915321945,3.043784053123863,17.252674644289726,5.09710296146484,16.0186933453201,15.926381263070294,21.572818404121204
p19,3.119155824648197,2.918623754186651,16.059002526582972,5.3478081040810475,16.509001773668608,16.32859664790979,18.259579001488458
p20,2.530647275302946,1.9091005328057924,9.412437799060763,2.965306224277548,8.845353001751459,8.628604161976725,9.61403289776403
p21_incomplete,3.0044969171036042,2.5229383364909594,14.765524267450653,4.514509335549887,12.827005904015149,13.98619377816596,15.80438852084116
p22,2.989041006142531,2.3973595785384627,15.796148915048857,3.721297623583909,12.350376107756535,11.446437628583924,15.442172749053004
p23,3.271100654994992,2.9825548138309363,17.889052694494012,5.139963373669252,15.804653353889485,15.800198369152236,16.864603259895837
p24_incomplete,3.5957520472987445,2.2138097110319546,9.507530477680113,4.879039721267341,8.343854645141574,8.423344165931287,16.502009648598893
p25,3.3561554168556382,3.100793444974436,18.61167331932464,5.748803012799659,18.67552650936267,18.601750296072424,21.070823530367235
p26,4.17132279383499,2.650090192198717,17.22798508157651,4.3072297906319506,16.53972848395955,17.095571961888503,17.718198499194635
p27,3.4939214625202752,3.273875587493838,14.704870886553275,3.542883055006868,12.166121146509132,12.023937711210465,14.353316840998723
p28,3.330584467723069,3.2314099652398536,8.822173694403904,2.726442586297753,8.339240254492037,9.184787312957791,11.28488853187715
p29,3.296607938213717,2.2256147303212606,12.097101063905743,4.138693670507573,11.353787180209606,11.723802202063787,12.728568319210057
p30_incomplete,3.0489248987777815,4.549569543928978,18.544507489822806,6.0334678415203165,16.274889973199333,16.51278640173036,18.87145119658544
p31,2.734536148139071,2.9876478818377787,8.59605501481904,3.9729866392186057,7.579607336395297,7.22883925581586,14.678616561445327
p32,2.886069598060266,3.0602445670117353,23.203797907869074,6.734379823198754,20.829396510520105,21.414540151204193,22.313385012822806
p33,4.059937917224278,3.7074091159940243,20.771744801548838,6.225159418028715,19.740425425996662,19.225232612546016,23.136599249142524
