Participant,calibration
p03,2.6000909601839015
p04,2.7655108628353346
p05,13.761921370193251
p06_incomplete,8.925232306878716
p07,3.026360681271198
p08,2.3782512800182936
p09,2.6957651562423166
p10,2.660568845473227
p11,2.440487484639611
p12,1.9708059639657018
p13,2.5582387548648624
p14_incomplete,2.5269519611526032
p15,2.5602094666754702
p16,2.5197126003597576
p17,2.646198716878644
p18_repeat,2.626100620939752
p19,2.824148742800194
p20,2.378077377638933
p21_incomplete,2.7658944899888187
p22,2.327234304937299
p23,2.8409334711066254
p24_incomplete,2.7826264093416007
p25,2.4644934004403316
p26,2.1983080893340645
p27,2.834951683253954
p28,2.5780035484009827
p29,3.079030987455997
p30_incomplete,2.5652076704124114
p31,2.761378903445572
p32,2.783078103076814
p33,2.602035886151392
