,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Euclidean Error
0,07/20/2023 14:35:42.439483,227,static,-2.1,1.01,0.34,-0.00566,-0.69785,-0.00325,-0.71621,-2.1,1.01,0.28,-0.00566,-0.69785,-0.00325,-0.71621,-2.1,1.01,0.31,-0.00566,-0.69785,-0.00325,-0.71621,-2.1,1.0,0.34,0.06729,0.62293,-0.05391,0.77751,9.89,77.4,0.0,0.96,-0.17,0.21,0.22,0.0,-0.98,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06802,0.60619,-0.05215,0.79068,9.83,74.95,0.0,0.95,-0.17,0.26,0.26,0.0,-0.97,0.16,0.99,0.04,TrackingSpace,0.9980469,1.24,0.37,1.16,-0.00577,-0.69785,-0.00329,-0.71621,-1.0088214803783768,0.8107647331876404,0.5783349708914223,1.0,0.0,-3.34,0.64,-0.8499999999999999,-1.0911785196216233,0.19423526681235947,-0.2683349708914222,0.8458684556670464,1.1735492091279751
1,07/20/2023 14:35:42.453164,228,static,-2.1,1.01,0.34,-0.00556,-0.69787,-0.00323,-0.7162,-2.1,1.01,0.28,-0.00556,-0.69787,-0.00323,-0.7162,-2.1,1.01,0.31,-0.00556,-0.69787,-0.00323,-0.7162,-2.1,1.0,0.34,0.06729,0.62293,-0.05391,0.77751,9.89,77.4,0.0,0.96,-0.17,0.21,0.22,0.0,-0.98,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06802,0.60619,-0.05215,0.79068,9.83,74.95,0.0,0.95,-0.17,0.26,0.26,0.0,-0.97,0.16,0.99,0.04,TrackingSpace,0.9980469,1.24,0.37,1.16,-0.00566,-0.69786,-0.00327,-0.7162,-1.0088214803783768,0.8107647331876404,0.5783349708914223,1.0,0.0,-3.34,0.64,-0.8499999999999999,-1.0911785196216233,0.19423526681235947,-0.2683349708914222,0.8458684556670464,1.1735492091279751
2,07/20/2023 14:35:42.467376,229,static,-2.1,1.01,0.34,-0.00551,-0.69792,-0.00324,-0.71615,-2.1,1.01,0.28,-0.00551,-0.69792,-0.00324,-0.71615,-2.1,1.01,0.31,-0.00551,-0.69792,-0.00324,-0.71615,-2.1,1.0,0.34,0.06635,0.62497,-0.05344,0.77599,9.77,77.69,0.0,0.96,-0.17,0.21,0.21,0.0,-0.98,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06717,0.60612,-0.05148,0.79086,9.71,74.93,0.0,0.95,-0.17,0.26,0.26,0.0,-0.97,0.16,0.99,0.04,TrackingSpace,0.9980469,1.24,0.37,1.16,-0.00556,-0.69787,-0.00323,-0.71619,-1.0088214803783768,0.8107647331876404,0.5783349708914223,1.0,0.0,-3.34,0.64,-0.8499999999999999,-1.0911785196216233,0.19423526681235947,-0.2683349708914222,0.8458684556670464,1.1735492091279751
3,07/20/2023 14:35:42.481261,230,static,-2.1,1.01,0.34,-0.00549,-0.69798,-0.0032,-0.71609,-2.1,1.01,0.28,-0.00549,-0.69798,-0.0032,-0.71609,-2.1,1.01,0.31,-0.00549,-0.69798,-0.0032,-0.71609,-2.1,1.0,0.34,0.06635,0.62497,-0.05344,0.77599,9.77,77.69,0.0,0.96,-0.17,0.21,0.21,0.0,-0.98,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06717,0.60612,-0.05148,0.79086,9.71,74.93,0.0,0.95,-0.17,0.26,0.26,0.0,-0.97,0.16,0.99,0.04,TrackingSpace,0.9980469,1.24,0.37,1.16,-0.00551,-0.69792,-0.00324,-0.71615,-1.0088214803783768,0.8107647331876404,0.5783349708914223,1.0,0.0,-3.34,0.64,-0.8499999999999999,-1.0911785196216233,0.19423526681235947,-0.2683349708914222,0.8458684556670464,1.1735492091279751
4,07/20/2023 14:35:42.495078,231,static,-2.1,1.01,0.34,-0.00556,-0.69806,-0.00316,-0.71601,-2.1,1.01,0.28,-0.00556,-0.69806,-0.00316,-0.71601,-2.1,1.01,0.31,-0.00556,-0.69806,-0.00316,-0.71601,-2.1,1.0,0.34,0.06702,0.6249,-0.05397,0.77595,9.87,77.69,0.0,0.96,-0.17,0.21,0.21,0.0,-0.98,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06784,0.60602,-0.05199,0.79085,9.81,74.92,0.0,0.95,-0.17,0.26,0.26,0.0,-0.97,0.16,0.99,0.04,TrackingSpace,0.9980469,1.25,0.37,1.16,-0.00551,-0.69799,-0.00322,-0.71608,-1.0088214803783768,0.8107647331876404,0.5783349708914223,1.0,0.0,-3.35,0.64,-0.8499999999999999,-1.0911785196216233,0.19423526681235947,-0.2683349708914222,0.8001190013971176,1.1580447061465924
5,07/20/2023 14:35:42.509168,232,static,-2.1,1.01,0.34,-0.00561,-0.69814,-0.00311,-0.71593,-2.1,1.01,0.28,-0.00561,-0.69814,-0.00311,-0.71593,-2.1,1.01,0.31,-0.00561,-0.69814,-0.00311,-0.71593,-2.1,1.0,0.34,0.06702,0.6249,-0.05397,0.77595,9.87,77.69,0.0,0.96,-0.17,0.21,0.21,0.0,-0.98,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06784,0.60602,-0.05199,0.79085,9.81,74.92,0.0,0.95,-0.17,0.26,0.26,0.0,-0.97,0.16,0.99,0.04,TrackingSpace,0.9980469,1.25,0.37,1.16,-0.00557,-0.69806,-0.00316,-0.71601,-1.0088214803783768,0.8107647331876404,0.5783349708914223,1.0,0.0,-3.35,0.64,-0.8499999999999999,-1.0911785196216233,0.19423526681235947,-0.2683349708914222,0.8001190013971176,1.1580447061465924
6,07/20/2023 14:35:42.523087,233,static,-2.1,1.01,0.34,-0.00568,-0.69822,-0.00303,-0.71585,-2.1,1.01,0.28,-0.00568,-0.69822,-0.00303,-0.71585,-2.1,1.01,0.31,-0.00568,-0.69822,-0.00303,-0.71585,-2.1,1.0,0.34,0.0677,0.62101,-0.05397,0.77901,9.93,77.12,0.0,0.96,-0.17,0.22,0.22,0.0,-0.97,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06843,0.60344,-0.05209,0.79275,9.87,74.56,0.0,0.95,-0.17,0.26,0.27,0.0,-0.96,0.17,0.99,0.05,TrackingSpace,0.9980469,1.25,0.37,1.16,-0.00563,-0.69813,-0.00311,-0.71594,-0.7521754767332712,0.7650802655685707,0.6485496821778096,1.0,0.0,-3.35,0.64,-0.8499999999999999,-1.3478245232667287,0.23991973443142922,-0.33854968217780956,0.7089043987805486,1.6592606058812618
7,07/20/2023 14:35:42.536871,234,static,-2.1,1.01,0.34,-0.0057,-0.69832,-0.00292,-0.71576,-2.1,1.01,0.28,-0.0057,-0.69832,-0.00292,-0.71576,-2.1,1.01,0.31,-0.0057,-0.69832,-0.00292,-0.71576,-2.1,1.0,0.34,0.0677,0.62101,-0.05397,0.77901,9.93,77.12,0.0,0.96,-0.17,0.22,0.22,0.0,-0.97,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06843,0.60344,-0.05209,0.79275,9.87,74.56,0.0,0.95,-0.17,0.26,0.27,0.0,-0.96,0.17,0.99,0.05,TrackingSpace,0.9980469,1.25,0.37,1.16,-0.00568,-0.69821,-0.00303,-0.71586,-0.7521754767332712,0.7650802655685707,0.6485496821778096,1.0,0.0,-3.35,0.64,-0.8499999999999999,-1.3478245232667287,0.23991973443142922,-0.33854968217780956,0.7089043987805486,1.6592606058812618
8,07/20/2023 14:35:42.551174,235,static,-2.1,1.01,0.34,-0.00564,-0.69845,-0.00274,-0.71563,-2.1,1.01,0.28,-0.00564,-0.69845,-0.00274,-0.71563,-2.1,1.01,0.31,-0.00564,-0.69845,-0.00274,-0.71563,-2.1,1.0,0.34,0.0677,0.62101,-0.05397,0.77901,9.93,77.12,0.0,0.96,-0.17,0.22,0.22,0.0,-0.97,0.17,0.99,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.06843,0.60344,-0.05209,0.79275,9.87,74.56,0.0,0.95,-0.17,0.26,0.27,0.0,-0.96,0.17,0.99,0.05,TrackingSpace,0.9980469,1.25,0.37,1.16,-0.00571,-0.69832,-0.00293,-0.71576,-0.7521754767332712,0.7650802655685707,0.6485496821778096,1.0,0.0,-3.35,0.64,-0.8499999999999999,-1.3478245232667287,0.23991973443142922,-0.33854968217780956,0.7089043987805486,1.6592606058812618
9,07/20/2023 14:35:42.564956,236,static,-2.1,1.01,0.34,-0.00558,-0.69853,-0.00266,-0.71556,-2.1,1.01,0.28,-0.00558,-0.69853,-0.00266,-0.71556,-2.1,1.01,0.31,-0.00558,-0.69853,-0.00266,-0.71556,-2.1,1.0,0.34,0.06939,0.62099,-0.05533,0.77878,10.18,77.14,0.0,0.96,-0.18,0.22,0.22,0.0,-0.97,0.17,0.98,0.04,TrackingSpace,0.9980469,-2.1,1.01,0.28,0.07013,0.60344,-0.0534,0.79252,10.11,74.57,0.0,0.95,-0.18,0.26,0.27,0.0,-0.96,0.17,0.98,0.05,TrackingSpace,0.9980469,1.25,0.37,1.16,-0.00564,-0.69846,-0.00274,-0.71562,-0.7521765955949719,0.7509675715024048,0.6485489362700917,1.0,0.0,-3.35,0.64,-0.8499999999999999,-1.3478234044050281,0.2540324284975951,-0.33854893627009164,0.18874588357009955,0.16676232079788306
