Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/03/2023 19:31:27.083207,0,start,0.18, 1.31, -0.45,0.12903, 0.05366, 0.01592, -0.99006,0.25, 1.30, -0.44,0.12903, 0.05366, 0.01592, -0.99006,0.22, 1.31, -0.44,0.12903, 0.05366, 0.01592, -0.99006,0.18, 1.30, -0.45,-0.18255, -0.05437, -0.01011, 0.98164,338.93, 353.66, 0.00,-0.10, 0.36, 0.93,0.99, 0.00, 0.11,0.04, 0.93, -0.36,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.18238, -0.07155, -0.01331, 0.98053,338.93, 351.65, 0.00,-0.14, 0.36, 0.92,0.99, 0.00, 0.15,0.05, 0.93, -0.36,TrackingSpace,0.9980469,0.09, 1.63, 0.76,0.12950, 0.05286, 0.01518, -0.99005
08/03/2023 19:31:27.097039,1,start,0.18, 1.31, -0.45,0.12847, 0.05444, 0.01676, -0.99008,0.25, 1.30, -0.44,0.12847, 0.05444, 0.01676, -0.99008,0.22, 1.31, -0.44,0.12847, 0.05444, 0.01676, -0.99008,0.18, 1.30, -0.45,-0.18255, -0.05437, -0.01011, 0.98164,338.93, 353.66, 0.00,-0.10, 0.36, 0.93,0.99, 0.00, 0.11,0.04, 0.93, -0.36,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.18238, -0.07155, -0.01331, 0.98053,338.93, 351.65, 0.00,-0.14, 0.36, 0.92,0.99, 0.00, 0.15,0.05, 0.93, -0.36,TrackingSpace,0.9980469,0.09, 1.63, 0.76,0.12901, 0.05367, 0.01593, -0.99006
08/03/2023 19:31:27.111306,2,start,0.18, 1.31, -0.45,0.12813, 0.05518, 0.01778, -0.99006,0.25, 1.30, -0.44,0.12813, 0.05518, 0.01778, -0.99006,0.22, 1.31, -0.44,0.12813, 0.05518, 0.01778, -0.99006,0.18, 1.30, -0.45,-0.16748, -0.05752, -0.00979, 0.98415,340.68, 353.31, 0.00,-0.11, 0.33, 0.94,0.99, 0.00, 0.12,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16739, -0.07375, -0.01256, 0.98305,340.67, 351.42, 0.00,-0.14, 0.33, 0.93,0.99, 0.00, 0.15,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.09, 1.63, 0.76,0.12852, 0.05446, 0.01674, -0.99007
08/03/2023 19:31:27.125553,3,start,0.18, 1.31, -0.45,0.12809, 0.05583, 0.01884, -0.99001,0.25, 1.30, -0.44,0.12809, 0.05583, 0.01884, -0.99001,0.22, 1.31, -0.44,0.12809, 0.05583, 0.01884, -0.99001,0.18, 1.30, -0.45,-0.16748, -0.05752, -0.00979, 0.98415,340.68, 353.31, 0.00,-0.11, 0.33, 0.94,0.99, 0.00, 0.12,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16739, -0.07375, -0.01256, 0.98305,340.67, 351.42, 0.00,-0.14, 0.33, 0.93,0.99, 0.00, 0.15,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12814, 0.05518, 0.01781, -0.99006
08/03/2023 19:31:27.139705,4,start,0.18, 1.31, -0.45,0.12807, 0.05631, 0.01988, -0.98997,0.25, 1.30, -0.44,0.12807, 0.05631, 0.01988, -0.98997,0.22, 1.31, -0.44,0.12807, 0.05631, 0.01988, -0.98997,0.18, 1.30, -0.45,-0.16684, -0.06165, -0.01045, 0.98400,340.75, 352.83, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.12,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16677, -0.07821, -0.01327, 0.98280,340.74, 350.90, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12811, 0.05582, 0.01885, -0.99001
08/03/2023 19:31:27.153634,5,start,0.18, 1.31, -0.45,0.12811, 0.05686, 0.02063, -0.98991,0.25, 1.30, -0.44,0.12811, 0.05686, 0.02063, -0.98991,0.22, 1.31, -0.44,0.12811, 0.05686, 0.02063, -0.98991,0.18, 1.30, -0.45,-0.16684, -0.06165, -0.01045, 0.98400,340.75, 352.83, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.12,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16677, -0.07821, -0.01327, 0.98280,340.74, 350.90, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.63, 0.76,0.12814, 0.05631, 0.01987, -0.98996
08/03/2023 19:31:27.168172,6,start,0.18, 1.31, -0.45,0.12789, 0.05721, 0.02152, -0.98990,0.25, 1.30, -0.44,0.12789, 0.05721, 0.02152, -0.98990,0.22, 1.31, -0.44,0.12789, 0.05721, 0.02152, -0.98990,0.18, 1.30, -0.45,-0.16684, -0.06165, -0.01045, 0.98400,340.75, 352.83, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.12,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16677, -0.07821, -0.01327, 0.98280,340.74, 350.90, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.63, 0.76,0.12810, 0.05680, 0.02062, -0.98992
08/03/2023 19:31:27.182494,7,start,0.18, 1.31, -0.45,0.12749, 0.05758, 0.02254, -0.98991,0.25, 1.30, -0.44,0.12749, 0.05758, 0.02254, -0.98991,0.22, 1.31, -0.44,0.12749, 0.05758, 0.02254, -0.98991,0.18, 1.31, -0.45,-0.17216, -0.06257, -0.01096, 0.98302,340.13, 352.72, 0.00,-0.12, 0.34, 0.93,0.99, 0.00, 0.13,0.04, 0.94, -0.34,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.17214, -0.07917, -0.01388, 0.98179,340.11, 350.78, 0.00,-0.15, 0.34, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.34,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12787, 0.05720, 0.02150, -0.98991
08/03/2023 19:31:27.196450,8,start,0.18, 1.31, -0.45,0.12704, 0.05775, 0.02379, -0.98993,0.25, 1.30, -0.44,0.12704, 0.05775, 0.02379, -0.98993,0.22, 1.31, -0.44,0.12704, 0.05775, 0.02379, -0.98993,0.18, 1.31, -0.45,-0.17216, -0.06257, -0.01096, 0.98302,340.13, 352.72, 0.00,-0.12, 0.34, 0.93,0.99, 0.00, 0.13,0.04, 0.94, -0.34,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.17214, -0.07917, -0.01388, 0.98179,340.11, 350.78, 0.00,-0.15, 0.34, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.34,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12746, 0.05752, 0.02258, -0.98992
08/03/2023 19:31:27.210562,9,start,0.18, 1.31, -0.44,0.12664, 0.05771, 0.02488, -0.98996,0.25, 1.30, -0.44,0.12664, 0.05771, 0.02488, -0.98996,0.22, 1.31, -0.44,0.12664, 0.05771, 0.02488, -0.98996,0.18, 1.31, -0.45,-0.17188, -0.06273, -0.01097, 0.98306,340.17, 352.70, 0.00,-0.12, 0.34, 0.93,0.99, 0.00, 0.13,0.04, 0.94, -0.34,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.17194, -0.07901, -0.01384, 0.98184,340.13, 350.80, 0.00,-0.15, 0.34, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.34,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12703, 0.05772, 0.02379, -0.98993
08/03/2023 19:31:27.224742,10,start,0.18, 1.31, -0.44,0.12645, 0.05753, 0.02571, -0.98997,0.25, 1.30, -0.44,0.12645, 0.05753, 0.02571, -0.98997,0.22, 1.31, -0.44,0.12645, 0.05753, 0.02571, -0.98997,0.18, 1.31, -0.45,-0.17188, -0.06273, -0.01097, 0.98306,340.17, 352.70, 0.00,-0.12, 0.34, 0.93,0.99, 0.00, 0.13,0.04, 0.94, -0.34,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.17194, -0.07901, -0.01384, 0.98184,340.13, 350.80, 0.00,-0.15, 0.34, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.34,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12667, 0.05767, 0.02487, -0.98995
08/03/2023 19:31:27.238611,11,start,0.18, 1.31, -0.44,0.12626, 0.05726, 0.02629, -0.98999,0.25, 1.30, -0.44,0.12626, 0.05726, 0.02629, -0.98999,0.22, 1.31, -0.44,0.12626, 0.05726, 0.02629, -0.98999,0.18, 1.31, -0.44,-0.16827, -0.06283, -0.01075, 0.98368,340.59, 352.69, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.13,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16841, -0.07864, -0.01348, 0.98248,340.55, 350.85, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12644, 0.05749, 0.02566, -0.98997
08/03/2023 19:31:27.252069,12,start,0.18, 1.31, -0.44,0.12628, 0.05697, 0.02664, -0.99000,0.25, 1.30, -0.44,0.12628, 0.05697, 0.02664, -0.99000,0.22, 1.31, -0.44,0.12628, 0.05697, 0.02664, -0.99000,0.18, 1.31, -0.44,-0.16827, -0.06283, -0.01075, 0.98368,340.59, 352.69, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.13,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16841, -0.07864, -0.01348, 0.98248,340.55, 350.85, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12633, 0.05723, 0.02623, -0.98999
08/03/2023 19:31:27.266589,13,start,0.18, 1.31, -0.44,0.12610, 0.05666, 0.02684, -0.99003,0.25, 1.30, -0.44,0.12610, 0.05666, 0.02684, -0.99003,0.22, 1.31, -0.44,0.12610, 0.05666, 0.02684, -0.99003,0.18, 1.31, -0.44,-0.16827, -0.06283, -0.01075, 0.98368,340.59, 352.69, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.13,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16841, -0.07864, -0.01348, 0.98248,340.55, 350.85, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12630, 0.05695, 0.02663, -0.99000
08/03/2023 19:31:27.280088,14,start,0.18, 1.31, -0.44,0.12578, 0.05633, 0.02666, -0.99010,0.25, 1.30, -0.44,0.12578, 0.05633, 0.02666, -0.99010,0.22, 1.31, -0.44,0.12578, 0.05633, 0.02666, -0.99010,0.18, 1.31, -0.44,-0.16787, -0.06224, -0.01062, 0.98379,340.63, 352.76, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.13,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16808, -0.07802, -0.01335, 0.98259,340.59, 350.92, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12607, 0.05663, 0.02676, -0.99004
08/03/2023 19:31:27.293613,15,start,0.18, 1.31, -0.44,0.12543, 0.05602, 0.02624, -0.99017,0.25, 1.30, -0.44,0.12543, 0.05602, 0.02624, -0.99017,0.22, 1.31, -0.44,0.12543, 0.05602, 0.02624, -0.99017,0.18, 1.31, -0.44,-0.16787, -0.06224, -0.01062, 0.98379,340.63, 352.76, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.13,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16808, -0.07802, -0.01335, 0.98259,340.59, 350.92, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.08, 1.62, 0.76,0.12578, 0.05632, 0.02662, -0.99010
08/03/2023 19:31:27.307748,16,start,0.18, 1.31, -0.44,0.12516, 0.05565, 0.02592, -0.99024,0.25, 1.30, -0.44,0.12516, 0.05565, 0.02592, -0.99024,0.22, 1.31, -0.44,0.12516, 0.05565, 0.02592, -0.99024,0.18, 1.31, -0.44,-0.16752, -0.06288, -0.01071, 0.98380,340.67, 352.69, 0.00,-0.12, 0.33, 0.94,0.99, 0.00, 0.13,0.04, 0.94, -0.33,TrackingSpace,0.9980469,0.25, 1.30, -0.44,-0.16773, -0.07826, -0.01336, 0.98263,340.63, 350.89, 0.00,-0.15, 0.33, 0.93,0.99, 0.00, 0.16,0.05, 0.94, -0.33,TrackingSpace,0.9980469,0.09, 1.62, 0.76,0.12545, 0.05603, 0.02622, -0.99017
