,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-07-31 15:09:22,p02,calibration,1.7277059087912767,1.8446650368183843,2.7415553050706216,0.4321707414377161,
2023-07-31 15:34:52,p02,calibration,1.1683497393705475,1.2353673091447466,2.6435571261390276,0.3652110869061215,
2023-07-31 15:17:12,p02,screenStabilized_headConstrained,1.0877920565101797,1.1351063445408753,,,0.43076292234389496
2023-07-31 15:41:10,p02,screenStabilized_headConstrained,2.307633003544608,2.436522047422293,,,0.5083113845226398
2023-07-31 15:27:28,p02,screenStabilized_walking,2.968864556451277,4.730501183757032,,,
2023-07-31 15:47:57,p02,screenStabilized_walking,2.7015774226448364,4.488361907149371,,,
2023-07-31 15:30:18,p02,worldStabilized_bodyConstrained,0.9506001296080692,1.0691516133228336,,,
2023-07-31 15:51:05,p02,worldStabilized_bodyConstrained,0.9831369093314644,1.0843357823121502,,,
2023-07-31 15:12:00,p02,worldStabilized_sphere,2.5851555032054097,3.681890553739425,,,
2023-07-31 15:36:17,p02,worldStabilized_sphere,3.4952601429390358,4.653099103447675,,,
2023-07-31 15:21:48,p02,worldStabilized_sphere_VR,2.525648724681641,3.6208330803026763,,,
2023-07-31 15:43:21,p02,worldStabilized_sphere_VR,3.1183896419712243,4.15401947629788,,,
2023-07-31 15:32:25,p02,worldStabilized_walking,2.935753793464243,4.780445343506053,,,
2023-07-31 15:52:55,p02,worldStabilized_walking,3.566630657478105,5.544550171907065,,,
