Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/03/2023 17:27:32.772186,0,start,0.57, 1.65, 0.53,-0.01329, -0.99950, -0.02223, 0.01821,0.50, 1.65, 0.53,-0.01329, -0.99950, -0.02223, 0.01821,0.54, 1.65, 0.53,-0.01329, -0.99950, -0.02223, 0.01821,0.57, 1.64, 0.55,-0.00314, 0.99677, -0.04965, -0.06300,5.70, 187.23, 0.00,-0.13, -0.10, -0.99,-0.99, 0.00, 0.13,-0.01, 1.00, -0.10,TrackingSpace,0.9980469,0.51, 1.64, 0.55,-0.00271, 0.99729, -0.05003, -0.05394,5.74, 186.19, 0.00,-0.11, -0.10, -0.99,-0.99, 0.00, 0.11,-0.01, 0.99, -0.10,TrackingSpace,0.9980469,1.05, 2.10, -0.80,-0.01405, -0.99949, -0.02043, 0.02022
08/03/2023 17:27:32.786834,1,start,0.57, 1.65, 0.53,-0.01265, -0.99951, -0.02361, 0.01644,0.50, 1.65, 0.53,-0.01265, -0.99951, -0.02361, 0.01644,0.53, 1.65, 0.53,-0.01265, -0.99951, -0.02361, 0.01644,0.57, 1.64, 0.55,-0.00314, 0.99677, -0.04965, -0.06300,5.70, 187.23, 0.00,-0.13, -0.10, -0.99,-0.99, 0.00, 0.13,-0.01, 1.00, -0.10,TrackingSpace,0.9980469,0.51, 1.64, 0.55,-0.00271, 0.99729, -0.05003, -0.05394,5.74, 186.19, 0.00,-0.11, -0.10, -0.99,-0.99, 0.00, 0.11,-0.01, 0.99, -0.10,TrackingSpace,0.9980469,1.06, 2.10, -0.80,-0.01327, -0.99950, -0.02221, 0.01827
08/03/2023 17:27:32.800121,2,start,0.56, 1.65, 0.52,-0.01235, -0.99951, -0.02459, 0.01486,0.50, 1.65, 0.52,-0.01235, -0.99951, -0.02459, 0.01486,0.53, 1.65, 0.52,-0.01235, -0.99951, -0.02459, 0.01486,0.57, 1.64, 0.54,-0.00283, 0.99706, -0.04605, -0.06118,5.29, 187.02, 0.00,-0.12, -0.09, -0.99,-0.99, 0.00, 0.12,-0.01, 1.00, -0.09,TrackingSpace,0.9980469,0.51, 1.65, 0.54,-0.00229, 0.99771, -0.04650, -0.04904,5.34, 185.63, 0.00,-0.10, -0.09, -0.99,-1.00, 0.00, 0.10,-0.01, 1.00, -0.09,TrackingSpace,0.9980469,1.06, 2.11, -0.80,-0.01268, -0.99951, -0.02354, 0.01645
08/03/2023 17:27:32.814318,3,start,0.56, 1.65, 0.52,-0.01245, -0.99951, -0.02538, 0.01347,0.50, 1.65, 0.52,-0.01245, -0.99951, -0.02538, 0.01347,0.53, 1.65, 0.52,-0.01245, -0.99951, -0.02538, 0.01347,0.57, 1.64, 0.54,-0.00283, 0.99706, -0.04605, -0.06118,5.29, 187.02, 0.00,-0.12, -0.09, -0.99,-0.99, 0.00, 0.12,-0.01, 1.00, -0.09,TrackingSpace,0.9980469,0.51, 1.65, 0.54,-0.00229, 0.99771, -0.04650, -0.04904,5.34, 185.63, 0.00,-0.10, -0.09, -0.99,-1.00, 0.00, 0.10,-0.01, 1.00, -0.09,TrackingSpace,0.9980469,1.06, 2.11, -0.80,-0.01237, -0.99951, -0.02456, 0.01487
08/03/2023 17:27:32.828286,4,start,0.56, 1.65, 0.51,-0.01269, -0.99950, -0.02618, 0.01260,0.50, 1.65, 0.51,-0.01269, -0.99950, -0.02618, 0.01260,0.53, 1.65, 0.51,-0.01269, -0.99950, -0.02618, 0.01260,0.57, 1.65, 0.53,-0.00183, 0.99799, -0.03438, -0.05317,3.95, 186.10, 0.00,-0.11, -0.07, -0.99,-0.99, 0.00, 0.11,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.50, 1.65, 0.53,-0.00124, 0.99876, -0.03492, -0.03541,4.01, 184.06, 0.00,-0.07, -0.07, -1.00,-1.00, 0.00, 0.07,0.00, 1.00, -0.07,TrackingSpace,0.9980469,1.06, 2.11, -0.80,-0.01256, -0.99951, -0.02533, 0.01352
08/03/2023 17:27:32.842560,5,start,0.56, 1.65, 0.51,-0.01287, -0.99947, -0.02724, 0.01236,0.50, 1.65, 0.51,-0.01287, -0.99947, -0.02724, 0.01236,0.53, 1.65, 0.51,-0.01287, -0.99947, -0.02724, 0.01236,0.57, 1.65, 0.53,-0.00183, 0.99799, -0.03438, -0.05317,3.95, 186.10, 0.00,-0.11, -0.07, -0.99,-0.99, 0.00, 0.11,-0.01, 1.00, -0.07,TrackingSpace,0.9980469,0.50, 1.65, 0.53,-0.00124, 0.99876, -0.03492, -0.03541,4.01, 184.06, 0.00,-0.07, -0.07, -1.00,-1.00, 0.00, 0.07,0.00, 1.00, -0.07,TrackingSpace,0.9980469,1.06, 2.12, -0.81,-0.01273, -0.99950, -0.02618, 0.01268
08/03/2023 17:27:32.856801,6,start,0.56, 1.65, 0.50,-0.01286, -0.99944, -0.02812, 0.01289,0.49, 1.65, 0.50,-0.01286, -0.99944, -0.02812, 0.01289,0.53, 1.65, 0.50,-0.01286, -0.99944, -0.02812, 0.01289,0.56, 1.65, 0.52,-0.00134, 0.99848, -0.02813, -0.04740,3.23, 185.44, 0.00,-0.09, -0.06, -0.99,-1.00, 0.00, 0.09,-0.01, 1.00, -0.06,TrackingSpace,0.9980469,0.50, 1.65, 0.52,-0.00085, 0.99915, -0.02864, -0.02968,3.28, 183.40, 0.00,-0.06, -0.06, -1.00,-1.00, 0.00, 0.06,0.00, 1.00, -0.06,TrackingSpace,0.9980469,1.06, 2.12, -0.81,-0.01288, -0.99947, -0.02724, 0.01240
08/03/2023 17:27:32.870744,7,start,0.56, 1.65, 0.50,-0.01295, -0.99941, -0.02852, 0.01383,0.49, 1.65, 0.50,-0.01295, -0.99941, -0.02852, 0.01383,0.52, 1.65, 0.50,-0.01295, -0.99941, -0.02852, 0.01383,0.56, 1.65, 0.52,-0.00134, 0.99848, -0.02813, -0.04740,3.23, 185.44, 0.00,-0.09, -0.06, -0.99,-1.00, 0.00, 0.09,-0.01, 1.00, -0.06,TrackingSpace,0.9980469,0.50, 1.65, 0.52,-0.00085, 0.99915, -0.02864, -0.02968,3.28, 183.40, 0.00,-0.06, -0.06, -1.00,-1.00, 0.00, 0.06,0.00, 1.00, -0.06,TrackingSpace,0.9980469,1.06, 2.12, -0.82,-0.01286, -0.99944, -0.02810, 0.01296
08/03/2023 17:27:32.885915,8,start,0.55, 1.65, 0.49,-0.01297, -0.99940, -0.02830, 0.01511,0.49, 1.65, 0.49,-0.01297, -0.99940, -0.02830, 0.01511,0.52, 1.65, 0.49,-0.01297, -0.99940, -0.02830, 0.01511,0.56, 1.65, 0.52,-0.00134, 0.99848, -0.02813, -0.04740,3.23, 185.44, 0.00,-0.09, -0.06, -0.99,-1.00, 0.00, 0.09,-0.01, 1.00, -0.06,TrackingSpace,0.9980469,0.50, 1.65, 0.52,-0.00085, 0.99915, -0.02864, -0.02968,3.28, 183.40, 0.00,-0.06, -0.06, -1.00,-1.00, 0.00, 0.06,0.00, 1.00, -0.06,TrackingSpace,0.9980469,1.05, 2.12, -0.82,-0.01293, -0.99941, -0.02846, 0.01392
08/03/2023 17:27:32.899534,9,start,0.55, 1.65, 0.49,-0.01317, -0.99940, -0.02732, 0.01661,0.49, 1.65, 0.49,-0.01317, -0.99940, -0.02732, 0.01661,0.52, 1.65, 0.49,-0.01317, -0.99940, -0.02732, 0.01661,0.56, 1.65, 0.50,-0.00140, 0.99845, -0.02987, -0.04689,3.43, 185.38, 0.00,-0.09, -0.06, -0.99,-1.00, 0.00, 0.09,-0.01, 1.00, -0.06,TrackingSpace,0.9980469,0.49, 1.65, 0.51,-0.00083, 0.99917, -0.03043, -0.02715,3.49, 183.11, 0.00,-0.05, -0.06, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, -0.06,TrackingSpace,0.9980469,1.05, 2.12, -0.83,-0.01307, -0.99941, -0.02796, 0.01531
