Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/03/2023 19:20:12.871723,0,start,0.14, 1.30, -0.81,0.27185, 0.26529, 0.07242, -0.92221,0.20, 1.30, -0.77,0.27185, 0.26529, 0.07242, -0.92221,0.17, 1.30, -0.79,0.27185, 0.26529, 0.07242, -0.92221,0.14, 1.30, -0.80,-0.32723, -0.31388, -0.11623, 0.88368,319.36, 320.89, 0.00,-0.48, 0.65, 0.59,0.78, 0.00, 0.63,0.41, 0.76, -0.51,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32301, -0.33362, -0.12286, 0.87708,319.56, 318.35, 0.00,-0.51, 0.65, 0.57,0.75, 0.00, 0.66,0.43, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.885920,1,start,0.14, 1.30, -0.81,0.27231, 0.26557, 0.07245, -0.92199,0.20, 1.30, -0.77,0.27231, 0.26557, 0.07245, -0.92199,0.17, 1.30, -0.79,0.27231, 0.26557, 0.07245, -0.92199,0.14, 1.30, -0.80,-0.32723, -0.31388, -0.11623, 0.88368,319.36, 320.89, 0.00,-0.48, 0.65, 0.59,0.78, 0.00, 0.63,0.41, 0.76, -0.51,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32301, -0.33362, -0.12286, 0.87708,319.56, 318.35, 0.00,-0.51, 0.65, 0.57,0.75, 0.00, 0.66,0.43, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.900026,2,start,0.14, 1.30, -0.81,0.27261, 0.26580, 0.07269, -0.92182,0.20, 1.30, -0.77,0.27261, 0.26580, 0.07269, -0.92182,0.17, 1.30, -0.79,0.27261, 0.26580, 0.07269, -0.92182,0.14, 1.30, -0.80,-0.32710, -0.31904, -0.11838, 0.88159,319.29, 320.21, 0.00,-0.49, 0.65, 0.58,0.77, 0.00, 0.64,0.42, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32249, -0.33979, -0.12529, 0.87456,319.52, 317.53, 0.00,-0.51, 0.65, 0.56,0.74, 0.00, 0.68,0.44, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.913766,3,start,0.14, 1.30, -0.81,0.27298, 0.26603, 0.07283, -0.92163,0.20, 1.30, -0.77,0.27298, 0.26603, 0.07283, -0.92163,0.17, 1.30, -0.79,0.27298, 0.26603, 0.07283, -0.92163,0.14, 1.30, -0.80,-0.32710, -0.31904, -0.11838, 0.88159,319.29, 320.21, 0.00,-0.49, 0.65, 0.58,0.77, 0.00, 0.64,0.42, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32249, -0.33979, -0.12529, 0.87456,319.52, 317.53, 0.00,-0.51, 0.65, 0.56,0.74, 0.00, 0.68,0.44, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.928327,4,start,0.14, 1.30, -0.81,0.27335, 0.26613, 0.07269, -0.92150,0.20, 1.30, -0.77,0.27335, 0.26613, 0.07269, -0.92150,0.17, 1.30, -0.79,0.27335, 0.26613, 0.07269, -0.92150,0.14, 1.30, -0.80,-0.32614, -0.31987, -0.11833, 0.88165,319.40, 320.12, 0.00,-0.49, 0.65, 0.58,0.77, 0.00, 0.64,0.42, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32152, -0.34057, -0.12520, 0.87462,319.63, 317.45, 0.00,-0.52, 0.65, 0.56,0.74, 0.00, 0.68,0.44, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.942240,5,start,0.14, 1.30, -0.81,0.27378, 0.26627, 0.07266, -0.92134,0.20, 1.30, -0.77,0.27378, 0.26627, 0.07266, -0.92134,0.17, 1.30, -0.79,0.27378, 0.26627, 0.07266, -0.92134,0.14, 1.30, -0.80,-0.32614, -0.31987, -0.11833, 0.88165,319.40, 320.12, 0.00,-0.49, 0.65, 0.58,0.77, 0.00, 0.64,0.42, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32152, -0.34057, -0.12520, 0.87462,319.63, 317.45, 0.00,-0.52, 0.65, 0.56,0.74, 0.00, 0.68,0.44, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.956433,6,start,0.14, 1.30, -0.81,0.27411, 0.26640, 0.07253, -0.92121,0.20, 1.30, -0.77,0.27411, 0.26640, 0.07253, -0.92121,0.17, 1.30, -0.79,0.27411, 0.26640, 0.07253, -0.92121,0.14, 1.30, -0.80,-0.32614, -0.31987, -0.11833, 0.88165,319.40, 320.12, 0.00,-0.49, 0.65, 0.58,0.77, 0.00, 0.64,0.42, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32152, -0.34057, -0.12520, 0.87462,319.63, 317.45, 0.00,-0.52, 0.65, 0.56,0.74, 0.00, 0.68,0.44, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.970894,7,start,0.14, 1.30, -0.81,0.27451, 0.26654, 0.07255, -0.92105,0.20, 1.30, -0.77,0.27451, 0.26654, 0.07255, -0.92105,0.17, 1.30, -0.79,0.27451, 0.26654, 0.07255, -0.92105,0.14, 1.30, -0.81,-0.32703, -0.31543, -0.11680, 0.88313,319.36, 320.69, 0.00,-0.48, 0.65, 0.59,0.77, 0.00, 0.63,0.41, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32302, -0.33413, -0.12309, 0.87685,319.55, 318.28, 0.00,-0.51, 0.65, 0.57,0.75, 0.00, 0.67,0.43, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.984911,8,start,0.14, 1.30, -0.81,0.27493, 0.26678, 0.07227, -0.92088,0.20, 1.30, -0.77,0.27493, 0.26678, 0.07227, -0.92088,0.17, 1.30, -0.79,0.27493, 0.26678, 0.07227, -0.92088,0.14, 1.30, -0.81,-0.32703, -0.31543, -0.11680, 0.88313,319.36, 320.69, 0.00,-0.48, 0.65, 0.59,0.77, 0.00, 0.63,0.41, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32302, -0.33413, -0.12309, 0.87685,319.55, 318.28, 0.00,-0.51, 0.65, 0.57,0.75, 0.00, 0.67,0.43, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
08/03/2023 19:20:12.999120,9,start,0.14, 1.30, -0.81,0.27524, 0.26697, 0.07215, -0.92074,0.20, 1.30, -0.77,0.27524, 0.26697, 0.07215, -0.92074,0.17, 1.30, -0.79,0.27524, 0.26697, 0.07215, -0.92074,0.14, 1.30, -0.81,-0.32670, -0.31502, -0.11650, 0.88344,319.41, 320.75, 0.00,-0.48, 0.65, 0.59,0.77, 0.00, 0.63,0.41, 0.76, -0.50,TrackingSpace,0.9980469,0.20, 1.30, -0.77,-0.32248, -0.33466, -0.12308, 0.87684,319.62, 318.22, 0.00,-0.51, 0.65, 0.57,0.75, 0.00, 0.67,0.43, 0.76, -0.48,TrackingSpace,0.9980469,-0.35, 2.00, -0.17,0.00000, 0.00000, 0.00000, 1.00000
