Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/04/2023 11:17:07.447899,0,start,-0.31, 1.24, 0.44,-0.00005, -0.98602, -0.15016, -0.07228,-0.37, 1.24, 0.43,-0.00005, -0.98602, -0.15016, -0.07228,-0.34, 1.24, 0.44,-0.00005, -0.98602, -0.15016, -0.07228,-0.31, 1.24, 0.44,-0.00962, 0.99038, 0.09786, 0.09734,348.71, 168.77, 0.00,0.19, 0.20, -0.96,-0.98, 0.00, -0.19,-0.04, 0.98, 0.19,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01040, 0.98957, 0.09751, 0.10555,348.74, 167.82, 0.00,0.21, 0.20, -0.96,-0.98, 0.00, -0.21,-0.04, 0.98, 0.19,TrackingSpace,0.9980469,-0.16, 1.61, -0.74,0.00023, -0.98601, -0.15029, -0.07209
08/04/2023 11:17:07.454085,1,start,-0.31, 1.24, 0.44,-0.00048, -0.98613, -0.14919, -0.07279,-0.37, 1.24, 0.43,-0.00048, -0.98613, -0.14919, -0.07279,-0.34, 1.24, 0.44,-0.00048, -0.98613, -0.14919, -0.07279,-0.31, 1.24, 0.44,-0.00962, 0.99038, 0.09786, 0.09734,348.71, 168.77, 0.00,0.19, 0.20, -0.96,-0.98, 0.00, -0.19,-0.04, 0.98, 0.19,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01040, 0.98957, 0.09751, 0.10555,348.74, 167.82, 0.00,0.21, 0.20, -0.96,-0.98, 0.00, -0.21,-0.04, 0.98, 0.19,TrackingSpace,0.9980469,-0.16, 1.61, -0.74,-0.00006, -0.98604, -0.14997, -0.07230
08/04/2023 11:17:07.472323,2,start,-0.31, 1.24, 0.44,0.00004, -0.98637, -0.14769, -0.07254,-0.37, 1.24, 0.43,0.00004, -0.98637, -0.14769, -0.07254,-0.34, 1.24, 0.44,0.00004, -0.98637, -0.14769, -0.07254,-0.31, 1.24, 0.44,-0.00962, 0.99038, 0.09786, 0.09734,348.71, 168.77, 0.00,0.19, 0.20, -0.96,-0.98, 0.00, -0.19,-0.04, 0.98, 0.19,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01040, 0.98957, 0.09751, 0.10555,348.74, 167.82, 0.00,0.21, 0.20, -0.96,-0.98, 0.00, -0.21,-0.04, 0.98, 0.19,TrackingSpace,0.9980469,-0.16, 1.61, -0.74,-0.00052, -0.98614, -0.14910, -0.07280
08/04/2023 11:17:07.489358,3,start,-0.31, 1.24, 0.44,0.00000, -0.98658, -0.14649, -0.07216,-0.37, 1.24, 0.43,0.00000, -0.98658, -0.14649, -0.07216,-0.34, 1.24, 0.44,0.00000, -0.98658, -0.14649, -0.07216,-0.31, 1.24, 0.44,-0.01050, 0.98893, 0.08633, 0.12023,350.02, 166.14, 0.00,0.24, 0.17, -0.96,-0.97, 0.00, -0.24,-0.04, 0.98, 0.17,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01149, 0.98742, 0.08571, 0.13239,350.08, 164.73, 0.00,0.26, 0.17, -0.95,-0.96, 0.00, -0.26,-0.05, 0.99, 0.17,TrackingSpace,0.9980469,-0.16, 1.61, -0.74,0.00007, -0.98638, -0.14766, -0.07251
08/04/2023 11:17:07.510847,4,start,-0.31, 1.24, 0.44,-0.00027, -0.98668, -0.14590, -0.07189,-0.37, 1.24, 0.43,-0.00027, -0.98668, -0.14590, -0.07189,-0.34, 1.24, 0.44,-0.00027, -0.98668, -0.14590, -0.07189,-0.31, 1.24, 0.44,-0.01050, 0.98893, 0.08633, 0.12023,350.02, 166.14, 0.00,0.24, 0.17, -0.96,-0.97, 0.00, -0.24,-0.04, 0.98, 0.17,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01149, 0.98742, 0.08571, 0.13239,350.08, 164.73, 0.00,0.26, 0.17, -0.95,-0.96, 0.00, -0.26,-0.05, 0.99, 0.17,TrackingSpace,0.9980469,-0.16, 1.60, -0.75,-0.00028, -0.98660, -0.14639, -0.07201
08/04/2023 11:17:07.529128,5,start,-0.31, 1.24, 0.44,-0.00048, -0.98668, -0.14599, -0.07172,-0.37, 1.24, 0.43,-0.00048, -0.98668, -0.14599, -0.07172,-0.34, 1.24, 0.44,-0.00048, -0.98668, -0.14599, -0.07172,-0.31, 1.24, 0.44,-0.00922, 0.98980, 0.07590, 0.12024,351.23, 166.15, 0.00,0.24, 0.15, -0.96,-0.97, 0.00, -0.24,-0.04, 0.99, 0.15,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01010, 0.98826, 0.07531, 0.13252,351.28, 164.73, 0.00,0.26, 0.15, -0.95,-0.96, 0.00, -0.26,-0.04, 0.99, 0.15,TrackingSpace,0.9980469,-0.16, 1.60, -0.75,-0.00028, -0.98664, -0.14624, -0.07183
08/04/2023 11:17:07.545287,6,start,-0.31, 1.24, 0.44,-0.00037, -0.98663, -0.14634, -0.07171,-0.37, 1.24, 0.43,-0.00037, -0.98663, -0.14634, -0.07171,-0.34, 1.24, 0.44,-0.00037, -0.98663, -0.14634, -0.07171,-0.31, 1.24, 0.44,-0.00950, 0.98732, 0.06485, 0.14456,352.48, 163.34, 0.00,0.28, 0.13, -0.95,-0.96, 0.00, -0.29,-0.04, 0.99, 0.13,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01023, 0.98545, 0.06420, 0.15702,352.55, 161.89, 0.00,0.31, 0.13, -0.94,-0.95, 0.00, -0.31,-0.04, 0.99, 0.12,TrackingSpace,0.9980469,-0.16, 1.60, -0.75,-0.00038, -0.98663, -0.14631, -0.07175
08/04/2023 11:17:07.562324,7,start,-0.31, 1.24, 0.44,-0.00042, -0.98657, -0.14672, -0.07172,-0.37, 1.24, 0.43,-0.00042, -0.98657, -0.14672, -0.07172,-0.34, 1.24, 0.44,-0.00042, -0.98657, -0.14672, -0.07172,-0.31, 1.24, 0.44,-0.00950, 0.98732, 0.06485, 0.14456,352.48, 163.34, 0.00,0.28, 0.13, -0.95,-0.96, 0.00, -0.29,-0.04, 0.99, 0.13,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01023, 0.98545, 0.06420, 0.15702,352.55, 161.89, 0.00,0.31, 0.13, -0.94,-0.95, 0.00, -0.31,-0.04, 0.99, 0.12,TrackingSpace,0.9980469,-0.16, 1.60, -0.75,-0.00034, -0.98661, -0.14651, -0.07163
08/04/2023 11:17:07.579113,8,start,-0.31, 1.24, 0.44,-0.00038, -0.98655, -0.14683, -0.07178,-0.37, 1.24, 0.43,-0.00038, -0.98655, -0.14683, -0.07178,-0.34, 1.24, 0.44,-0.00038, -0.98655, -0.14683, -0.07178,-0.31, 1.24, 0.44,-0.01361, 0.96990, 0.05576, 0.23663,353.42, 152.58, 0.00,0.46, 0.11, -0.88,-0.89, 0.00, -0.46,-0.05, 0.99, 0.10,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01386, 0.96839, 0.05528, 0.24285,353.47, 151.84, 0.00,0.47, 0.11, -0.88,-0.88, 0.00, -0.47,-0.05, 0.99, 0.10,TrackingSpace,0.9980469,-0.16, 1.60, -0.75,-0.00042, -0.98657, -0.14675, -0.07174
08/04/2023 11:17:07.595801,9,start,-0.31, 1.24, 0.44,-0.00038, -0.98652, -0.14695, -0.07194,-0.37, 1.24, 0.43,-0.00038, -0.98652, -0.14695, -0.07194,-0.34, 1.24, 0.44,-0.00038, -0.98652, -0.14695, -0.07194,-0.31, 1.24, 0.44,-0.01361, 0.96990, 0.05576, 0.23663,353.42, 152.58, 0.00,0.46, 0.11, -0.88,-0.89, 0.00, -0.46,-0.05, 0.99, 0.10,TrackingSpace,0.9980469,-0.37, 1.24, 0.43,-0.01386, 0.96839, 0.05528, 0.24285,353.47, 151.84, 0.00,0.47, 0.11, -0.88,-0.88, 0.00, -0.47,-0.05, 0.99, 0.10,TrackingSpace,0.9980469,-0.16, 1.60, -0.75,-0.00039, -0.98655, -0.14685, -0.07174
