,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y
0,08/05/2023 12:29:41.904386,0,start,-0.3,1.29,0.44,0.0108,0.99376,0.11102,0.00124,-0.37,1.29,0.44,0.0108,0.99376,0.11102,0.00124,-0.33,1.29,0.44,0.0108,0.99376,0.11102,0.00124,-0.3,1.29,0.44,0.02032,0.97505,0.10063,-0.19684,348.21,202.83,0.0,-0.38,0.2,-0.9,-0.92,0.0,0.39,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.01936,0.97703,0.10151,-0.18639,348.14,201.6,0.0,-0.36,0.21,-0.91,-0.93,0.0,0.37,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.01045,0.99376,0.11102,0.00133,-1.2789591167019656,1.8131910166130996,-1.8693946127024783,1.0,0.0,0.0,-0.28,1.22,0.9439591167019656,-0.5231910166130995,2.3093946127024783,0.3880244472522164,-0.22278830317214146,0.0,-0.22560124383602403
1,08/05/2023 12:29:41.918827,1,start,-0.3,1.29,0.44,0.01118,0.99374,0.11111,0.00134,-0.37,1.29,0.44,0.01118,0.99374,0.11111,0.00134,-0.33,1.29,0.44,0.01118,0.99374,0.11111,0.00134,-0.3,1.29,0.44,0.02133,0.97315,0.10086,-0.20579,348.17,203.88,0.0,-0.4,0.21,-0.89,-0.91,0.0,0.4,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02056,0.97486,0.10162,-0.19724,348.1,202.88,0.0,-0.38,0.21,-0.9,-0.92,0.0,0.39,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.0108,0.99376,0.11104,0.00125,-1.4543721973094552,1.8928214924893125,-2.129244505218371,1.0,0.0,0.0,-0.28,1.22,1.1193721973094553,-0.6028214924893125,2.569244505218371,0.410883041743117,-0.2304611678439508,0.0,-0.22560124383602403
2,08/05/2023 12:29:41.932995,2,start,-0.3,1.29,0.44,0.01154,0.99373,0.11116,0.00138,-0.37,1.29,0.44,0.01154,0.99373,0.11116,0.00138,-0.33,1.29,0.44,0.01154,0.99373,0.11116,0.00138,-0.3,1.29,0.44,0.02133,0.97315,0.10086,-0.20579,348.17,203.88,0.0,-0.4,0.21,-0.89,-0.91,0.0,0.4,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02056,0.97486,0.10162,-0.19724,348.1,202.88,0.0,-0.38,0.21,-0.9,-0.92,0.0,0.39,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.01118,0.99375,0.1111,0.00131,-1.4543721973094552,1.8928214924893125,-2.129244505218371,1.0,0.0,0.0,-0.28,1.22,1.1193721973094553,-0.6028214924893125,2.569244505218371,0.410883041743117,-0.2304611678439508,0.0,-0.22560124383602403
3,08/05/2023 12:29:41.946979,3,start,-0.3,1.29,0.44,0.01173,0.99373,0.11122,0.00146,-0.37,1.29,0.44,0.01173,0.99373,0.11122,0.00146,-0.33,1.29,0.44,0.01173,0.99373,0.11122,0.00146,-0.3,1.29,0.44,0.02191,0.97283,0.10353,-0.2059,347.85,203.9,0.0,-0.4,0.21,-0.89,-0.91,0.0,0.41,0.09,0.98,0.19,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02112,0.97454,0.10429,-0.19734,347.78,202.89,0.0,-0.38,0.21,-0.9,-0.92,0.0,0.39,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.01152,0.99374,0.11115,0.00139,-1.4543721973094552,1.8928214924893125,-2.129244505218371,1.0,0.0,0.0,-0.28,1.22,1.1193721973094553,-0.6028214924893125,2.569244505218371,0.410883041743117,-0.2304611678439508,0.0,-0.22560124383602403
4,08/05/2023 12:29:41.961362,4,start,-0.3,1.29,0.44,0.01173,0.99374,0.11105,0.00152,-0.37,1.29,0.44,0.01173,0.99374,0.11105,0.00152,-0.33,1.29,0.44,0.01173,0.99374,0.11105,0.00152,-0.3,1.29,0.44,0.02191,0.97283,0.10353,-0.2059,347.85,203.9,0.0,-0.4,0.21,-0.89,-0.91,0.0,0.41,0.09,0.98,0.19,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02112,0.97454,0.10429,-0.19734,347.78,202.89,0.0,-0.38,0.21,-0.9,-0.92,0.0,0.39,0.08,0.98,0.19,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.01169,0.99373,0.11118,0.00144,-1.4543721973094552,1.8928214924893125,-2.129244505218371,1.0,0.0,0.0,-0.28,1.22,1.1193721973094553,-0.6028214924893125,2.569244505218371,0.410883041743117,-0.2304611678439508,0.0,-0.22560124383602403
5,08/05/2023 12:29:41.975534,5,start,-0.3,1.29,0.44,0.01188,0.99378,0.11068,0.00166,-0.37,1.29,0.44,0.01188,0.99378,0.11068,0.00166,-0.33,1.29,0.44,0.01188,0.99378,0.11068,0.00166,-0.3,1.29,0.44,0.02243,0.97646,0.12632,-0.1734,345.26,200.14,0.0,-0.33,0.25,-0.91,-0.94,0.0,0.34,0.09,0.97,0.24,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02102,0.9784,0.12736,-0.16149,345.17,198.74,0.0,-0.31,0.26,-0.92,-0.95,0.0,0.32,0.08,0.97,0.24,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.01173,0.99375,0.111,0.00157,-1.1840852618760316,1.9668501827042348,-1.988462850183477,1.0,0.0,0.0,-0.28,1.22,0.8490852618760316,-0.6768501827042348,2.428462850183477,0.33635315739465005,-0.27181716885157775,0.0,-0.22560124383602403
6,08/05/2023 12:29:41.989566,6,start,-0.3,1.29,0.44,0.01202,0.99383,0.11022,0.0019,-0.37,1.29,0.44,0.01202,0.99383,0.11022,0.0019,-0.33,1.29,0.44,0.01202,0.99383,0.11022,0.0019,-0.3,1.29,0.44,0.02243,0.97646,0.12632,-0.1734,345.26,200.14,0.0,-0.33,0.25,-0.91,-0.94,0.0,0.34,0.09,0.97,0.24,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02102,0.9784,0.12736,-0.16149,345.17,198.74,0.0,-0.31,0.26,-0.92,-0.95,0.0,0.32,0.08,0.97,0.24,TrackingSpace,0.9980469,-0.33,1.57,-0.78,0.01187,0.99378,0.11067,0.00167,-1.1840852618760316,1.9668501827042348,-1.988462850183477,1.0,0.0,0.0,-0.28,1.22,0.8490852618760316,-0.6768501827042348,2.428462850183477,0.33635315739465005,-0.27181716885157775,0.0,-0.22560124383602403
7,08/05/2023 12:29:42.004280,7,start,-0.3,1.29,0.44,0.01216,0.99389,0.10967,0.00211,-0.37,1.29,0.44,0.01216,0.99389,0.10967,0.00211,-0.33,1.29,0.44,0.01216,0.99389,0.10967,0.00211,-0.3,1.29,0.44,0.02243,0.97646,0.12632,-0.1734,345.26,200.14,0.0,-0.33,0.25,-0.91,-0.94,0.0,0.34,0.09,0.97,0.24,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.02102,0.9784,0.12736,-0.16149,345.17,198.74,0.0,-0.31,0.26,-0.92,-0.95,0.0,0.32,0.08,0.97,0.24,TrackingSpace,0.9980469,-0.33,1.56,-0.78,0.01203,0.99383,0.1102,0.00191,-1.1840852618760316,1.9668501827042348,-1.988462850183477,1.0,0.0,0.0,-0.27,1.22,0.8490852618760316,-0.6768501827042348,2.428462850183477,0.33635315739465005,-0.27181716885157775,0.0,-0.21780089053641885
8,08/05/2023 12:29:42.018335,8,start,-0.3,1.29,0.44,0.01221,0.99394,0.10923,0.00245,-0.37,1.29,0.44,0.01221,0.99394,0.10923,0.00245,-0.33,1.29,0.44,0.01221,0.99394,0.10923,0.00245,-0.3,1.29,0.44,0.01252,0.98685,0.1303,-0.0948,344.96,190.97,0.0,-0.18,0.26,-0.95,-0.98,0.0,0.19,0.05,0.97,0.25,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.00997,0.98848,0.13094,-0.07525,344.91,188.71,0.0,-0.15,0.26,-0.95,-0.99,0.0,0.15,0.04,0.97,0.26,TrackingSpace,0.9980469,-0.33,1.56,-0.78,0.01216,0.99389,0.10967,0.00211,-0.7200000000000395,1.896666666666729,-1.776666666666894,1.0,0.0,0.0,-0.27,1.22,0.38500000000003953,-0.6066666666667289,2.216666666666894,0.17196869102592577,-0.26714252086569534,0.0,-0.21780089053641885
9,08/05/2023 12:29:42.032428,9,start,-0.3,1.29,0.44,0.01215,0.99398,0.10881,0.00269,-0.37,1.29,0.44,0.01215,0.99398,0.10881,0.00269,-0.33,1.29,0.44,0.01215,0.99398,0.10881,0.00269,-0.3,1.29,0.44,0.01252,0.98685,0.1303,-0.0948,344.96,190.97,0.0,-0.18,0.26,-0.95,-0.98,0.0,0.19,0.05,0.97,0.25,TrackingSpace,0.9980469,-0.37,1.29,0.44,0.00997,0.98848,0.13094,-0.07525,344.91,188.71,0.0,-0.15,0.26,-0.95,-0.99,0.0,0.15,0.04,0.97,0.26,TrackingSpace,0.9980469,-0.32,1.56,-0.78,0.0122,0.99394,0.10922,0.00242,-0.7200000000000395,1.896666666666729,-1.776666666666894,1.0,0.0,-0.010000000000000009,-0.27,1.22,0.38500000000003953,-0.6066666666667289,2.216666666666894,0.17196869102592577,-0.26714252086569534,-0.008196537749912594,-0.21780089053641885
