,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y,Euclidean Error
0,08/08/2023 08:43:38.355086,0,start,-0.27,1.2,0.43,0.02971,-0.99659,-0.07552,-0.01519,-0.34,1.2,0.42,0.02971,-0.99659,-0.07552,-0.01519,-0.31,1.2,0.42,0.02971,-0.99659,-0.07552,-0.01519,-0.27,1.2,0.43,-0.00288,0.99605,0.03513,0.08156,355.96,170.64,0.0,0.16,0.07,-0.98,-0.99,0.0,-0.16,-0.01,1.0,0.07,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00313,0.99549,0.03542,0.08797,355.92,169.9,0.0,0.17,0.07,-0.98,-0.98,0.0,-0.18,-0.01,1.0,0.07,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.02977,-0.99659,-0.07546,-0.01517,0.8776649746194919,1.701725888324959,-6.599162436549426,1.0,0.0,-0.03999999999999998,-0.18999999999999995,1.23,-1.182664974619492,-0.5017258883249591,7.0241624365494255,8.99859732969368,-0.16680644935978295,-0.07130746478529035,-0.032508868282023914,-0.1532602018684546,9.01422890878186
1,08/08/2023 08:43:38.368986,1,start,-0.27,1.2,0.43,0.02988,-0.99657,-0.07563,-0.01509,-0.34,1.2,0.42,0.02988,-0.99657,-0.07563,-0.01509,-0.3,1.2,0.42,0.02988,-0.99657,-0.07563,-0.01509,-0.27,1.2,0.43,-0.00288,0.99605,0.03513,0.08156,355.96,170.64,0.0,0.16,0.07,-0.98,-0.99,0.0,-0.16,-0.01,1.0,0.07,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00313,0.99549,0.03542,0.08797,355.92,169.9,0.0,0.17,0.07,-0.98,-0.98,0.0,-0.18,-0.01,1.0,0.07,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.02971,-0.99659,-0.07553,-0.01518,0.8776649746194919,1.701725888324959,-6.599162436549426,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-1.182664974619492,-0.5017258883249591,7.0241624365494255,9.395557400062959,-0.16680644935978295,-0.07130746478529035,-0.024385409172718513,-0.1532602018684546,9.414657929850783
2,08/08/2023 08:43:38.383377,2,start,-0.27,1.2,0.43,0.0302,-0.99656,-0.07565,-0.01501,-0.34,1.2,0.42,0.0302,-0.99656,-0.07565,-0.01501,-0.3,1.2,0.42,0.0302,-0.99656,-0.07565,-0.01501,-0.27,1.2,0.43,-0.00081,0.99903,0.03897,0.02069,355.53,177.63,0.0,0.04,0.08,-1.0,-1.0,0.0,-0.04,0.0,1.0,0.08,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00154,0.99846,0.03993,0.03851,355.42,175.58,0.0,0.08,0.08,-0.99,-1.0,0.0,-0.08,-0.01,1.0,0.08,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.02995,-0.99657,-0.07562,-0.0151,-0.20075518550978227,1.3390914402570906,-1.3049682296232126,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.10424481449021777,-0.13909144025709064,1.7299682296232126,4.65892456429561,-0.06018544967607711,-0.08022857489508664,-0.024385409172718513,-0.1532602018684546,4.660109682939932
3,08/08/2023 08:43:38.397749,3,start,-0.27,1.2,0.43,0.03035,-0.99656,-0.07564,-0.01494,-0.34,1.2,0.42,0.03035,-0.99656,-0.07564,-0.01494,-0.3,1.2,0.42,0.03035,-0.99656,-0.07564,-0.01494,-0.27,1.2,0.43,-0.00081,0.99903,0.03897,0.02069,355.53,177.63,0.0,0.04,0.08,-1.0,-1.0,0.0,-0.04,0.0,1.0,0.08,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00154,0.99846,0.03993,0.03851,355.42,175.58,0.0,0.08,0.08,-0.99,-1.0,0.0,-0.08,-0.01,1.0,0.08,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.0302,-0.99656,-0.07565,-0.01503,-0.20075518550978227,1.3390914402570906,-1.3049682296232126,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.10424481449021777,-0.13909144025709064,1.7299682296232126,4.65892456429561,-0.06018544967607711,-0.08022857489508664,-0.024385409172718513,-0.1532602018684546,4.660109682939932
4,08/08/2023 08:43:38.411578,4,start,-0.27,1.2,0.43,0.03027,-0.99658,-0.07547,-0.01493,-0.34,1.2,0.42,0.03027,-0.99658,-0.07547,-0.01493,-0.3,1.2,0.42,0.03027,-0.99658,-0.07547,-0.01493,-0.27,1.2,0.43,-0.00039,0.99772,0.0672,0.00581,352.29,179.33,0.0,0.01,0.13,-0.99,-1.0,0.0,-0.01,0.0,0.99,0.13,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.0016,0.9974,0.0682,0.0234,352.18,177.31,0.0,0.05,0.14,-0.99,-1.0,0.0,-0.05,-0.01,0.99,0.14,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.03033,-0.99656,-0.07561,-0.01495,-0.254925185263977,1.4248243094706328,-1.223490586107927,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.05007481473602304,-0.2248243094706328,1.648490586107927,1.0710464929321297,-0.030366822928393104,-0.13554566274863328,-0.024385409172718513,-0.1532602018684546,1.0712659278401238
5,08/08/2023 08:43:38.426040,5,start,-0.27,1.2,0.43,0.03005,-0.99659,-0.07536,-0.01497,-0.34,1.2,0.42,0.03005,-0.99659,-0.07536,-0.01497,-0.3,1.2,0.42,0.03005,-0.99659,-0.07536,-0.01497,-0.27,1.2,0.43,-0.00039,0.99772,0.0672,0.00581,352.29,179.33,0.0,0.01,0.13,-0.99,-1.0,0.0,-0.01,0.0,0.99,0.13,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.0016,0.9974,0.0682,0.0234,352.18,177.31,0.0,0.05,0.14,-0.99,-1.0,0.0,-0.05,-0.01,0.99,0.14,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.03022,-0.99658,-0.07549,-0.01495,-0.254925185263977,1.4248243094706328,-1.223490586107927,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.05007481473602304,-0.2248243094706328,1.648490586107927,1.0710464929321297,-0.030366822928393104,-0.13554566274863328,-0.024385409172718513,-0.1532602018684546,1.0712659278401238
6,08/08/2023 08:43:38.440552,6,start,-0.27,1.2,0.43,0.02983,-0.9966,-0.07527,-0.01495,-0.34,1.2,0.42,0.02983,-0.9966,-0.07527,-0.01495,-0.3,1.2,0.42,0.02983,-0.9966,-0.07527,-0.01495,-0.27,1.2,0.43,-0.00015,0.99734,0.07291,0.0021,351.64,179.76,0.0,0.0,0.15,-0.99,-1.0,0.0,0.0,0.0,0.99,0.15,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00126,0.99713,0.07377,0.01698,351.54,178.05,0.0,0.03,0.15,-0.99,-1.0,0.0,-0.03,-0.01,0.99,0.15,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.03001,-0.99659,-0.07538,-0.01496,-0.2698518850987477,1.55074057450624,-1.889887791741184,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.03514811490125236,-0.35074057450623997,2.314887791741184,0.5464026170271095,-0.015182340326732048,-0.15037142800713454,-0.024385409172718513,-0.1532602018684546,0.5526637279352803
7,08/08/2023 08:43:38.454635,7,start,-0.27,1.2,0.43,0.02979,-0.99661,-0.07522,-0.01492,-0.34,1.2,0.42,0.02979,-0.99661,-0.07522,-0.01492,-0.3,1.2,0.42,0.02979,-0.99661,-0.07522,-0.01492,-0.27,1.2,0.43,-0.00015,0.99734,0.07291,0.0021,351.64,179.76,0.0,0.0,0.15,-0.99,-1.0,0.0,0.0,0.0,0.99,0.15,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00126,0.99713,0.07377,0.01698,351.54,178.05,0.0,0.03,0.15,-0.99,-1.0,0.0,-0.03,-0.01,0.99,0.15,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.02985,-0.9966,-0.07527,-0.01495,-0.2698518850987477,1.55074057450624,-1.889887791741184,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.03514811490125236,-0.35074057450623997,2.314887791741184,0.5464026170271095,-0.015182340326732048,-0.15037142800713454,-0.024385409172718513,-0.1532602018684546,0.5526637279352803
8,08/08/2023 08:43:38.468239,8,start,-0.27,1.2,0.43,0.02978,-0.99661,-0.07527,-0.01494,-0.34,1.2,0.42,0.02978,-0.99661,-0.07527,-0.01494,-0.3,1.2,0.42,0.02978,-0.99661,-0.07527,-0.01494,-0.27,1.2,0.43,-0.00015,0.99734,0.07291,0.0021,351.64,179.76,0.0,0.0,0.15,-0.99,-1.0,0.0,0.0,0.0,0.99,0.15,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00126,0.99713,0.07377,0.01698,351.54,178.05,0.0,0.03,0.15,-0.99,-1.0,0.0,-0.03,-0.01,0.99,0.15,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.02979,-0.99661,-0.07523,-0.01492,-0.2698518850987477,1.55074057450624,-1.889887791741184,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.03514811490125236,-0.35074057450623997,2.314887791741184,0.5464026170271095,-0.015182340326732048,-0.15037142800713454,-0.024385409172718513,-0.1532602018684546,0.5526637279352803
9,08/08/2023 08:43:38.482558,9,start,-0.27,1.2,0.43,0.02976,-0.9966,-0.07535,-0.01497,-0.34,1.2,0.42,0.02976,-0.9966,-0.07535,-0.01497,-0.3,1.2,0.42,0.02976,-0.9966,-0.07535,-0.01497,-0.27,1.2,0.43,8e-05,0.99731,0.07329,-0.00111,351.59,180.13,0.0,0.0,0.15,-0.99,-1.0,0.0,0.0,0.0,0.99,0.15,TrackingSpace,0.9980469,-0.34,1.2,0.42,-0.00125,0.99709,0.07433,0.01678,351.47,178.07,0.0,0.03,0.15,-0.99,-1.0,0.0,-0.03,0.0,0.99,0.15,TrackingSpace,0.9980469,-0.27,1.39,-0.81,0.02978,-0.9966,-0.07531,-0.01494,-0.2698518850987477,1.55074057450624,-1.889887791741184,1.0,0.0,-0.02999999999999997,-0.18999999999999995,1.23,-0.03514811490125236,-0.35074057450623997,2.314887791741184,0.5464026170271095,-0.015182340326732048,-0.15037142800713454,-0.024385409172718513,-0.1532602018684546,0.5526637279352803
