,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-08-08 08:13:42,p14_incomplete,calibration,1.8362634658082226,1.931517747147839,3.448877068371449,0.7801171098437838,
2023-08-08 08:43:38,p14_incomplete,calibration,5.516972947541571,5.747086621348053,2.283038277960225,1.5802004287779048,
2023-08-08 08:18:08,p14_incomplete,screenStabilized_headConstrained,3.2627671485874665,3.3633940699901985,,,1.2015236296385043
2023-08-08 08:50:38,p14_incomplete,screenStabilized_headConstrained,3.007450291598798,3.1336275438235743,,,0.9483215602583068
2023-08-08 08:15:52,p14_incomplete,screenStabilized_walking,4.7954931355170585,10.310710168482785,,,
2023-08-08 08:44:54,p14_incomplete,screenStabilized_walking,5.513801470180701,8.778528686980279,,,
2023-08-08 08:11:15,p14_incomplete,worldStabilized_bodyConstrained,2.815593282630826,3.074750162039972,,,
2023-08-08 08:41:41,p14_incomplete,worldStabilized_bodyConstrained,2.8827144321447817,3.2567923998707706,,,
2023-08-08 08:21:18,p14_incomplete,worldStabilized_sphere,6.968770437710805,10.357916033025356,,,
2023-08-08 08:53:02,p14_incomplete,worldStabilized_sphere,10.27842651527476,16.294854077826137,,,
2023-08-08 08:30:49,p14_incomplete,worldStabilized_sphere_VR,6.573605708010543,9.816004207950922,,,
2023-08-08 08:27:02,p14_incomplete,worldStabilized_walking,8.26567735900066,12.011136364495826,,,
