Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/08/2023 08:50:38.197378,0,start,-0.23, 1.19, 0.41,-0.01270, 0.99528, 0.09242, -0.02686,-0.30, 1.19, 0.41,-0.01270, 0.99528, 0.09242, -0.02686,-0.27, 1.19, 0.41,-0.01270, 0.99528, 0.09242, -0.02686,-0.23, 1.19, 0.41,0.00117, 0.99284, 0.11901, -0.00977,346.33, 181.13, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00077, 0.99284, 0.11929, 0.00644,346.30, 179.26, 0.00,0.01, 0.24, -0.97,-1.00, 0.00, -0.01,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01264, 0.99529, 0.09230, -0.02692
08/08/2023 08:50:38.211284,1,start,-0.23, 1.19, 0.41,-0.01280, 0.99527, 0.09245, -0.02687,-0.30, 1.19, 0.41,-0.01280, 0.99527, 0.09245, -0.02687,-0.27, 1.19, 0.41,-0.01280, 0.99527, 0.09245, -0.02687,-0.23, 1.19, 0.41,0.00117, 0.99284, 0.11901, -0.00977,346.33, 181.13, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00077, 0.99284, 0.11929, 0.00644,346.30, 179.26, 0.00,0.01, 0.24, -0.97,-1.00, 0.00, -0.01,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01270, 0.99528, 0.09241, -0.02687
08/08/2023 08:50:38.225687,2,start,-0.23, 1.19, 0.41,-0.01275, 0.99527, 0.09254, -0.02680,-0.30, 1.19, 0.41,-0.01275, 0.99527, 0.09254, -0.02680,-0.27, 1.19, 0.41,-0.01275, 0.99527, 0.09254, -0.02680,-0.23, 1.19, 0.41,0.00109, 0.99273, 0.12004, -0.00899,346.21, 181.04, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00079, 0.99271, 0.12031, 0.00652,346.18, 179.25, 0.00,0.01, 0.24, -0.97,-1.00, 0.00, -0.01,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01279, 0.99527, 0.09244, -0.02685
08/08/2023 08:50:38.239777,3,start,-0.23, 1.19, 0.41,-0.01279, 0.99527, 0.09251, -0.02678,-0.30, 1.19, 0.41,-0.01279, 0.99527, 0.09251, -0.02678,-0.27, 1.19, 0.41,-0.01279, 0.99527, 0.09251, -0.02678,-0.23, 1.19, 0.41,0.00109, 0.99273, 0.12004, -0.00899,346.21, 181.04, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00079, 0.99271, 0.12031, 0.00652,346.18, 179.25, 0.00,0.01, 0.24, -0.97,-1.00, 0.00, -0.01,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01273, 0.99527, 0.09252, -0.02681
08/08/2023 08:50:38.253790,4,start,-0.23, 1.19, 0.41,-0.01270, 0.99527, 0.09255, -0.02670,-0.30, 1.19, 0.41,-0.01270, 0.99527, 0.09255, -0.02670,-0.27, 1.19, 0.41,-0.01270, 0.99527, 0.09255, -0.02670,-0.23, 1.19, 0.41,0.00108, 0.99271, 0.12020, -0.00891,346.19, 181.03, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00111, 0.99267, 0.12050, 0.00914,346.16, 178.94, 0.00,0.02, 0.24, -0.97,-1.00, 0.00, -0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01279, 0.99527, 0.09248, -0.02678
08/08/2023 08:50:38.268325,5,start,-0.23, 1.19, 0.41,-0.01262, 0.99527, 0.09260, -0.02665,-0.30, 1.19, 0.41,-0.01262, 0.99527, 0.09260, -0.02665,-0.27, 1.19, 0.41,-0.01262, 0.99527, 0.09260, -0.02665,-0.23, 1.19, 0.41,0.00108, 0.99271, 0.12020, -0.00891,346.19, 181.03, 0.00,-0.02, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00111, 0.99267, 0.12050, 0.00914,346.16, 178.94, 0.00,0.02, 0.24, -0.97,-1.00, 0.00, -0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01269, 0.99527, 0.09255, -0.02668
08/08/2023 08:50:38.282363,6,start,-0.23, 1.19, 0.41,-0.01260, 0.99526, 0.09271, -0.02656,-0.30, 1.19, 0.41,-0.01260, 0.99526, 0.09271, -0.02656,-0.27, 1.19, 0.41,-0.01260, 0.99526, 0.09271, -0.02656,-0.23, 1.19, 0.41,0.00092, 0.99248, 0.12216, -0.00751,345.97, 180.87, 0.00,-0.01, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00113, 0.99243, 0.12243, 0.00914,345.93, 178.94, 0.00,0.02, 0.24, -0.97,-1.00, 0.00, -0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01261, 0.99527, 0.09260, -0.02663
08/08/2023 08:50:38.296526,7,start,-0.24, 1.19, 0.41,-0.01269, 0.99526, 0.09273, -0.02659,-0.30, 1.19, 0.41,-0.01269, 0.99526, 0.09273, -0.02659,-0.27, 1.19, 0.41,-0.01269, 0.99526, 0.09273, -0.02659,-0.23, 1.19, 0.41,0.00092, 0.99248, 0.12216, -0.00751,345.97, 180.87, 0.00,-0.01, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00113, 0.99243, 0.12243, 0.00914,345.93, 178.94, 0.00,0.02, 0.24, -0.97,-1.00, 0.00, -0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01262, 0.99526, 0.09270, -0.02657
08/08/2023 08:50:38.310667,8,start,-0.24, 1.19, 0.41,-0.01272, 0.99525, 0.09273, -0.02669,-0.30, 1.19, 0.41,-0.01272, 0.99525, 0.09273, -0.02669,-0.27, 1.19, 0.41,-0.01272, 0.99525, 0.09273, -0.02669,-0.23, 1.19, 0.41,0.00092, 0.99248, 0.12216, -0.00751,345.97, 180.87, 0.00,-0.01, 0.24, -0.97,-1.00, 0.00, 0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00113, 0.99243, 0.12243, 0.00914,345.93, 178.94, 0.00,0.02, 0.24, -0.97,-1.00, 0.00, -0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01268, 0.99525, 0.09274, -0.02660
08/08/2023 08:50:38.325024,9,start,-0.24, 1.19, 0.41,-0.01265, 0.99526, 0.09271, -0.02667,-0.30, 1.19, 0.41,-0.01265, 0.99526, 0.09271, -0.02667,-0.27, 1.19, 0.41,-0.01265, 0.99526, 0.09271, -0.02667,-0.23, 1.19, 0.41,0.00088, 0.99281, 0.11945, -0.00735,346.28, 180.85, 0.00,-0.01, 0.24, -0.97,-1.00, 0.00, 0.01,0.00, 0.97, 0.24,TrackingSpace,0.9980469,-0.30, 1.19, 0.41,-0.00112, 0.99276, 0.11972, 0.00930,346.25, 178.93, 0.00,0.02, 0.24, -0.97,-1.00, 0.00, -0.02,0.00, 0.97, 0.24,TrackingSpace,0.9980469,0.21, 1.86, -0.84,-0.01271, 0.99525, 0.09273, -0.02668
