Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 11:40:30.364724,0,start,-0.29, 1.29, 0.42,0.00363, -0.99715, -0.07531, 0.00066,-0.36, 1.29, 0.42,0.00363, -0.99715, -0.07531, 0.00066,-0.33, 1.29, 0.42,0.00363, -0.99715, -0.07531, 0.00066,-0.29, 1.29, 0.41,-0.00002, 0.99904, 0.04376, 0.00035,354.98, 179.96, 0.00,0.00, 0.09, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.36, 1.29, 0.41,-0.00056, 0.99896, 0.04382, 0.01286,354.98, 178.52, 0.00,0.03, 0.09, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.33, 1.47, -0.82,0.00329, -0.99743, -0.07153, 0.00036
08/09/2023 11:40:30.371026,1,start,-0.29, 1.29, 0.42,0.00372, -0.99682, -0.07954, 0.00093,-0.36, 1.29, 0.42,0.00372, -0.99682, -0.07954, 0.00093,-0.33, 1.29, 0.42,0.00372, -0.99682, -0.07954, 0.00093,-0.29, 1.29, 0.41,-0.00002, 0.99904, 0.04376, 0.00035,354.98, 179.96, 0.00,0.00, 0.09, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.36, 1.29, 0.41,-0.00056, 0.99896, 0.04382, 0.01286,354.98, 178.52, 0.00,0.03, 0.09, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.33, 1.48, -0.82,0.00359, -0.99715, -0.07530, 0.00060
08/09/2023 11:40:30.392283,2,start,-0.29, 1.29, 0.42,0.00365, -0.99673, -0.08068, 0.00057,-0.36, 1.29, 0.42,0.00365, -0.99673, -0.08068, 0.00057,-0.33, 1.29, 0.42,0.00365, -0.99673, -0.08068, 0.00057,-0.29, 1.29, 0.41,-0.00001, 0.99900, 0.04471, 0.00014,354.88, 179.98, 0.00,0.00, 0.09, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.36, 1.29, 0.41,-0.00057, 0.99892, 0.04477, 0.01266,354.87, 178.55, 0.00,0.03, 0.09, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.33, 1.49, -0.82,0.00367, -0.99683, -0.07946, 0.00098
08/09/2023 11:40:30.408122,3,start,-0.29, 1.29, 0.42,0.00397, -0.99659, -0.08237, 0.00051,-0.36, 1.29, 0.42,0.00397, -0.99659, -0.08237, 0.00051,-0.33, 1.29, 0.42,0.00397, -0.99659, -0.08237, 0.00051,-0.29, 1.29, 0.41,-0.00001, 0.99900, 0.04471, 0.00014,354.88, 179.98, 0.00,0.00, 0.09, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.36, 1.29, 0.41,-0.00057, 0.99892, 0.04477, 0.01266,354.87, 178.55, 0.00,0.03, 0.09, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.33, 1.49, -0.82,0.00367, -0.99673, -0.08075, 0.00056
08/09/2023 11:40:30.429937,4,start,-0.29, 1.29, 0.42,0.00384, -0.99640, -0.08475, 0.00007,-0.36, 1.29, 0.42,0.00384, -0.99640, -0.08475, 0.00007,-0.33, 1.29, 0.42,0.00384, -0.99640, -0.08475, 0.00007,-0.29, 1.29, 0.42,0.00005, 0.99893, 0.04617, -0.00098,354.71, 180.11, 0.00,0.00, 0.09, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.36, 1.29, 0.42,-0.00054, 0.99886, 0.04624, 0.01160,354.70, 178.67, 0.00,0.02, 0.09, -1.00,-1.00, 0.00, -0.02,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.33, 1.50, -0.82,0.00398, -0.99654, -0.08298, 0.00025
08/09/2023 11:40:30.448072,5,start,-0.29, 1.29, 0.42,0.00337, -0.99625, -0.08643, -0.00088,-0.36, 1.29, 0.42,0.00337, -0.99625, -0.08643, -0.00088,-0.33, 1.29, 0.42,0.00337, -0.99625, -0.08643, -0.00088,-0.29, 1.29, 0.42,0.00005, 0.99893, 0.04617, -0.00098,354.71, 180.11, 0.00,0.00, 0.09, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.36, 1.29, 0.42,-0.00054, 0.99886, 0.04624, 0.01160,354.70, 178.67, 0.00,0.02, 0.09, -1.00,-1.00, 0.00, -0.02,0.00, 1.00, 0.09,TrackingSpace,0.9980469,-0.33, 1.50, -0.81,0.00349, -0.99639, -0.08487, -0.00016
08/09/2023 11:40:30.464582,6,start,-0.29, 1.29, 0.42,0.00401, -0.99613, -0.08776, -0.00118,-0.36, 1.29, 0.42,0.00401, -0.99613, -0.08776, -0.00118,-0.33, 1.29, 0.42,0.00401, -0.99613, -0.08776, -0.00118,-0.29, 1.29, 0.42,-0.00004, 0.99914, 0.04140, 0.00095,355.25, 179.89, 0.00,0.00, 0.08, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.36, 1.29, 0.42,-0.00063, 0.99902, 0.04149, 0.01514,355.24, 178.26, 0.00,0.03, 0.08, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.32, 1.51, -0.81,0.00345, -0.99625, -0.08646, -0.00091
08/09/2023 11:40:30.481462,7,start,-0.29, 1.29, 0.42,0.00431, -0.99601, -0.08916, -0.00099,-0.36, 1.29, 0.42,0.00431, -0.99601, -0.08916, -0.00099,-0.33, 1.29, 0.42,0.00431, -0.99601, -0.08916, -0.00099,-0.29, 1.29, 0.42,-0.00004, 0.99914, 0.04140, 0.00095,355.25, 179.89, 0.00,0.00, 0.08, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.36, 1.29, 0.42,-0.00063, 0.99902, 0.04149, 0.01514,355.24, 178.26, 0.00,0.03, 0.08, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.32, 1.51, -0.81,0.00409, -0.99613, -0.08779, -0.00119
08/09/2023 11:40:30.497815,8,start,-0.29, 1.29, 0.42,0.00361, -0.99586, -0.09085, -0.00054,-0.36, 1.29, 0.42,0.00361, -0.99586, -0.09085, -0.00054,-0.33, 1.29, 0.42,0.00361, -0.99586, -0.09085, -0.00054,-0.29, 1.29, 0.42,-0.00007, 0.99914, 0.04142, 0.00158,355.25, 179.82, 0.00,0.00, 0.08, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.36, 1.29, 0.42,-0.00061, 0.99903, 0.04149, 0.01471,355.24, 178.31, 0.00,0.03, 0.08, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.33, 1.51, -0.81,0.00415, -0.99601, -0.08910, -0.00087
08/09/2023 11:40:30.514311,9,start,-0.29, 1.29, 0.42,0.00299, -0.99568, -0.09277, -0.00007,-0.36, 1.29, 0.42,0.00299, -0.99568, -0.09277, -0.00007,-0.33, 1.29, 0.42,0.00299, -0.99568, -0.09277, -0.00007,-0.29, 1.29, 0.42,-0.00007, 0.99914, 0.04142, 0.00158,355.25, 179.82, 0.00,0.00, 0.08, -1.00,-1.00, 0.00, 0.00,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.36, 1.29, 0.42,-0.00061, 0.99903, 0.04149, 0.01471,355.24, 178.31, 0.00,0.03, 0.08, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.08,TrackingSpace,0.9980469,-0.33, 1.52, -0.81,0.00342, -0.99585, -0.09093, -0.00044
