Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 11:47:40.506860,0,start,-0.31, 1.27, 0.43,-0.00298, -0.99755, -0.06895, -0.01129,-0.37, 1.27, 0.43,-0.00298, -0.99755, -0.06895, -0.01129,-0.34, 1.27, 0.43,-0.00298, -0.99755, -0.06895, -0.01129,-0.31, 1.27, 0.43,-0.01821, 0.98151, 0.14590, 0.12253,343.09, 165.77, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02005, 0.97991, 0.14466, 0.13579,343.20, 164.22, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00289, -0.99755, -0.06896, -0.01148
08/09/2023 11:47:40.520947,1,start,-0.31, 1.27, 0.43,-0.00309, -0.99755, -0.06900, -0.01124,-0.37, 1.27, 0.43,-0.00309, -0.99755, -0.06900, -0.01124,-0.34, 1.27, 0.43,-0.00309, -0.99755, -0.06900, -0.01124,-0.31, 1.27, 0.43,-0.01821, 0.98151, 0.14590, 0.12253,343.09, 165.77, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02005, 0.97991, 0.14466, 0.13579,343.20, 164.22, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.82,-0.00298, -0.99755, -0.06897, -0.01129
08/09/2023 11:47:40.535120,2,start,-0.31, 1.27, 0.43,-0.00314, -0.99755, -0.06905, -0.01116,-0.37, 1.27, 0.43,-0.00314, -0.99755, -0.06905, -0.01116,-0.34, 1.27, 0.43,-0.00314, -0.99755, -0.06905, -0.01116,-0.31, 1.27, 0.43,-0.01813, 0.98165, 0.14447, 0.12316,343.26, 165.70, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01980, 0.98016, 0.14333, 0.13543,343.36, 164.27, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.82,-0.00310, -0.99755, -0.06902, -0.01125
08/09/2023 11:47:40.549041,3,start,-0.31, 1.27, 0.43,-0.00313, -0.99754, -0.06920, -0.01102,-0.37, 1.27, 0.43,-0.00313, -0.99754, -0.06920, -0.01102,-0.34, 1.27, 0.43,-0.00313, -0.99754, -0.06920, -0.01102,-0.31, 1.27, 0.43,-0.01813, 0.98165, 0.14447, 0.12316,343.26, 165.70, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01980, 0.98016, 0.14333, 0.13543,343.36, 164.27, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.82,-0.00310, -0.99754, -0.06910, -0.01116
08/09/2023 11:47:40.563449,4,start,-0.31, 1.27, 0.43,-0.00303, -0.99753, -0.06933, -0.01092,-0.37, 1.27, 0.43,-0.00303, -0.99753, -0.06933, -0.01092,-0.34, 1.27, 0.43,-0.00303, -0.99753, -0.06933, -0.01092,-0.31, 1.27, 0.43,-0.01862, 0.98105, 0.14849, 0.12305,342.79, 165.70, 0.00,0.24, 0.30, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02035, 0.97958, 0.14731, 0.13533,342.90, 164.27, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.82,-0.00312, -0.99754, -0.06919, -0.01099
08/09/2023 11:47:40.577653,5,start,-0.31, 1.27, 0.43,-0.00300, -0.99752, -0.06944, -0.01087,-0.37, 1.27, 0.43,-0.00300, -0.99752, -0.06944, -0.01087,-0.34, 1.27, 0.43,-0.00300, -0.99752, -0.06944, -0.01087,-0.31, 1.27, 0.43,-0.01862, 0.98105, 0.14849, 0.12305,342.79, 165.70, 0.00,0.24, 0.30, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02035, 0.97958, 0.14731, 0.13533,342.90, 164.27, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00302, -0.99753, -0.06935, -0.01093
08/09/2023 11:47:40.591810,6,start,-0.31, 1.27, 0.43,-0.00298, -0.99751, -0.06957, -0.01083,-0.37, 1.27, 0.43,-0.00298, -0.99751, -0.06957, -0.01083,-0.34, 1.27, 0.43,-0.00298, -0.99751, -0.06957, -0.01083,-0.31, 1.27, 0.43,-0.01862, 0.98105, 0.14849, 0.12305,342.79, 165.70, 0.00,0.24, 0.30, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02035, 0.97958, 0.14731, 0.13533,342.90, 164.27, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00301, -0.99752, -0.06946, -0.01087
08/09/2023 11:47:40.606110,7,start,-0.31, 1.27, 0.43,-0.00294, -0.99751, -0.06964, -0.01071,-0.37, 1.27, 0.43,-0.00294, -0.99751, -0.06964, -0.01071,-0.34, 1.27, 0.43,-0.00294, -0.99751, -0.06964, -0.01071,-0.31, 1.27, 0.43,-0.01938, 0.98042, 0.14819, 0.12821,342.81, 165.10, 0.00,0.25, 0.30, -0.92,-0.97, 0.00, -0.26,-0.08, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02069, 0.97926, 0.14727, 0.13758,342.90, 164.01, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.28,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00300, -0.99752, -0.06955, -0.01080
08/09/2023 11:47:40.620295,8,start,-0.31, 1.27, 0.43,-0.00303, -0.99751, -0.06960, -0.01066,-0.37, 1.27, 0.43,-0.00303, -0.99751, -0.06960, -0.01066,-0.34, 1.27, 0.43,-0.00303, -0.99751, -0.06960, -0.01066,-0.31, 1.27, 0.43,-0.01938, 0.98042, 0.14819, 0.12821,342.81, 165.10, 0.00,0.25, 0.30, -0.92,-0.97, 0.00, -0.26,-0.08, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02069, 0.97926, 0.14727, 0.13758,342.90, 164.01, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.28,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00295, -0.99751, -0.06961, -0.01073
08/09/2023 11:47:40.634463,9,start,-0.31, 1.27, 0.43,-0.00325, -0.99750, -0.06974, -0.01063,-0.37, 1.27, 0.43,-0.00325, -0.99750, -0.06974, -0.01063,-0.34, 1.27, 0.43,-0.00325, -0.99750, -0.06974, -0.01063,-0.31, 1.27, 0.43,-0.01939, 0.98040, 0.14851, 0.12803,342.77, 165.12, 0.00,0.25, 0.30, -0.92,-0.97, 0.00, -0.26,-0.08, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02071, 0.97924, 0.14758, 0.13739,342.86, 164.03, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.28,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00307, -0.99751, -0.06958, -0.01065
08/09/2023 11:47:40.647906,10,start,-0.31, 1.27, 0.43,-0.00332, -0.99749, -0.06998, -0.01057,-0.37, 1.27, 0.43,-0.00332, -0.99749, -0.06998, -0.01057,-0.34, 1.27, 0.43,-0.00332, -0.99749, -0.06998, -0.01057,-0.31, 1.27, 0.43,-0.01939, 0.98040, 0.14851, 0.12803,342.77, 165.12, 0.00,0.25, 0.30, -0.92,-0.97, 0.00, -0.26,-0.08, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02071, 0.97924, 0.14758, 0.13739,342.86, 164.03, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.28,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00325, -0.99750, -0.06976, -0.01066
08/09/2023 11:47:40.662091,11,start,-0.31, 1.27, 0.43,-0.00317, -0.99749, -0.07003, -0.01043,-0.37, 1.27, 0.43,-0.00317, -0.99749, -0.07003, -0.01043,-0.34, 1.27, 0.43,-0.00317, -0.99749, -0.07003, -0.01043,-0.31, 1.27, 0.43,-0.01887, 0.98084, 0.14870, 0.12447,342.76, 165.54, 0.00,0.24, 0.30, -0.92,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02023, 0.97968, 0.14777, 0.13412,342.84, 164.41, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.25, 1.86, -0.81,-0.00329, -0.99749, -0.07000, -0.01057
08/09/2023 11:47:40.676001,12,start,-0.31, 1.27, 0.43,-0.00311, -0.99749, -0.06999, -0.01036,-0.37, 1.27, 0.43,-0.00311, -0.99749, -0.06999, -0.01036,-0.34, 1.27, 0.43,-0.00311, -0.99749, -0.06999, -0.01036,-0.31, 1.27, 0.43,-0.01887, 0.98084, 0.14870, 0.12447,342.76, 165.54, 0.00,0.24, 0.30, -0.92,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02023, 0.97968, 0.14777, 0.13412,342.84, 164.41, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.81,-0.00316, -0.99749, -0.07003, -0.01043
08/09/2023 11:47:40.689965,13,start,-0.31, 1.27, 0.43,-0.00325, -0.99750, -0.06982, -0.01034,-0.37, 1.27, 0.43,-0.00325, -0.99750, -0.06982, -0.01034,-0.34, 1.27, 0.43,-0.00325, -0.99750, -0.06982, -0.01034,-0.31, 1.27, 0.43,-0.01887, 0.98084, 0.14870, 0.12447,342.76, 165.54, 0.00,0.24, 0.30, -0.92,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02023, 0.97968, 0.14777, 0.13412,342.84, 164.41, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.81,-0.00310, -0.99749, -0.06996, -0.01037
08/09/2023 11:47:40.703835,14,start,-0.31, 1.27, 0.43,-0.00344, -0.99750, -0.06976, -0.01032,-0.37, 1.27, 0.43,-0.00344, -0.99750, -0.06976, -0.01032,-0.34, 1.27, 0.43,-0.00344, -0.99750, -0.06976, -0.01032,-0.31, 1.27, 0.43,-0.01826, 0.98152, 0.14467, 0.12390,343.23, 165.61, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01957, 0.98037, 0.14377, 0.13348,343.31, 164.49, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.81,-0.00328, -0.99750, -0.06983, -0.01034
08/09/2023 11:47:40.717480,15,start,-0.31, 1.27, 0.43,-0.00356, -0.99751, -0.06964, -0.01030,-0.37, 1.27, 0.43,-0.00356, -0.99751, -0.06964, -0.01030,-0.34, 1.27, 0.43,-0.00356, -0.99751, -0.06964, -0.01030,-0.31, 1.27, 0.43,-0.01826, 0.98152, 0.14467, 0.12390,343.23, 165.61, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01957, 0.98037, 0.14377, 0.13348,343.31, 164.49, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.81,-0.00346, -0.99750, -0.06976, -0.01034
08/09/2023 11:47:40.731208,16,start,-0.31, 1.27, 0.43,-0.00361, -0.99752, -0.06959, -0.01021,-0.37, 1.27, 0.43,-0.00361, -0.99752, -0.06959, -0.01021,-0.34, 1.27, 0.43,-0.00361, -0.99752, -0.06959, -0.01021,-0.31, 1.27, 0.43,-0.01827, 0.98152, 0.14453, 0.12408,343.25, 165.59, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01955, 0.98040, 0.14365, 0.13339,343.33, 164.50, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.81,-0.00356, -0.99751, -0.06964, -0.01030
08/09/2023 11:47:40.745447,17,start,-0.31, 1.27, 0.43,-0.00364, -0.99752, -0.06960, -0.01015,-0.37, 1.27, 0.43,-0.00364, -0.99752, -0.06960, -0.01015,-0.34, 1.27, 0.43,-0.00364, -0.99752, -0.06960, -0.01015,-0.31, 1.27, 0.43,-0.01827, 0.98152, 0.14453, 0.12408,343.25, 165.59, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.28,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01955, 0.98040, 0.14365, 0.13339,343.33, 164.50, 0.00,0.26, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.82,-0.00359, -0.99752, -0.06958, -0.01021
08/09/2023 11:47:40.759603,18,start,-0.31, 1.27, 0.43,-0.00366, -0.99751, -0.06964, -0.01012,-0.37, 1.27, 0.43,-0.00366, -0.99751, -0.06964, -0.01012,-0.34, 1.27, 0.43,-0.00366, -0.99751, -0.06964, -0.01012,-0.31, 1.27, 0.43,-0.01867, 0.98104, 0.14785, 0.12391,342.86, 165.60, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01987, 0.98002, 0.14703, 0.13247,342.94, 164.60, 0.00,0.25, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.82,-0.00362, -0.99751, -0.06962, -0.01018
08/09/2023 11:47:40.773430,19,start,-0.31, 1.27, 0.43,-0.00370, -0.99751, -0.06975, -0.01001,-0.37, 1.27, 0.43,-0.00370, -0.99751, -0.06975, -0.01001,-0.34, 1.27, 0.43,-0.00370, -0.99751, -0.06975, -0.01001,-0.31, 1.27, 0.43,-0.01867, 0.98104, 0.14785, 0.12391,342.86, 165.60, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01987, 0.98002, 0.14703, 0.13247,342.94, 164.60, 0.00,0.25, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.82,-0.00364, -0.99751, -0.06965, -0.01011
08/09/2023 11:47:40.787034,20,start,-0.31, 1.27, 0.43,-0.00364, -0.99750, -0.06986, -0.00995,-0.37, 1.27, 0.43,-0.00364, -0.99750, -0.06986, -0.00995,-0.34, 1.27, 0.43,-0.00364, -0.99750, -0.06986, -0.00995,-0.31, 1.27, 0.43,-0.01867, 0.98104, 0.14785, 0.12391,342.86, 165.60, 0.00,0.24, 0.29, -0.93,-0.97, 0.00, -0.25,-0.07, 0.96, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.01987, 0.98002, 0.14703, 0.13247,342.94, 164.60, 0.00,0.25, 0.29, -0.92,-0.96, 0.00, -0.27,-0.08, 0.96, 0.28,TrackingSpace,0.9980469,0.24, 1.86, -0.82,-0.00366, -0.99751, -0.06976, -0.01005
08/09/2023 11:47:40.801225,21,start,-0.31, 1.27, 0.43,-0.00359, -0.99750, -0.06996, -0.00983,-0.37, 1.27, 0.43,-0.00359, -0.99750, -0.06996, -0.00983,-0.34, 1.27, 0.43,-0.00359, -0.99750, -0.06996, -0.00983,-0.31, 1.27, 0.43,-0.01865, 0.98090, 0.15121, 0.12095,342.47, 165.94, 0.00,0.23, 0.30, -0.93,-0.97, 0.00, -0.24,-0.07, 0.95, 0.29,TrackingSpace,0.9980469,-0.37, 1.27, 0.43,-0.02023, 0.97960, 0.15014, 0.13201,342.57, 164.65, 0.00,0.25, 0.30, -0.92,-0.96, 0.00, -0.26,-0.08, 0.95, 0.29,TrackingSpace,0.9980469,0.24, 1.86, -0.82,-0.00364, -0.99750, -0.06986, -0.00993
