Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 11:57:11.349319,0,start,-0.26, 1.34, 0.77,-0.04079, 0.91506, 0.32028, 0.24173,-0.31, 1.34, 0.74,-0.04079, 0.91506, 0.32028, 0.24173,-0.28, 1.34, 0.76,-0.04079, 0.91506, 0.32028, 0.24173,-0.25, 1.33, 0.77,-0.10554, 0.89398, 0.32306, 0.29206,320.26, 143.82, 0.00,0.45, 0.64, -0.62,-0.81, 0.00, -0.59,-0.38, 0.77, 0.52,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11013, 0.88979, 0.31944, 0.30677,320.50, 141.95, 0.00,0.48, 0.64, -0.61,-0.79, 0.00, -0.62,-0.39, 0.77, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.363040,1,start,-0.26, 1.34, 0.77,-0.04124, 0.91536, 0.31959, 0.24139,-0.31, 1.34, 0.74,-0.04124, 0.91536, 0.31959, 0.24139,-0.28, 1.34, 0.76,-0.04124, 0.91536, 0.31959, 0.24139,-0.25, 1.33, 0.77,-0.10554, 0.89398, 0.32306, 0.29206,320.26, 143.82, 0.00,0.45, 0.64, -0.62,-0.81, 0.00, -0.59,-0.38, 0.77, 0.52,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11013, 0.88979, 0.31944, 0.30677,320.50, 141.95, 0.00,0.48, 0.64, -0.61,-0.79, 0.00, -0.62,-0.39, 0.77, 0.50,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.376711,2,start,-0.26, 1.34, 0.77,-0.04144, 0.91562, 0.31902, 0.24116,-0.31, 1.34, 0.74,-0.04144, 0.91562, 0.31902, 0.24116,-0.28, 1.34, 0.76,-0.04144, 0.91562, 0.31902, 0.24116,-0.25, 1.33, 0.77,-0.10685, 0.89248, 0.32757, 0.29112,319.69, 143.87, 0.00,0.45, 0.65, -0.62,-0.81, 0.00, -0.59,-0.38, 0.76, 0.52,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11156, 0.88828, 0.32394, 0.30591,319.93, 141.99, 0.00,0.47, 0.64, -0.60,-0.79, 0.00, -0.62,-0.40, 0.77, 0.51,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.390969,3,start,-0.26, 1.34, 0.77,-0.04167, 0.91588, 0.31844, 0.24089,-0.31, 1.34, 0.74,-0.04167, 0.91588, 0.31844, 0.24089,-0.28, 1.34, 0.76,-0.04167, 0.91588, 0.31844, 0.24089,-0.25, 1.33, 0.77,-0.10685, 0.89248, 0.32757, 0.29112,319.69, 143.87, 0.00,0.45, 0.65, -0.62,-0.81, 0.00, -0.59,-0.38, 0.76, 0.52,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11156, 0.88828, 0.32394, 0.30591,319.93, 141.99, 0.00,0.47, 0.64, -0.60,-0.79, 0.00, -0.62,-0.40, 0.77, 0.51,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.405125,4,start,-0.26, 1.34, 0.77,-0.04190, 0.91607, 0.31799, 0.24072,-0.31, 1.34, 0.74,-0.04190, 0.91607, 0.31799, 0.24072,-0.28, 1.34, 0.76,-0.04190, 0.91607, 0.31799, 0.24072,-0.25, 1.33, 0.77,-0.10505, 0.89411, 0.32757, 0.28674,319.76, 144.44, 0.00,0.44, 0.65, -0.62,-0.81, 0.00, -0.58,-0.38, 0.76, 0.53,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11011, 0.88967, 0.32381, 0.30252,320.00, 142.44, 0.00,0.47, 0.64, -0.61,-0.79, 0.00, -0.61,-0.39, 0.77, 0.51,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.419177,5,start,-0.26, 1.34, 0.77,-0.04210, 0.91629, 0.31740, 0.24064,-0.31, 1.34, 0.74,-0.04210, 0.91629, 0.31740, 0.24064,-0.28, 1.34, 0.76,-0.04210, 0.91629, 0.31740, 0.24064,-0.25, 1.33, 0.77,-0.10505, 0.89411, 0.32757, 0.28674,319.76, 144.44, 0.00,0.44, 0.65, -0.62,-0.81, 0.00, -0.58,-0.38, 0.76, 0.53,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11011, 0.88967, 0.32381, 0.30252,320.00, 142.44, 0.00,0.47, 0.64, -0.61,-0.79, 0.00, -0.61,-0.39, 0.77, 0.51,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.433571,6,start,-0.26, 1.34, 0.77,-0.04212, 0.91649, 0.31684, 0.24058,-0.31, 1.34, 0.74,-0.04212, 0.91649, 0.31684, 0.24058,-0.28, 1.34, 0.76,-0.04212, 0.91649, 0.31684, 0.24058,-0.25, 1.33, 0.77,-0.10505, 0.89411, 0.32757, 0.28674,319.76, 144.44, 0.00,0.44, 0.65, -0.62,-0.81, 0.00, -0.58,-0.38, 0.76, 0.53,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.11011, 0.88967, 0.32381, 0.30252,320.00, 142.44, 0.00,0.47, 0.64, -0.61,-0.79, 0.00, -0.61,-0.39, 0.77, 0.51,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.448103,7,start,-0.26, 1.34, 0.77,-0.04220, 0.91663, 0.31644, 0.24055,-0.31, 1.34, 0.74,-0.04220, 0.91663, 0.31644, 0.24055,-0.28, 1.34, 0.76,-0.04220, 0.91663, 0.31644, 0.24055,-0.26, 1.33, 0.77,-0.07767, 0.92224, 0.26096, 0.27448,328.40, 146.85, 0.00,0.47, 0.52, -0.71,-0.84, 0.00, -0.55,-0.29, 0.85, 0.44,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.08271, 0.91657, 0.25702, 0.29497,328.67, 144.32, 0.00,0.50, 0.52, -0.69,-0.81, 0.00, -0.58,-0.30, 0.85, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.461837,8,start,-0.26, 1.34, 0.77,-0.04244, 0.91678, 0.31604, 0.24049,-0.31, 1.34, 0.74,-0.04244, 0.91678, 0.31604, 0.24049,-0.28, 1.34, 0.76,-0.04244, 0.91678, 0.31604, 0.24049,-0.26, 1.33, 0.77,-0.07767, 0.92224, 0.26096, 0.27448,328.40, 146.85, 0.00,0.47, 0.52, -0.71,-0.84, 0.00, -0.55,-0.29, 0.85, 0.44,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.08271, 0.91657, 0.25702, 0.29497,328.67, 144.32, 0.00,0.50, 0.52, -0.69,-0.81, 0.00, -0.58,-0.30, 0.85, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.476146,9,start,-0.26, 1.34, 0.77,-0.04247, 0.91691, 0.31556, 0.24060,-0.31, 1.34, 0.74,-0.04247, 0.91691, 0.31556, 0.24060,-0.28, 1.34, 0.76,-0.04247, 0.91691, 0.31556, 0.24060,-0.26, 1.33, 0.77,-0.07716, 0.92274, 0.26000, 0.27384,328.53, 146.94, 0.00,0.47, 0.52, -0.71,-0.84, 0.00, -0.55,-0.28, 0.85, 0.44,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.08219, 0.91708, 0.25611, 0.29431,328.79, 144.41, 0.00,0.50, 0.52, -0.70,-0.81, 0.00, -0.58,-0.30, 0.86, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.490310,10,start,-0.26, 1.34, 0.77,-0.04234, 0.91703, 0.31523, 0.24060,-0.31, 1.34, 0.74,-0.04234, 0.91703, 0.31523, 0.24060,-0.28, 1.34, 0.76,-0.04234, 0.91703, 0.31523, 0.24060,-0.26, 1.33, 0.77,-0.07716, 0.92274, 0.26000, 0.27384,328.53, 146.94, 0.00,0.47, 0.52, -0.71,-0.84, 0.00, -0.55,-0.28, 0.85, 0.44,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.08219, 0.91708, 0.25611, 0.29431,328.79, 144.41, 0.00,0.50, 0.52, -0.70,-0.81, 0.00, -0.58,-0.30, 0.86, 0.42,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.504379,11,start,-0.26, 1.34, 0.77,-0.04233, 0.91711, 0.31492, 0.24072,-0.31, 1.34, 0.74,-0.04233, 0.91711, 0.31492, 0.24072,-0.28, 1.34, 0.76,-0.04233, 0.91711, 0.31492, 0.24072,-0.26, 1.33, 0.77,-0.09796, 0.90170, 0.31045, 0.28452,322.00, 144.98, 0.00,0.45, 0.62, -0.65,-0.82, 0.00, -0.57,-0.35, 0.79, 0.50,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.10352, 0.89647, 0.30627, 0.30301,322.28, 142.65, 0.00,0.48, 0.61, -0.63,-0.79, 0.00, -0.61,-0.37, 0.79, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.518207,12,start,-0.26, 1.34, 0.77,-0.04271, 0.91718, 0.31467, 0.24069,-0.31, 1.34, 0.74,-0.04271, 0.91718, 0.31467, 0.24069,-0.28, 1.34, 0.76,-0.04271, 0.91718, 0.31467, 0.24069,-0.26, 1.33, 0.77,-0.09796, 0.90170, 0.31045, 0.28452,322.00, 144.98, 0.00,0.45, 0.62, -0.65,-0.82, 0.00, -0.57,-0.35, 0.79, 0.50,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.10352, 0.89647, 0.30627, 0.30301,322.28, 142.65, 0.00,0.48, 0.61, -0.63,-0.79, 0.00, -0.61,-0.37, 0.79, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 11:57:11.532524,13,start,-0.26, 1.34, 0.77,-0.04292, 0.91727, 0.31445, 0.24063,-0.31, 1.34, 0.74,-0.04292, 0.91727, 0.31445, 0.24063,-0.28, 1.34, 0.76,-0.04292, 0.91727, 0.31445, 0.24063,-0.26, 1.33, 0.77,-0.09796, 0.90170, 0.31045, 0.28452,322.00, 144.98, 0.00,0.45, 0.62, -0.65,-0.82, 0.00, -0.57,-0.35, 0.79, 0.50,TrackingSpace,0.9980469,-0.31, 1.34, 0.74,-0.10352, 0.89647, 0.30627, 0.30301,322.28, 142.65, 0.00,0.48, 0.61, -0.63,-0.79, 0.00, -0.61,-0.37, 0.79, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
