Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 13:12:16.880425,0,start,-0.10, 1.75, -0.58,0.09335, -0.07278, 0.03176, -0.99246,-0.03, 1.75, -0.58,0.09335, -0.07278, 0.03176, -0.99246,-0.07, 1.75, -0.58,0.09335, -0.07278, 0.03176, -0.99246,-0.06, 1.75, -0.56,-0.14117, 0.17792, 0.02580, 0.97353,343.50, 20.71, 0.00,0.34, 0.28, 0.90,0.94, 0.00, -0.35,-0.10, 0.96, -0.27,TrackingSpace,0.9980469,0.00, 1.75, -0.56,-0.14471, 0.15420, 0.02284, 0.97712,343.15, 17.94, 0.00,0.29, 0.29, 0.91,0.95, 0.00, -0.31,-0.09, 0.96, -0.28,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.893997,1,start,-0.11, 1.75, -0.58,0.09089, -0.07648, 0.03217, -0.99240,-0.04, 1.75, -0.59,0.09089, -0.07648, 0.03217, -0.99240,-0.07, 1.75, -0.58,0.09089, -0.07648, 0.03217, -0.99240,-0.08, 1.75, -0.56,-0.13111, 0.18650, 0.02512, 0.97334,344.66, 21.69, 0.00,0.36, 0.26, 0.90,0.93, 0.00, -0.37,-0.10, 0.96, -0.25,TrackingSpace,0.9980469,-0.01, 1.75, -0.57,-0.13468, 0.16290, 0.02245, 0.97715,344.31, 18.93, 0.00,0.31, 0.27, 0.91,0.95, 0.00, -0.32,-0.09, 0.96, -0.26,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.908305,2,start,-0.11, 1.75, -0.58,0.08889, -0.08073, 0.03401, -0.99218,-0.05, 1.75, -0.59,0.08889, -0.08073, 0.03401, -0.99218,-0.08, 1.75, -0.59,0.08889, -0.08073, 0.03401, -0.99218,-0.08, 1.75, -0.56,-0.13111, 0.18650, 0.02512, 0.97334,344.66, 21.69, 0.00,0.36, 0.26, 0.90,0.93, 0.00, -0.37,-0.10, 0.96, -0.25,TrackingSpace,0.9980469,-0.01, 1.75, -0.57,-0.13468, 0.16290, 0.02245, 0.97715,344.31, 18.93, 0.00,0.31, 0.27, 0.91,0.95, 0.00, -0.32,-0.09, 0.96, -0.26,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.922484,3,start,-0.12, 1.75, -0.59,0.08739, -0.08432, 0.03486, -0.99199,-0.05, 1.75, -0.60,0.08739, -0.08432, 0.03486, -0.99199,-0.09, 1.75, -0.59,0.08739, -0.08432, 0.03486, -0.99199,-0.09, 1.75, -0.57,-0.12514, 0.17766, 0.02278, 0.97584,345.38, 20.64, 0.00,0.34, 0.25, 0.91,0.94, 0.00, -0.35,-0.09, 0.97, -0.24,TrackingSpace,0.9980469,-0.03, 1.75, -0.58,-0.12849, 0.15427, 0.02024, 0.97943,345.05, 17.90, 0.00,0.30, 0.26, 0.92,0.95, 0.00, -0.31,-0.08, 0.97, -0.25,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.936392,4,start,-0.13, 1.75, -0.59,0.08645, -0.08754, 0.03441, -0.99181,-0.06, 1.75, -0.60,0.08645, -0.08754, 0.03441, -0.99181,-0.09, 1.75, -0.59,0.08645, -0.08754, 0.03441, -0.99181,-0.09, 1.75, -0.57,-0.12514, 0.17766, 0.02278, 0.97584,345.38, 20.64, 0.00,0.34, 0.25, 0.91,0.94, 0.00, -0.35,-0.09, 0.97, -0.24,TrackingSpace,0.9980469,-0.03, 1.75, -0.58,-0.12849, 0.15427, 0.02024, 0.97943,345.05, 17.90, 0.00,0.30, 0.26, 0.92,0.95, 0.00, -0.31,-0.08, 0.97, -0.25,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.950100,5,start,-0.13, 1.76, -0.59,0.08611, -0.09079, 0.03454, -0.99154,-0.07, 1.75, -0.60,0.08611, -0.09079, 0.03454, -0.99154,-0.10, 1.75, -0.60,0.08611, -0.09079, 0.03454, -0.99154,-0.11, 1.75, -0.58,-0.11966, 0.18686, 0.02294, 0.97480,346.00, 21.70, 0.00,0.36, 0.24, 0.90,0.93, 0.00, -0.37,-0.09, 0.97, -0.22,TrackingSpace,0.9980469,-0.05, 1.75, -0.59,-0.12309, 0.16358, 0.02058, 0.97860,345.66, 18.98, 0.00,0.32, 0.25, 0.92,0.95, 0.00, -0.33,-0.08, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.964509,6,start,-0.14, 1.76, -0.59,0.08616, -0.09392, 0.03499, -0.99123,-0.08, 1.75, -0.61,0.08616, -0.09392, 0.03499, -0.99123,-0.11, 1.75, -0.60,0.08616, -0.09392, 0.03499, -0.99123,-0.11, 1.75, -0.58,-0.11966, 0.18686, 0.02294, 0.97480,346.00, 21.70, 0.00,0.36, 0.24, 0.90,0.93, 0.00, -0.37,-0.09, 0.97, -0.22,TrackingSpace,0.9980469,-0.05, 1.75, -0.59,-0.12309, 0.16358, 0.02058, 0.97860,345.66, 18.98, 0.00,0.32, 0.25, 0.92,0.95, 0.00, -0.33,-0.08, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.978842,7,start,-0.15, 1.76, -0.60,0.08667, -0.09701, 0.03595, -0.99085,-0.08, 1.75, -0.61,0.08667, -0.09701, 0.03595, -0.99085,-0.11, 1.75, -0.60,0.08667, -0.09701, 0.03595, -0.99085,-0.11, 1.75, -0.58,-0.11966, 0.18686, 0.02294, 0.97480,346.00, 21.70, 0.00,0.36, 0.24, 0.90,0.93, 0.00, -0.37,-0.09, 0.97, -0.22,TrackingSpace,0.9980469,-0.05, 1.75, -0.59,-0.12309, 0.16358, 0.02058, 0.97860,345.66, 18.98, 0.00,0.32, 0.25, 0.92,0.95, 0.00, -0.33,-0.08, 0.97, -0.23,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:16.992426,8,start,-0.15, 1.76, -0.60,0.08722, -0.10035, 0.03708, -0.99043,-0.09, 1.75, -0.61,0.08722, -0.10035, 0.03708, -0.99043,-0.12, 1.75, -0.61,0.08722, -0.10035, 0.03708, -0.99043,-0.13, 1.75, -0.59,-0.12169, 0.20963, 0.02630, 0.96982,345.70, 24.39, 0.00,0.40, 0.25, 0.88,0.91, 0.00, -0.41,-0.10, 0.97, -0.23,TrackingSpace,0.9980469,-0.06, 1.75, -0.60,-0.12562, 0.18551, 0.02392, 0.97429,345.31, 21.56, 0.00,0.36, 0.25, 0.90,0.93, 0.00, -0.37,-0.09, 0.97, -0.24,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 13:12:17.006487,9,start,-0.16, 1.76, -0.60,0.08747, -0.10375, 0.03804, -0.99002,-0.09, 1.75, -0.62,0.08747, -0.10375, 0.03804, -0.99002,-0.13, 1.76, -0.61,0.08747, -0.10375, 0.03804, -0.99002,-0.13, 1.75, -0.59,-0.12169, 0.20963, 0.02630, 0.96982,345.70, 24.39, 0.00,0.40, 0.25, 0.88,0.91, 0.00, -0.41,-0.10, 0.97, -0.23,TrackingSpace,0.9980469,-0.06, 1.75, -0.60,-0.12562, 0.18551, 0.02392, 0.97429,345.31, 21.56, 0.00,0.36, 0.25, 0.90,0.93, 0.00, -0.37,-0.09, 0.97, -0.24,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
