Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 14:22:28.809774,0,start,-0.36, 1.31, 0.38,0.00353, 0.99905, 0.02487, 0.03561,-0.43, 1.31, 0.38,0.00353, 0.99905, 0.02487, 0.03561,-0.40, 1.31, 0.38,0.00353, 0.99905, 0.02487, 0.03561,-0.36, 1.31, 0.38,-0.00001, 0.99921, 0.00030, 0.03976,359.97, 175.44, 0.00,0.08, 0.00, -1.00,-1.00, 0.00, -0.08,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,-0.00001, 0.99830, 0.00013, 0.05832,359.98, 173.31, 0.00,0.12, 0.00, -0.99,-0.99, 0.00, -0.12,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00361, 0.99905, 0.02484, 0.03565
08/09/2023 14:22:28.823577,1,start,-0.36, 1.31, 0.38,0.00353, 0.99905, 0.02498, 0.03566,-0.43, 1.31, 0.38,0.00353, 0.99905, 0.02498, 0.03566,-0.40, 1.31, 0.38,0.00353, 0.99905, 0.02498, 0.03566,-0.36, 1.31, 0.38,-0.00001, 0.99921, 0.00030, 0.03976,359.97, 175.44, 0.00,0.08, 0.00, -1.00,-1.00, 0.00, -0.08,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,-0.00001, 0.99830, 0.00013, 0.05832,359.98, 173.31, 0.00,0.12, 0.00, -0.99,-0.99, 0.00, -0.12,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00354, 0.99905, 0.02489, 0.03562
08/09/2023 14:22:28.838351,2,start,-0.36, 1.31, 0.38,0.00345, 0.99905, 0.02500, 0.03563,-0.43, 1.31, 0.38,0.00345, 0.99905, 0.02500, 0.03563,-0.40, 1.31, 0.38,0.00345, 0.99905, 0.02500, 0.03563,-0.36, 1.31, 0.38,-0.00001, 0.99921, 0.00030, 0.03976,359.97, 175.44, 0.00,0.08, 0.00, -1.00,-1.00, 0.00, -0.08,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,-0.00001, 0.99830, 0.00013, 0.05832,359.98, 173.31, 0.00,0.12, 0.00, -0.99,-0.99, 0.00, -0.12,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00353, 0.99905, 0.02498, 0.03566
08/09/2023 14:22:28.852223,3,start,-0.36, 1.31, 0.38,0.00343, 0.99904, 0.02501, 0.03567,-0.43, 1.31, 0.38,0.00343, 0.99904, 0.02501, 0.03567,-0.40, 1.31, 0.38,0.00343, 0.99904, 0.02501, 0.03567,-0.36, 1.31, 0.38,-0.00001, 0.99922, 0.00036, 0.03958,359.96, 175.46, 0.00,0.08, 0.00, -1.00,-1.00, 0.00, -0.08,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,-0.00001, 0.99831, 0.00020, 0.05814,359.98, 173.33, 0.00,0.12, 0.00, -0.99,-0.99, 0.00, -0.12,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00346, 0.99904, 0.02501, 0.03567
08/09/2023 14:22:28.866041,4,start,-0.36, 1.31, 0.38,0.00336, 0.99904, 0.02495, 0.03572,-0.43, 1.31, 0.38,0.00336, 0.99904, 0.02495, 0.03572,-0.40, 1.31, 0.38,0.00336, 0.99904, 0.02495, 0.03572,-0.36, 1.31, 0.38,-0.00001, 0.99922, 0.00036, 0.03958,359.96, 175.46, 0.00,0.08, 0.00, -1.00,-1.00, 0.00, -0.08,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,-0.00001, 0.99831, 0.00020, 0.05814,359.98, 173.33, 0.00,0.12, 0.00, -0.99,-0.99, 0.00, -0.12,0.00, 1.00, 0.00,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00344, 0.99904, 0.02500, 0.03571
08/09/2023 14:22:28.880506,5,start,-0.36, 1.31, 0.38,0.00338, 0.99904, 0.02491, 0.03577,-0.43, 1.31, 0.38,0.00338, 0.99904, 0.02491, 0.03577,-0.40, 1.31, 0.38,0.00338, 0.99904, 0.02491, 0.03577,-0.36, 1.31, 0.38,0.00059, 0.99936, -0.01942, 0.03014,2.23, 176.55, 0.00,0.06, -0.04, -1.00,-1.00, 0.00, -0.06,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,0.00092, 0.99870, -0.01955, 0.04706,2.24, 174.60, 0.00,0.09, -0.04, -0.99,-1.00, 0.00, -0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00337, 0.99904, 0.02494, 0.03575
08/09/2023 14:22:28.894524,6,start,-0.36, 1.31, 0.38,0.00340, 0.99904, 0.02488, 0.03586,-0.43, 1.31, 0.38,0.00340, 0.99904, 0.02488, 0.03586,-0.40, 1.31, 0.38,0.00340, 0.99904, 0.02488, 0.03586,-0.36, 1.31, 0.38,0.00059, 0.99936, -0.01942, 0.03014,2.23, 176.55, 0.00,0.06, -0.04, -1.00,-1.00, 0.00, -0.06,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,0.00092, 0.99870, -0.01955, 0.04706,2.24, 174.60, 0.00,0.09, -0.04, -0.99,-1.00, 0.00, -0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00340, 0.99904, 0.02490, 0.03578
08/09/2023 14:22:28.908719,7,start,-0.36, 1.31, 0.38,0.00343, 0.99904, 0.02488, 0.03588,-0.43, 1.31, 0.38,0.00343, 0.99904, 0.02488, 0.03588,-0.40, 1.31, 0.38,0.00343, 0.99904, 0.02488, 0.03588,-0.36, 1.31, 0.38,0.00053, 0.99944, -0.01943, 0.02724,2.23, 176.88, 0.00,0.05, -0.04, -1.00,-1.00, 0.00, -0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,0.00086, 0.99884, -0.01956, 0.04404,2.24, 174.95, 0.00,0.09, -0.04, -1.00,-1.00, 0.00, -0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00345, 0.99904, 0.02486, 0.03588
08/09/2023 14:22:28.922496,8,start,-0.36, 1.31, 0.38,0.00346, 0.99904, 0.02495, 0.03592,-0.43, 1.31, 0.38,0.00346, 0.99904, 0.02495, 0.03592,-0.40, 1.31, 0.38,0.00346, 0.99904, 0.02495, 0.03592,-0.36, 1.31, 0.38,0.00053, 0.99944, -0.01943, 0.02724,2.23, 176.88, 0.00,0.05, -0.04, -1.00,-1.00, 0.00, -0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,0.00086, 0.99884, -0.01956, 0.04404,2.24, 174.95, 0.00,0.09, -0.04, -1.00,-1.00, 0.00, -0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00345, 0.99904, 0.02489, 0.03588
08/09/2023 14:22:28.937056,9,start,-0.36, 1.31, 0.38,0.00349, 0.99903, 0.02499, 0.03598,-0.43, 1.31, 0.38,0.00349, 0.99903, 0.02499, 0.03598,-0.40, 1.31, 0.38,0.00349, 0.99903, 0.02499, 0.03598,-0.36, 1.31, 0.38,0.00053, 0.99944, -0.01943, 0.02724,2.23, 176.88, 0.00,0.05, -0.04, -1.00,-1.00, 0.00, -0.05,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.43, 1.31, 0.38,0.00086, 0.99884, -0.01956, 0.04404,2.24, 174.95, 0.00,0.09, -0.04, -1.00,-1.00, 0.00, -0.09,0.00, 1.00, -0.04,TrackingSpace,0.9980469,-0.31, 1.38, -0.87,0.00346, 0.99904, 0.02494, 0.03593
