,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y
0,08/09/2023 14:22:28.809774,0,start,-0.36,1.31,0.38,0.00353,0.99905,0.02487,0.03561,-0.43,1.31,0.38,0.00353,0.99905,0.02487,0.03561,-0.4,1.31,0.38,0.00353,0.99905,0.02487,0.03561,-0.36,1.31,0.38,-1e-05,0.99921,0.0003,0.03976,359.97,175.44,0.0,0.08,0.0,-1.0,-1.0,0.0,-0.08,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.43,1.31,0.38,-1e-05,0.9983,0.00013,0.05832,359.98,173.31,0.0,0.12,0.0,-0.99,-0.99,0.0,-0.12,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00361,0.99905,0.02484,0.03565,-0.22446078431371352,1.31,-1.3186151960785504,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.1705392156862865,0.0,1.6986151960785505,-0.10006365642065763,0.0,-0.07187596955633493,-0.055941571233560826
1,08/09/2023 14:22:28.823577,1,start,-0.36,1.31,0.38,0.00353,0.99905,0.02498,0.03566,-0.43,1.31,0.38,0.00353,0.99905,0.02498,0.03566,-0.4,1.31,0.38,0.00353,0.99905,0.02498,0.03566,-0.36,1.31,0.38,-1e-05,0.99921,0.0003,0.03976,359.97,175.44,0.0,0.08,0.0,-1.0,-1.0,0.0,-0.08,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.43,1.31,0.38,-1e-05,0.9983,0.00013,0.05832,359.98,173.31,0.0,0.12,0.0,-0.99,-0.99,0.0,-0.12,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00354,0.99905,0.02489,0.03562,-0.22446078431371352,1.31,-1.3186151960785504,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.1705392156862865,0.0,1.6986151960785505,-0.10006365642065763,0.0,-0.07187596955633493,-0.055941571233560826
2,08/09/2023 14:22:28.838351,2,start,-0.36,1.31,0.38,0.00345,0.99905,0.025,0.03563,-0.43,1.31,0.38,0.00345,0.99905,0.025,0.03563,-0.4,1.31,0.38,0.00345,0.99905,0.025,0.03563,-0.36,1.31,0.38,-1e-05,0.99921,0.0003,0.03976,359.97,175.44,0.0,0.08,0.0,-1.0,-1.0,0.0,-0.08,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.43,1.31,0.38,-1e-05,0.9983,0.00013,0.05832,359.98,173.31,0.0,0.12,0.0,-0.99,-0.99,0.0,-0.12,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00353,0.99905,0.02498,0.03566,-0.22446078431371352,1.31,-1.3186151960785504,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.1705392156862865,0.0,1.6986151960785505,-0.10006365642065763,0.0,-0.07187596955633493,-0.055941571233560826
3,08/09/2023 14:22:28.852223,3,start,-0.36,1.31,0.38,0.00343,0.99904,0.02501,0.03567,-0.43,1.31,0.38,0.00343,0.99904,0.02501,0.03567,-0.4,1.31,0.38,0.00343,0.99904,0.02501,0.03567,-0.36,1.31,0.38,-1e-05,0.99922,0.00036,0.03958,359.96,175.46,0.0,0.08,0.0,-1.0,-1.0,0.0,-0.08,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.43,1.31,0.38,-1e-05,0.99831,0.0002,0.05814,359.98,173.33,0.0,0.12,0.0,-0.99,-0.99,0.0,-0.12,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00346,0.99904,0.02501,0.03567,-0.22446078431371352,1.31,-1.3186151960785504,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.1705392156862865,0.0,1.6986151960785505,-0.10006365642065763,0.0,-0.07187596955633493,-0.055941571233560826
4,08/09/2023 14:22:28.866041,4,start,-0.36,1.31,0.38,0.00336,0.99904,0.02495,0.03572,-0.43,1.31,0.38,0.00336,0.99904,0.02495,0.03572,-0.4,1.31,0.38,0.00336,0.99904,0.02495,0.03572,-0.36,1.31,0.38,-1e-05,0.99922,0.00036,0.03958,359.96,175.46,0.0,0.08,0.0,-1.0,-1.0,0.0,-0.08,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.43,1.31,0.38,-1e-05,0.99831,0.0002,0.05814,359.98,173.33,0.0,0.12,0.0,-0.99,-0.99,0.0,-0.12,0.0,1.0,0.0,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00344,0.99904,0.025,0.03571,-0.22446078431371352,1.31,-1.3186151960785504,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.1705392156862865,0.0,1.6986151960785505,-0.10006365642065763,0.0,-0.07187596955633493,-0.055941571233560826
5,08/09/2023 14:22:28.880506,5,start,-0.36,1.31,0.38,0.00338,0.99904,0.02491,0.03577,-0.43,1.31,0.38,0.00338,0.99904,0.02491,0.03577,-0.4,1.31,0.38,0.00338,0.99904,0.02491,0.03577,-0.36,1.31,0.38,0.00059,0.99936,-0.01942,0.03014,2.23,176.55,0.0,0.06,-0.04,-1.0,-1.0,0.0,-0.06,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.43,1.31,0.38,0.00092,0.9987,-0.01955,0.04706,2.24,174.6,0.0,0.09,-0.04,-0.99,-1.0,0.0,-0.09,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00337,0.99904,0.02494,0.03575,-0.22448302699477757,1.2189662672182306,-1.8845211949333804,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.17051697300522245,0.0910337327817694,2.2645211949333803,-0.07515751617696156,0.040178357547953736,-0.07187596955633493,-0.055941571233560826
6,08/09/2023 14:22:28.894524,6,start,-0.36,1.31,0.38,0.0034,0.99904,0.02488,0.03586,-0.43,1.31,0.38,0.0034,0.99904,0.02488,0.03586,-0.4,1.31,0.38,0.0034,0.99904,0.02488,0.03586,-0.36,1.31,0.38,0.00059,0.99936,-0.01942,0.03014,2.23,176.55,0.0,0.06,-0.04,-1.0,-1.0,0.0,-0.06,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.43,1.31,0.38,0.00092,0.9987,-0.01955,0.04706,2.24,174.6,0.0,0.09,-0.04,-0.99,-1.0,0.0,-0.09,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.0034,0.99904,0.0249,0.03578,-0.22448302699477757,1.2189662672182306,-1.8845211949333804,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.17051697300522245,0.0910337327817694,2.2645211949333803,-0.07515751617696156,0.040178357547953736,-0.07187596955633493,-0.055941571233560826
7,08/09/2023 14:22:28.908719,7,start,-0.36,1.31,0.38,0.00343,0.99904,0.02488,0.03588,-0.43,1.31,0.38,0.00343,0.99904,0.02488,0.03588,-0.4,1.31,0.38,0.00343,0.99904,0.02488,0.03588,-0.36,1.31,0.38,0.00053,0.99944,-0.01943,0.02724,2.23,176.88,0.0,0.05,-0.04,-1.0,-1.0,0.0,-0.05,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.43,1.31,0.38,0.00086,0.99884,-0.01956,0.04404,2.24,174.95,0.0,0.09,-0.04,-1.0,-1.0,0.0,-0.09,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00345,0.99904,0.02486,0.03588,-0.2725000000000193,1.240000000000011,-1.369999999999724,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.12249999999998074,0.06999999999998896,1.7499999999997242,-0.06988600163464252,0.03997868712329004,-0.07187596955633493,-0.055941571233560826
8,08/09/2023 14:22:28.922496,8,start,-0.36,1.31,0.38,0.00346,0.99904,0.02495,0.03592,-0.43,1.31,0.38,0.00346,0.99904,0.02495,0.03592,-0.4,1.31,0.38,0.00346,0.99904,0.02495,0.03592,-0.36,1.31,0.38,0.00053,0.99944,-0.01943,0.02724,2.23,176.88,0.0,0.05,-0.04,-1.0,-1.0,0.0,-0.05,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.43,1.31,0.38,0.00086,0.99884,-0.01956,0.04404,2.24,174.95,0.0,0.09,-0.04,-1.0,-1.0,0.0,-0.09,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00345,0.99904,0.02489,0.03588,-0.2725000000000193,1.240000000000011,-1.369999999999724,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.12249999999998074,0.06999999999998896,1.7499999999997242,-0.06988600163464252,0.03997868712329004,-0.07187596955633493,-0.055941571233560826
9,08/09/2023 14:22:28.937056,9,start,-0.36,1.31,0.38,0.00349,0.99903,0.02499,0.03598,-0.43,1.31,0.38,0.00349,0.99903,0.02499,0.03598,-0.4,1.31,0.38,0.00349,0.99903,0.02499,0.03598,-0.36,1.31,0.38,0.00053,0.99944,-0.01943,0.02724,2.23,176.88,0.0,0.05,-0.04,-1.0,-1.0,0.0,-0.05,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.43,1.31,0.38,0.00086,0.99884,-0.01956,0.04404,2.24,174.95,0.0,0.09,-0.04,-1.0,-1.0,0.0,-0.09,0.0,1.0,-0.04,TrackingSpace,0.9980469,-0.31,1.38,-0.87,0.00346,0.99904,0.02494,0.03593,-0.2725000000000193,1.240000000000011,-1.369999999999724,1.0,0.0,-0.09000000000000002,-0.06999999999999984,1.25,-0.12249999999998074,0.06999999999998896,1.7499999999997242,-0.06988600163464252,0.03997868712329004,-0.07187596955633493,-0.055941571233560826
