Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 14:31:32.064247,0,start,-0.38, 1.32, 0.39,-0.00440, 0.99736, 0.06395, 0.03415,-0.44, 1.32, 0.39,-0.00440, 0.99736, 0.06395, 0.03415,-0.41, 1.32, 0.39,-0.00440, 0.99736, 0.06395, 0.03415,-0.38, 1.32, 0.39,-0.04151, 0.95768, 0.18020, 0.22058,338.69, 154.06, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04247, 0.95640, 0.17908, 0.22679,338.79, 153.32, 0.00,0.42, 0.36, -0.83,-0.89, 0.00, -0.45,-0.16, 0.93, 0.32,TrackingSpace,0.9980469,0.23, 1.90, -0.83,-0.00412, 0.99734, 0.06417, 0.03421
08/09/2023 14:31:32.078449,1,start,-0.38, 1.32, 0.39,-0.00469, 0.99738, 0.06371, 0.03396,-0.44, 1.32, 0.39,-0.00469, 0.99738, 0.06371, 0.03396,-0.41, 1.32, 0.39,-0.00469, 0.99738, 0.06371, 0.03396,-0.38, 1.32, 0.39,-0.04151, 0.95768, 0.18020, 0.22058,338.69, 154.06, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04247, 0.95640, 0.17908, 0.22679,338.79, 153.32, 0.00,0.42, 0.36, -0.83,-0.89, 0.00, -0.45,-0.16, 0.93, 0.32,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00436, 0.99736, 0.06395, 0.03414
08/09/2023 14:31:32.092518,2,start,-0.38, 1.32, 0.39,-0.00499, 0.99740, 0.06345, 0.03385,-0.44, 1.32, 0.39,-0.00499, 0.99740, 0.06345, 0.03385,-0.41, 1.32, 0.39,-0.00499, 0.99740, 0.06345, 0.03385,-0.38, 1.32, 0.39,-0.04229, 0.95712, 0.18466, 0.21918,338.16, 154.20, 0.00,0.40, 0.37, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04328, 0.95584, 0.18353, 0.22542,338.26, 153.46, 0.00,0.42, 0.37, -0.83,-0.89, 0.00, -0.45,-0.17, 0.93, 0.33,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00470, 0.99738, 0.06368, 0.03400
08/09/2023 14:31:32.106836,3,start,-0.38, 1.32, 0.39,-0.00534, 0.99742, 0.06328, 0.03357,-0.44, 1.32, 0.39,-0.00534, 0.99742, 0.06328, 0.03357,-0.41, 1.32, 0.39,-0.00534, 0.99742, 0.06328, 0.03357,-0.38, 1.32, 0.39,-0.04229, 0.95712, 0.18466, 0.21918,338.16, 154.20, 0.00,0.40, 0.37, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04328, 0.95584, 0.18353, 0.22542,338.26, 153.46, 0.00,0.42, 0.37, -0.83,-0.89, 0.00, -0.45,-0.17, 0.93, 0.33,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00497, 0.99740, 0.06350, 0.03381
08/09/2023 14:31:32.120912,4,start,-0.38, 1.32, 0.39,-0.00565, 0.99742, 0.06327, 0.03333,-0.44, 1.32, 0.39,-0.00565, 0.99742, 0.06327, 0.03333,-0.41, 1.32, 0.39,-0.00565, 0.99742, 0.06327, 0.03333,-0.38, 1.32, 0.39,-0.04150, 0.95769, 0.18026, 0.22047,338.68, 154.07, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04246, 0.95641, 0.17916, 0.22668,338.78, 153.33, 0.00,0.42, 0.36, -0.83,-0.89, 0.00, -0.45,-0.16, 0.93, 0.32,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00538, 0.99741, 0.06337, 0.03354
08/09/2023 14:31:32.134455,5,start,-0.38, 1.32, 0.39,-0.00582, 0.99743, 0.06328, 0.03315,-0.44, 1.32, 0.39,-0.00582, 0.99743, 0.06328, 0.03315,-0.41, 1.32, 0.39,-0.00582, 0.99743, 0.06328, 0.03315,-0.38, 1.32, 0.39,-0.04150, 0.95769, 0.18026, 0.22047,338.68, 154.07, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04246, 0.95641, 0.17916, 0.22668,338.78, 153.33, 0.00,0.42, 0.36, -0.83,-0.89, 0.00, -0.45,-0.16, 0.93, 0.32,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00566, 0.99742, 0.06330, 0.03331
08/09/2023 14:31:32.148890,6,start,-0.38, 1.32, 0.39,-0.00582, 0.99743, 0.06343, 0.03292,-0.44, 1.32, 0.39,-0.00582, 0.99743, 0.06343, 0.03292,-0.41, 1.32, 0.39,-0.00582, 0.99743, 0.06343, 0.03292,-0.38, 1.32, 0.39,-0.04150, 0.95769, 0.18026, 0.22047,338.68, 154.07, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.32, 0.39,-0.04246, 0.95641, 0.17916, 0.22668,338.78, 153.33, 0.00,0.42, 0.36, -0.83,-0.89, 0.00, -0.45,-0.16, 0.93, 0.32,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00579, 0.99743, 0.06332, 0.03313
08/09/2023 14:31:32.163206,7,start,-0.38, 1.32, 0.39,-0.00577, 0.99742, 0.06366, 0.03282,-0.44, 1.32, 0.39,-0.00577, 0.99742, 0.06366, 0.03282,-0.41, 1.32, 0.39,-0.00577, 0.99742, 0.06366, 0.03282,-0.38, 1.32, 0.39,-0.04041, 0.95904, 0.18095, 0.21418,338.63, 154.82, 0.00,0.40, 0.36, -0.84,-0.90, 0.00, -0.43,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.31, 0.39,-0.04140, 0.95778, 0.17988, 0.22043,338.73, 154.08, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.23, 1.90, -0.84,-0.00580, 0.99743, 0.06344, 0.03291
08/09/2023 14:31:32.177703,8,start,-0.38, 1.32, 0.39,-0.00567, 0.99741, 0.06384, 0.03269,-0.44, 1.32, 0.39,-0.00567, 0.99741, 0.06384, 0.03269,-0.41, 1.32, 0.39,-0.00567, 0.99741, 0.06384, 0.03269,-0.38, 1.32, 0.39,-0.04041, 0.95904, 0.18095, 0.21418,338.63, 154.82, 0.00,0.40, 0.36, -0.84,-0.90, 0.00, -0.43,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.31, 0.39,-0.04140, 0.95778, 0.17988, 0.22043,338.73, 154.08, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.22, 1.90, -0.84,-0.00574, 0.99741, 0.06369, 0.03285
08/09/2023 14:31:32.191651,9,start,-0.38, 1.32, 0.39,-0.00559, 0.99740, 0.06403, 0.03268,-0.44, 1.32, 0.39,-0.00559, 0.99740, 0.06403, 0.03268,-0.41, 1.32, 0.39,-0.00559, 0.99740, 0.06403, 0.03268,-0.38, 1.32, 0.39,-0.04021, 0.95926, 0.18091, 0.21323,338.64, 154.94, 0.00,0.39, 0.36, -0.84,-0.91, 0.00, -0.42,-0.15, 0.93, 0.33,TrackingSpace,0.9980469,-0.44, 1.31, 0.39,-0.04120, 0.95801, 0.17986, 0.21948,338.73, 154.19, 0.00,0.41, 0.36, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.22, 1.90, -0.84,-0.00567, 0.99741, 0.06384, 0.03270
