Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 15:00:20.460924,0,start,0.44, 1.71, -1.07,-0.05871, -0.37277, 0.02643, -0.92569,0.49, 1.71, -1.12,-0.05871, -0.37277, 0.02643, -0.92569,0.47, 1.71, -1.10,-0.05871, -0.37277, 0.02643, -0.92569,0.42, 1.71, -1.09,0.14467, 0.41468, -0.06696, 0.89589,18.35, 49.68, 0.00,0.72, -0.31, 0.61,0.65, 0.00, -0.76,0.24, 0.95, 0.20,TrackingSpace,0.9980469,0.46, 1.71, -1.14,0.14673, 0.39111, -0.06332, 0.90636,18.39, 46.68, 0.00,0.69, -0.32, 0.65,0.69, 0.00, -0.73,0.23, 0.95, 0.22,TrackingSpace,0.9980469,1.01, 1.95, 0.27,-0.05816, -0.37246, 0.02639, -0.92585
08/09/2023 15:00:20.474730,1,start,0.45, 1.71, -1.07,-0.05884, -0.37329, 0.02662, -0.92547,0.50, 1.71, -1.11,-0.05884, -0.37329, 0.02662, -0.92547,0.47, 1.71, -1.09,-0.05884, -0.37329, 0.02662, -0.92547,0.43, 1.71, -1.08,0.14353, 0.41619, -0.06671, 0.89540,18.21, 49.86, 0.00,0.73, -0.31, 0.61,0.64, 0.00, -0.76,0.24, 0.95, 0.20,TrackingSpace,0.9980469,0.48, 1.71, -1.13,0.14541, 0.39536, -0.06355, 0.90471,18.26, 47.21, 0.00,0.70, -0.31, 0.65,0.68, 0.00, -0.73,0.23, 0.95, 0.21,TrackingSpace,0.9980469,1.02, 1.95, 0.28,-0.05864, -0.37283, 0.02644, -0.92567
08/09/2023 15:00:20.489055,2,start,0.46, 1.71, -1.06,-0.05872, -0.37360, 0.02653, -0.92535,0.50, 1.71, -1.11,-0.05872, -0.37360, 0.02653, -0.92535,0.48, 1.71, -1.09,-0.05872, -0.37360, 0.02653, -0.92535,0.43, 1.71, -1.08,0.14353, 0.41619, -0.06671, 0.89540,18.21, 49.86, 0.00,0.73, -0.31, 0.61,0.64, 0.00, -0.76,0.24, 0.95, 0.20,TrackingSpace,0.9980469,0.48, 1.71, -1.13,0.14541, 0.39536, -0.06355, 0.90471,18.26, 47.21, 0.00,0.70, -0.31, 0.65,0.68, 0.00, -0.73,0.23, 0.95, 0.21,TrackingSpace,0.9980469,1.02, 1.95, 0.28,-0.05880, -0.37327, 0.02663, -0.92547
08/09/2023 15:00:20.503357,3,start,0.46, 1.71, -1.06,-0.05813, -0.37396, 0.02629, -0.92525,0.51, 1.71, -1.10,-0.05813, -0.37396, 0.02629, -0.92525,0.48, 1.71, -1.08,-0.05813, -0.37396, 0.02629, -0.92525,0.43, 1.71, -1.08,0.14353, 0.41619, -0.06671, 0.89540,18.21, 49.86, 0.00,0.73, -0.31, 0.61,0.64, 0.00, -0.76,0.24, 0.95, 0.20,TrackingSpace,0.9980469,0.48, 1.71, -1.13,0.14541, 0.39536, -0.06355, 0.90471,18.26, 47.21, 0.00,0.70, -0.31, 0.65,0.68, 0.00, -0.73,0.23, 0.95, 0.21,TrackingSpace,0.9980469,1.03, 1.95, 0.28,-0.05863, -0.37361, 0.02651, -0.92535
08/09/2023 15:00:20.517187,4,start,0.47, 1.70, -1.05,-0.05704, -0.37405, 0.02567, -0.92530,0.51, 1.70, -1.10,-0.05704, -0.37405, 0.02567, -0.92530,0.49, 1.70, -1.08,-0.05704, -0.37405, 0.02567, -0.92530,0.44, 1.71, -1.07,0.14191, 0.41796, -0.06628, 0.89486,18.02, 50.07, 0.00,0.73, -0.31, 0.61,0.64, 0.00, -0.77,0.24, 0.95, 0.20,TrackingSpace,0.9980469,0.49, 1.71, -1.12,0.14386, 0.39660, -0.06308, 0.90445,18.08, 47.35, 0.00,0.70, -0.31, 0.64,0.68, 0.00, -0.74,0.23, 0.95, 0.21,TrackingSpace,0.9980469,1.04, 1.95, 0.29,-0.05805, -0.37394, 0.02624, -0.92526
08/09/2023 15:00:20.531695,5,start,0.47, 1.70, -1.05,-0.05529, -0.37418, 0.02492, -0.92537,0.52, 1.70, -1.09,-0.05529, -0.37418, 0.02492, -0.92537,0.49, 1.70, -1.07,-0.05529, -0.37418, 0.02492, -0.92537,0.44, 1.71, -1.07,0.14191, 0.41796, -0.06628, 0.89486,18.02, 50.07, 0.00,0.73, -0.31, 0.61,0.64, 0.00, -0.77,0.24, 0.95, 0.20,TrackingSpace,0.9980469,0.49, 1.71, -1.12,0.14386, 0.39660, -0.06308, 0.90445,18.08, 47.35, 0.00,0.70, -0.31, 0.64,0.68, 0.00, -0.74,0.23, 0.95, 0.21,TrackingSpace,0.9980469,1.04, 1.95, 0.29,-0.05690, -0.37408, 0.02565, -0.92529
08/09/2023 15:00:20.545911,6,start,0.48, 1.70, -1.04,-0.05311, -0.37396, 0.02390, -0.92561,0.52, 1.70, -1.09,-0.05311, -0.37396, 0.02390, -0.92561,0.50, 1.70, -1.07,-0.05311, -0.37396, 0.02390, -0.92561,0.46, 1.70, -1.06,0.13335, 0.41913, -0.06238, 0.89591,16.93, 50.14, 0.00,0.73, -0.29, 0.61,0.64, 0.00, -0.77,0.22, 0.96, 0.19,TrackingSpace,0.9980469,0.50, 1.70, -1.11,0.13518, 0.39779, -0.05938, 0.90552,16.98, 47.43, 0.00,0.70, -0.29, 0.65,0.68, 0.00, -0.74,0.22, 0.96, 0.20,TrackingSpace,0.9980469,1.05, 1.95, 0.30,-0.05518, -0.37413, 0.02484, -0.92540
08/09/2023 15:00:20.559803,7,start,0.48, 1.70, -1.04,-0.05056, -0.37333, 0.02255, -0.92605,0.53, 1.70, -1.08,-0.05056, -0.37333, 0.02255, -0.92605,0.51, 1.70, -1.06,-0.05056, -0.37333, 0.02255, -0.92605,0.46, 1.70, -1.06,0.13335, 0.41913, -0.06238, 0.89591,16.93, 50.14, 0.00,0.73, -0.29, 0.61,0.64, 0.00, -0.77,0.22, 0.96, 0.19,TrackingSpace,0.9980469,0.50, 1.70, -1.11,0.13518, 0.39779, -0.05938, 0.90552,16.98, 47.43, 0.00,0.70, -0.29, 0.65,0.68, 0.00, -0.74,0.22, 0.96, 0.20,TrackingSpace,0.9980469,1.05, 1.96, 0.30,-0.05295, -0.37389, 0.02379, -0.92565
08/09/2023 15:00:20.573415,8,start,0.49, 1.70, -1.03,-0.04783, -0.37196, 0.02074, -0.92679,0.53, 1.70, -1.08,-0.04783, -0.37196, 0.02074, -0.92679,0.51, 1.70, -1.05,-0.04783, -0.37196, 0.02074, -0.92679,0.47, 1.70, -1.05,0.11164, 0.37247, -0.04519, 0.92019,13.84, 44.07, 0.00,0.68, -0.24, 0.70,0.72, 0.00, -0.70,0.17, 0.97, 0.17,TrackingSpace,0.9980469,0.52, 1.70, -1.10,0.11235, 0.35447, -0.04295, 0.92730,13.82, 41.84, 0.00,0.65, -0.24, 0.72,0.75, 0.00, -0.67,0.16, 0.97, 0.18,TrackingSpace,0.9980469,1.05, 1.97, 0.31,-0.05047, -0.37323, 0.02247, -0.92609
08/09/2023 15:00:20.587888,9,start,0.49, 1.70, -1.03,-0.04563, -0.37001, 0.01869, -0.92772,0.54, 1.70, -1.07,-0.04563, -0.37001, 0.01869, -0.92772,0.52, 1.70, -1.05,-0.04563, -0.37001, 0.01869, -0.92772,0.47, 1.70, -1.05,0.11164, 0.37247, -0.04519, 0.92019,13.84, 44.07, 0.00,0.68, -0.24, 0.70,0.72, 0.00, -0.70,0.17, 0.97, 0.17,TrackingSpace,0.9980469,0.52, 1.70, -1.10,0.11235, 0.35447, -0.04295, 0.92730,13.82, 41.84, 0.00,0.65, -0.24, 0.72,0.75, 0.00, -0.67,0.16, 0.97, 0.18,TrackingSpace,0.9980469,1.05, 1.98, 0.32,-0.04782, -0.37189, 0.02071, -0.92681
