Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 14:29:43.939425,0,start,-0.33, 1.33, 0.76,-0.04721, 0.95275, 0.24004, 0.18003,-0.39, 1.33, 0.73,-0.04721, 0.95275, 0.24004, 0.18003,-0.36, 1.33, 0.74,-0.04721, 0.95275, 0.24004, 0.18003,-0.33, 1.33, 0.76,-0.10652, 0.89238, 0.33259, 0.28582,319.12, 144.48, 0.00,0.44, 0.65, -0.62,-0.81, 0.00, -0.58,-0.38, 0.76, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11253, 0.88719, 0.32796, 0.30442,319.43, 142.12, 0.00,0.47, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.51,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:43.953546,1,start,-0.33, 1.33, 0.76,-0.04706, 0.95270, 0.24038, 0.17988,-0.39, 1.33, 0.73,-0.04706, 0.95270, 0.24038, 0.17988,-0.36, 1.33, 0.74,-0.04706, 0.95270, 0.24038, 0.17988,-0.33, 1.33, 0.76,-0.10573, 0.89323, 0.33098, 0.28534,319.34, 144.57, 0.00,0.44, 0.65, -0.62,-0.81, 0.00, -0.58,-0.38, 0.76, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11134, 0.88838, 0.32666, 0.30279,319.62, 142.36, 0.00,0.47, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.51,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:43.967344,2,start,-0.33, 1.33, 0.76,-0.04690, 0.95270, 0.24044, 0.17985,-0.39, 1.33, 0.73,-0.04690, 0.95270, 0.24044, 0.17985,-0.36, 1.33, 0.74,-0.04690, 0.95270, 0.24044, 0.17985,-0.33, 1.33, 0.76,-0.10573, 0.89323, 0.33098, 0.28534,319.34, 144.57, 0.00,0.44, 0.65, -0.62,-0.81, 0.00, -0.58,-0.38, 0.76, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11134, 0.88838, 0.32666, 0.30279,319.62, 142.36, 0.00,0.47, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.51,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:43.981939,3,start,-0.33, 1.33, 0.76,-0.04664, 0.95272, 0.24038, 0.17994,-0.39, 1.33, 0.73,-0.04664, 0.95272, 0.24038, 0.17994,-0.36, 1.33, 0.74,-0.04664, 0.95272, 0.24038, 0.17994,-0.33, 1.33, 0.76,-0.10642, 0.89237, 0.33366, 0.28463,319.00, 144.62, 0.00,0.44, 0.66, -0.62,-0.82, 0.00, -0.58,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11229, 0.88736, 0.32914, 0.30274,319.30, 142.32, 0.00,0.46, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.52,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:43.996396,4,start,-0.33, 1.33, 0.76,-0.04643, 0.95273, 0.24016, 0.18021,-0.39, 1.33, 0.73,-0.04643, 0.95273, 0.24016, 0.18021,-0.36, 1.33, 0.74,-0.04643, 0.95273, 0.24016, 0.18021,-0.33, 1.33, 0.76,-0.10642, 0.89237, 0.33366, 0.28463,319.00, 144.62, 0.00,0.44, 0.66, -0.62,-0.82, 0.00, -0.58,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11229, 0.88736, 0.32914, 0.30274,319.30, 142.32, 0.00,0.46, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.52,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:44.011382,5,start,-0.33, 1.33, 0.76,-0.04609, 0.95273, 0.23986, 0.18071,-0.39, 1.33, 0.73,-0.04609, 0.95273, 0.23986, 0.18071,-0.36, 1.33, 0.74,-0.04609, 0.95273, 0.23986, 0.18071,-0.33, 1.33, 0.76,-0.10642, 0.89237, 0.33366, 0.28463,319.00, 144.62, 0.00,0.44, 0.66, -0.62,-0.82, 0.00, -0.58,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11229, 0.88736, 0.32914, 0.30274,319.30, 142.32, 0.00,0.46, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.52,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:44.024542,6,start,-0.33, 1.33, 0.76,-0.04554, 0.95273, 0.23949, 0.18132,-0.39, 1.33, 0.73,-0.04554, 0.95273, 0.23949, 0.18132,-0.36, 1.33, 0.74,-0.04554, 0.95273, 0.23949, 0.18132,-0.33, 1.33, 0.76,-0.10760, 0.89131, 0.33391, 0.28722,318.93, 144.28, 0.00,0.44, 0.66, -0.61,-0.81, 0.00, -0.58,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11297, 0.88670, 0.32970, 0.30382,319.21, 142.17, 0.00,0.46, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.52,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:44.038937,7,start,-0.33, 1.33, 0.76,-0.04488, 0.95272, 0.23902, 0.18215,-0.39, 1.33, 0.73,-0.04488, 0.95272, 0.23902, 0.18215,-0.36, 1.33, 0.74,-0.04488, 0.95272, 0.23902, 0.18215,-0.33, 1.33, 0.76,-0.10760, 0.89131, 0.33391, 0.28722,318.93, 144.28, 0.00,0.44, 0.66, -0.61,-0.81, 0.00, -0.58,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11297, 0.88670, 0.32970, 0.30382,319.21, 142.17, 0.00,0.46, 0.65, -0.60,-0.79, 0.00, -0.61,-0.40, 0.76, 0.52,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:44.053441,8,start,-0.33, 1.33, 0.76,-0.04441, 0.95272, 0.23855, 0.18288,-0.39, 1.33, 0.73,-0.04441, 0.95272, 0.23855, 0.18288,-0.36, 1.33, 0.74,-0.04441, 0.95272, 0.23855, 0.18288,-0.33, 1.33, 0.76,-0.10777, 0.89120, 0.33343, 0.28806,318.97, 144.18, 0.00,0.44, 0.66, -0.61,-0.81, 0.00, -0.59,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11355, 0.88619, 0.32883, 0.30601,319.28, 141.90, 0.00,0.47, 0.65, -0.60,-0.79, 0.00, -0.62,-0.40, 0.76, 0.51,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:29:44.066993,9,start,-0.33, 1.33, 0.76,-0.04399, 0.95270, 0.23809, 0.18370,-0.39, 1.33, 0.73,-0.04399, 0.95270, 0.23809, 0.18370,-0.36, 1.33, 0.74,-0.04399, 0.95270, 0.23809, 0.18370,-0.33, 1.33, 0.76,-0.10777, 0.89120, 0.33343, 0.28806,318.97, 144.18, 0.00,0.44, 0.66, -0.61,-0.81, 0.00, -0.59,-0.38, 0.75, 0.53,TrackingSpace,0.9980469,-0.39, 1.33, 0.73,-0.11355, 0.88619, 0.32883, 0.30601,319.28, 141.90, 0.00,0.47, 0.65, -0.60,-0.79, 0.00, -0.62,-0.40, 0.76, 0.51,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
