Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/09/2023 14:19:29.207672,0,start,-1.49, 1.73, -0.95,0.01470, -0.54763, -0.00808, -0.83655,-1.46, 1.73, -1.01,0.01470, -0.54763, -0.00808, -0.83655,-1.48, 1.73, -0.98,0.01470, -0.54763, -0.00808, -0.83655,-1.51, 1.72, -0.94,-0.05192, 0.47386, 0.02800, 0.87862,353.24, 56.68, 0.00,0.83, 0.12, 0.55,0.55, 0.00, -0.84,-0.10, 0.99, -0.06,TrackingSpace,0.9980469,-1.49, 1.72, -1.00,-0.05230, 0.45276, 0.02662, 0.88970,353.27, 53.94, 0.00,0.80, 0.12, 0.58,0.59, 0.00, -0.81,-0.09, 0.99, -0.07,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.222261,1,start,-1.49, 1.73, -0.96,0.01459, -0.54654, -0.00961, -0.83725,-1.46, 1.73, -1.01,0.01459, -0.54654, -0.00961, -0.83725,-1.47, 1.73, -0.99,0.01459, -0.54654, -0.00961, -0.83725,-1.51, 1.72, -0.94,-0.05192, 0.47386, 0.02800, 0.87862,353.24, 56.68, 0.00,0.83, 0.12, 0.55,0.55, 0.00, -0.84,-0.10, 0.99, -0.06,TrackingSpace,0.9980469,-1.49, 1.72, -1.00,-0.05230, 0.45276, 0.02662, 0.88970,353.27, 53.94, 0.00,0.80, 0.12, 0.58,0.59, 0.00, -0.81,-0.09, 0.99, -0.07,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.236092,2,start,-1.48, 1.73, -0.96,0.01430, -0.54564, -0.01089, -0.83783,-1.45, 1.73, -1.02,0.01430, -0.54564, -0.01089, -0.83783,-1.47, 1.73, -0.99,0.01430, -0.54564, -0.01089, -0.83783,-1.51, 1.72, -0.94,-0.05192, 0.47386, 0.02800, 0.87862,353.24, 56.68, 0.00,0.83, 0.12, 0.55,0.55, 0.00, -0.84,-0.10, 0.99, -0.06,TrackingSpace,0.9980469,-1.49, 1.72, -1.00,-0.05230, 0.45276, 0.02662, 0.88970,353.27, 53.94, 0.00,0.80, 0.12, 0.58,0.59, 0.00, -0.81,-0.09, 0.99, -0.07,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.249967,3,start,-1.47, 1.72, -0.96,0.01395, -0.54482, -0.01186, -0.83835,-1.45, 1.73, -1.02,0.01395, -0.54482, -0.01186, -0.83835,-1.46, 1.73, -0.99,0.01395, -0.54482, -0.01186, -0.83835,-1.50, 1.72, -0.95,0.01828, 0.44873, -0.00918, 0.89343,2.34, 53.34, 0.00,0.80, -0.04, 0.60,0.60, 0.00, -0.80,0.03, 1.00, 0.02,TrackingSpace,0.9980469,-1.47, 1.72, -1.01,0.01817, 0.42998, -0.00865, 0.90262,2.31, 50.94, 0.00,0.78, -0.04, 0.63,0.63, 0.00, -0.78,0.03, 1.00, 0.03,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.264404,4,start,-1.47, 1.72, -0.96,0.01319, -0.54390, -0.01259, -0.83895,-1.44, 1.73, -1.02,0.01319, -0.54390, -0.01259, -0.83895,-1.46, 1.72, -0.99,0.01319, -0.54390, -0.01259, -0.83895,-1.50, 1.72, -0.95,0.01828, 0.44873, -0.00918, 0.89343,2.34, 53.34, 0.00,0.80, -0.04, 0.60,0.60, 0.00, -0.80,0.03, 1.00, 0.02,TrackingSpace,0.9980469,-1.47, 1.72, -1.01,0.01817, 0.42998, -0.00865, 0.90262,2.31, 50.94, 0.00,0.78, -0.04, 0.63,0.63, 0.00, -0.78,0.03, 1.00, 0.03,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.278560,5,start,-1.46, 1.72, -0.97,0.01228, -0.54280, -0.01324, -0.83967,-1.44, 1.73, -1.02,0.01228, -0.54280, -0.01324, -0.83967,-1.45, 1.72, -0.99,0.01228, -0.54280, -0.01324, -0.83967,-1.49, 1.72, -0.96,0.06798, 0.40932, -0.03060, 0.90934,8.55, 48.47, 0.00,0.74, -0.15, 0.66,0.66, 0.00, -0.75,0.11, 0.99, 0.10,TrackingSpace,0.9980469,-1.46, 1.72, -1.01,0.06773, 0.39417, -0.02914, 0.91607,8.46, 46.56, 0.00,0.72, -0.15, 0.68,0.69, 0.00, -0.73,0.11, 0.99, 0.10,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.292241,6,start,-1.46, 1.72, -0.97,0.01143, -0.54156, -0.01380, -0.84047,-1.43, 1.73, -1.03,0.01143, -0.54156, -0.01380, -0.84047,-1.45, 1.72, -1.00,0.01143, -0.54156, -0.01380, -0.84047,-1.49, 1.72, -0.96,0.06798, 0.40932, -0.03060, 0.90934,8.55, 48.47, 0.00,0.74, -0.15, 0.66,0.66, 0.00, -0.75,0.11, 0.99, 0.10,TrackingSpace,0.9980469,-1.46, 1.72, -1.01,0.06773, 0.39417, -0.02914, 0.91607,8.46, 46.56, 0.00,0.72, -0.15, 0.68,0.69, 0.00, -0.73,0.11, 0.99, 0.10,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.306502,7,start,-1.45, 1.72, -0.97,0.01088, -0.54031, -0.01412, -0.84127,-1.43, 1.73, -1.03,0.01088, -0.54031, -0.01412, -0.84127,-1.44, 1.72, -1.00,0.01088, -0.54031, -0.01412, -0.84127,-1.47, 1.72, -0.96,0.07069, 0.40584, -0.03151, 0.91066,8.88, 48.04, 0.00,0.73, -0.15, 0.66,0.67, 0.00, -0.74,0.11, 0.99, 0.10,TrackingSpace,0.9980469,-1.45, 1.72, -1.02,0.07050, 0.39052, -0.03001, 0.91740,8.79, 46.12, 0.00,0.71, -0.15, 0.69,0.69, 0.00, -0.72,0.11, 0.99, 0.11,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.320966,8,start,-1.45, 1.72, -0.97,0.01030, -0.53894, -0.01453, -0.84215,-1.42, 1.73, -1.03,0.01030, -0.53894, -0.01453, -0.84215,-1.44, 1.72, -1.00,0.01030, -0.53894, -0.01453, -0.84215,-1.47, 1.72, -0.96,0.07069, 0.40584, -0.03151, 0.91066,8.88, 48.04, 0.00,0.73, -0.15, 0.66,0.67, 0.00, -0.74,0.11, 0.99, 0.10,TrackingSpace,0.9980469,-1.45, 1.72, -1.02,0.07050, 0.39052, -0.03001, 0.91740,8.79, 46.12, 0.00,0.71, -0.15, 0.69,0.69, 0.00, -0.72,0.11, 0.99, 0.11,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/09/2023 14:19:29.335585,9,start,-1.44, 1.72, -0.97,0.00959, -0.53770, -0.01452, -0.84296,-1.42, 1.72, -1.03,0.00959, -0.53770, -0.01452, -0.84296,-1.43, 1.72, -1.00,0.00959, -0.53770, -0.01452, -0.84296,-1.47, 1.72, -0.96,0.07069, 0.40584, -0.03151, 0.91066,8.88, 48.04, 0.00,0.73, -0.15, 0.66,0.67, 0.00, -0.74,0.11, 0.99, 0.10,TrackingSpace,0.9980469,-1.45, 1.72, -1.02,0.07050, 0.39052, -0.03001, 0.91740,8.79, 46.12, 0.00,0.71, -0.15, 0.69,0.69, 0.00, -0.72,0.11, 0.99, 0.11,TrackingSpace,0.9980469,0.10, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
