Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/10/2023 19:56:00.336633,0,start,-0.34, 1.28, 0.48,0.00775, -0.99613, -0.08290, -0.02819,-0.40, 1.28, 0.48,0.00775, -0.99613, -0.08290, -0.02819,-0.37, 1.28, 0.48,0.00775, -0.99613, -0.08290, -0.02819,-0.34, 1.28, 0.48,0.00200, 0.99393, -0.10847, 0.01833,12.46, 177.89, 0.00,0.04, -0.22, -0.98,-1.00, 0.00, -0.04,0.01, 0.98, -0.22,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,0.00413, 0.99340, -0.10821, 0.03793,12.43, 175.63, 0.00,0.07, -0.22, -0.97,-1.00, 0.00, -0.08,0.02, 0.98, -0.21,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00770, -0.99615, -0.08272, -0.02791
08/10/2023 19:56:00.351045,1,start,-0.34, 1.28, 0.48,0.00792, -0.99611, -0.08307, -0.02827,-0.40, 1.28, 0.48,0.00792, -0.99611, -0.08307, -0.02827,-0.37, 1.28, 0.48,0.00792, -0.99611, -0.08307, -0.02827,-0.34, 1.28, 0.48,0.00200, 0.99393, -0.10847, 0.01833,12.46, 177.89, 0.00,0.04, -0.22, -0.98,-1.00, 0.00, -0.04,0.01, 0.98, -0.22,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,0.00413, 0.99340, -0.10821, 0.03793,12.43, 175.63, 0.00,0.07, -0.22, -0.97,-1.00, 0.00, -0.08,0.02, 0.98, -0.21,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00772, -0.99613, -0.08291, -0.02818
08/10/2023 19:56:00.365088,2,start,-0.34, 1.28, 0.48,0.00785, -0.99609, -0.08326, -0.02851,-0.40, 1.28, 0.48,0.00785, -0.99609, -0.08326, -0.02851,-0.37, 1.28, 0.48,0.00785, -0.99609, -0.08326, -0.02851,-0.34, 1.28, 0.48,0.00176, 0.99550, -0.09285, 0.01891,10.66, 177.82, 0.00,0.04, -0.18, -0.98,-1.00, 0.00, -0.04,0.01, 0.98, -0.18,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,0.00357, 0.99496, -0.09259, 0.03841,10.63, 175.58, 0.00,0.08, -0.18, -0.98,-1.00, 0.00, -0.08,0.01, 0.98, -0.18,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00792, -0.99611, -0.08307, -0.02827
08/10/2023 19:56:00.379027,3,start,-0.34, 1.28, 0.48,0.00763, -0.99608, -0.08330, -0.02877,-0.40, 1.28, 0.48,0.00763, -0.99608, -0.08330, -0.02877,-0.37, 1.28, 0.48,0.00763, -0.99608, -0.08330, -0.02877,-0.34, 1.28, 0.48,0.00176, 0.99550, -0.09285, 0.01891,10.66, 177.82, 0.00,0.04, -0.18, -0.98,-1.00, 0.00, -0.04,0.01, 0.98, -0.18,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,0.00357, 0.99496, -0.09259, 0.03841,10.63, 175.58, 0.00,0.08, -0.18, -0.98,-1.00, 0.00, -0.08,0.01, 0.98, -0.18,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00784, -0.99609, -0.08324, -0.02849
08/10/2023 19:56:00.393553,4,start,-0.34, 1.28, 0.48,0.00702, -0.99605, -0.08356, -0.02919,-0.40, 1.28, 0.48,0.00702, -0.99605, -0.08356, -0.02919,-0.37, 1.28, 0.48,0.00702, -0.99605, -0.08356, -0.02919,-0.34, 1.28, 0.48,0.00176, 0.99550, -0.09285, 0.01891,10.66, 177.82, 0.00,0.04, -0.18, -0.98,-1.00, 0.00, -0.04,0.01, 0.98, -0.18,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,0.00357, 0.99496, -0.09259, 0.03841,10.63, 175.58, 0.00,0.08, -0.18, -0.98,-1.00, 0.00, -0.08,0.01, 0.98, -0.18,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00757, -0.99608, -0.08333, -0.02881
08/10/2023 19:56:00.407824,5,start,-0.34, 1.28, 0.48,0.00689, -0.99605, -0.08347, -0.02958,-0.40, 1.28, 0.48,0.00689, -0.99605, -0.08347, -0.02958,-0.37, 1.28, 0.48,0.00689, -0.99605, -0.08347, -0.02958,-0.34, 1.28, 0.48,-0.00027, 0.99972, 0.01802, 0.01504,357.93, 178.28, 0.00,0.03, 0.04, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.04,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,-0.00066, 0.99919, 0.01824, 0.03592,357.91, 175.88, 0.00,0.07, 0.04, -1.00,-1.00, 0.00, -0.07,0.00, 1.00, 0.04,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00702, -0.99605, -0.08356, -0.02910
08/10/2023 19:56:00.422091,6,start,-0.34, 1.28, 0.48,0.00640, -0.99604, -0.08344, -0.03008,-0.40, 1.28, 0.48,0.00640, -0.99604, -0.08344, -0.03008,-0.37, 1.28, 0.48,0.00640, -0.99604, -0.08344, -0.03008,-0.34, 1.28, 0.48,-0.00027, 0.99972, 0.01802, 0.01504,357.93, 178.28, 0.00,0.03, 0.04, -1.00,-1.00, 0.00, -0.03,0.00, 1.00, 0.04,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,-0.00066, 0.99919, 0.01824, 0.03592,357.91, 175.88, 0.00,0.07, 0.04, -1.00,-1.00, 0.00, -0.07,0.00, 1.00, 0.04,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00685, -0.99605, -0.08349, -0.02957
08/10/2023 19:56:00.436069,7,start,-0.34, 1.28, 0.48,0.00583, -0.99604, -0.08328, -0.03063,-0.40, 1.28, 0.48,0.00583, -0.99604, -0.08328, -0.03063,-0.37, 1.28, 0.48,0.00583, -0.99604, -0.08328, -0.03063,-0.34, 1.28, 0.48,-0.00105, 0.99701, 0.07603, 0.01375,351.28, 178.42, 0.00,0.03, 0.15, -0.99,-1.00, 0.00, -0.03,0.00, 0.99, 0.15,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,-0.00258, 0.99652, 0.07622, 0.03371,351.25, 176.13, 0.00,0.07, 0.15, -0.99,-1.00, 0.00, -0.07,-0.01, 0.99, 0.15,TrackingSpace,0.9980469,-0.30, 1.49, -0.75,0.00641, -0.99604, -0.08339, -0.03011
08/10/2023 19:56:00.450487,8,start,-0.34, 1.28, 0.48,0.00519, -0.99603, -0.08327, -0.03101,-0.40, 1.28, 0.48,0.00519, -0.99603, -0.08327, -0.03101,-0.37, 1.28, 0.48,0.00519, -0.99603, -0.08327, -0.03101,-0.34, 1.28, 0.48,-0.00105, 0.99701, 0.07603, 0.01375,351.28, 178.42, 0.00,0.03, 0.15, -0.99,-1.00, 0.00, -0.03,0.00, 0.99, 0.15,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,-0.00258, 0.99652, 0.07622, 0.03371,351.25, 176.13, 0.00,0.07, 0.15, -0.99,-1.00, 0.00, -0.07,-0.01, 0.99, 0.15,TrackingSpace,0.9980469,-0.29, 1.49, -0.75,0.00582, -0.99604, -0.08329, -0.03060
08/10/2023 19:56:00.464701,9,start,-0.34, 1.28, 0.48,0.00462, -0.99601, -0.08339, -0.03141,-0.40, 1.28, 0.48,0.00462, -0.99601, -0.08339, -0.03141,-0.37, 1.28, 0.48,0.00462, -0.99601, -0.08339, -0.03141,-0.34, 1.28, 0.48,-0.00123, 0.99697, 0.07606, 0.01609,351.28, 178.15, 0.00,0.03, 0.15, -0.99,-1.00, 0.00, -0.03,0.00, 0.99, 0.15,TrackingSpace,0.9980469,-0.40, 1.28, 0.48,-0.00284, 0.99640, 0.07619, 0.03714,351.25, 175.73, 0.00,0.07, 0.15, -0.99,-1.00, 0.00, -0.07,-0.01, 0.99, 0.15,TrackingSpace,0.9980469,-0.29, 1.49, -0.75,0.00519, -0.99603, -0.08327, -0.03101
