Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/10/2023 19:57:09.937794,0,start,-1.38, 1.74, 0.67,0.04723, -0.54317, 0.00258, -0.83829,-1.35, 1.74, 0.62,0.04723, -0.54317, 0.00258, -0.83829,-1.36, 1.74, 0.65,0.04723, -0.54317, 0.00258, -0.83829,-1.40, 1.74, 0.64,-0.16226, 0.36492, 0.06475, 0.91450,339.88, 43.51, 0.00,0.65, 0.34, 0.68,0.73, 0.00, -0.69,-0.24, 0.94, -0.25,TrackingSpace,0.9980469,-1.37, 1.74, 0.58,-0.16215, 0.35902, 0.06349, 0.91694,339.94, 42.77, 0.00,0.64, 0.34, 0.69,0.73, 0.00, -0.68,-0.23, 0.94, -0.25,TrackingSpace,0.9980469,-0.42, 2.28, 1.66,0.04669, -0.53855, 0.00021, -0.84130
08/10/2023 19:57:09.951903,1,start,-1.37, 1.75, 0.68,0.04688, -0.54854, 0.00501, -0.83479,-1.35, 1.74, 0.62,0.04688, -0.54854, 0.00501, -0.83479,-1.36, 1.74, 0.65,0.04688, -0.54854, 0.00501, -0.83479,-1.40, 1.74, 0.64,-0.16226, 0.36492, 0.06475, 0.91450,339.88, 43.51, 0.00,0.65, 0.34, 0.68,0.73, 0.00, -0.69,-0.24, 0.94, -0.25,TrackingSpace,0.9980469,-1.37, 1.74, 0.58,-0.16215, 0.35902, 0.06349, 0.91694,339.94, 42.77, 0.00,0.64, 0.34, 0.69,0.73, 0.00, -0.68,-0.23, 0.94, -0.25,TrackingSpace,0.9980469,-0.40, 2.28, 1.66,0.04705, -0.54325, 0.00257, -0.83825
08/10/2023 19:57:09.965769,2,start,-1.37, 1.75, 0.69,0.04525, -0.55364, 0.00639, -0.83150,-1.34, 1.74, 0.63,0.04525, -0.55364, 0.00639, -0.83150,-1.35, 1.75, 0.66,0.04525, -0.55364, 0.00639, -0.83150,-1.39, 1.74, 0.66,-0.16313, 0.37674, 0.06758, 0.90934,339.66, 45.01, 0.00,0.66, 0.35, 0.66,0.71, 0.00, -0.71,-0.25, 0.94, -0.25,TrackingSpace,0.9980469,-1.36, 1.74, 0.60,-0.16311, 0.37086, 0.06634, 0.91184,339.72, 44.26, 0.00,0.65, 0.35, 0.67,0.72, 0.00, -0.70,-0.24, 0.94, -0.25,TrackingSpace,0.9980469,-0.38, 2.28, 1.65,0.04688, -0.54854, 0.00501, -0.83479
08/10/2023 19:57:09.980125,3,start,-1.36, 1.75, 0.70,0.04210, -0.55771, 0.00521, -0.82895,-1.34, 1.74, 0.64,0.04210, -0.55771, 0.00521, -0.82895,-1.35, 1.75, 0.67,0.04210, -0.55771, 0.00521, -0.82895,-1.39, 1.74, 0.66,-0.16313, 0.37674, 0.06758, 0.90934,339.66, 45.01, 0.00,0.66, 0.35, 0.66,0.71, 0.00, -0.71,-0.25, 0.94, -0.25,TrackingSpace,0.9980469,-1.36, 1.74, 0.60,-0.16311, 0.37086, 0.06634, 0.91184,339.72, 44.26, 0.00,0.65, 0.35, 0.67,0.72, 0.00, -0.70,-0.24, 0.94, -0.25,TrackingSpace,0.9980469,-0.36, 2.28, 1.65,0.04525, -0.55364, 0.00639, -0.83150
08/10/2023 19:57:10.000926,4,start,-1.35, 1.75, 0.71,0.03852, -0.56159, 0.00374, -0.82651,-1.33, 1.75, 0.65,0.03852, -0.56159, 0.00374, -0.82651,-1.34, 1.75, 0.68,0.03852, -0.56159, 0.00374, -0.82651,-1.39, 1.74, 0.66,-0.16313, 0.37674, 0.06758, 0.90934,339.66, 45.01, 0.00,0.66, 0.35, 0.66,0.71, 0.00, -0.71,-0.25, 0.94, -0.25,TrackingSpace,0.9980469,-1.36, 1.74, 0.60,-0.16311, 0.37086, 0.06634, 0.91184,339.72, 44.26, 0.00,0.65, 0.35, 0.67,0.72, 0.00, -0.70,-0.24, 0.94, -0.25,TrackingSpace,0.9980469,-0.35, 2.27, 1.65,0.04176, -0.55762, 0.00487, -0.82903
08/10/2023 19:57:10.008648,5,start,-1.35, 1.75, 0.72,0.03637, -0.56591, 0.00320, -0.82366,-1.32, 1.75, 0.66,0.03637, -0.56591, 0.00320, -0.82366,-1.34, 1.75, 0.69,0.03637, -0.56591, 0.00320, -0.82366,-1.37, 1.74, 0.68,-0.15824, 0.39002, 0.06823, 0.90454,340.15, 46.65, 0.00,0.68, 0.34, 0.65,0.69, 0.00, -0.73,-0.25, 0.94, -0.23,TrackingSpace,0.9980469,-1.35, 1.74, 0.62,-0.15829, 0.38418, 0.06704, 0.90711,340.20, 45.91, 0.00,0.68, 0.34, 0.65,0.70, 0.00, -0.72,-0.24, 0.94, -0.24,TrackingSpace,0.9980469,-0.33, 2.26, 1.65,0.03832, -0.56160, 0.00342, -0.82651
08/10/2023 19:57:10.021372,6,start,-1.34, 1.75, 0.72,0.03638, -0.57054, 0.00393, -0.82046,-1.32, 1.75, 0.66,0.03638, -0.57054, 0.00393, -0.82046,-1.33, 1.75, 0.69,0.03638, -0.57054, 0.00393, -0.82046,-1.37, 1.74, 0.68,-0.15824, 0.39002, 0.06823, 0.90454,340.15, 46.65, 0.00,0.68, 0.34, 0.65,0.69, 0.00, -0.73,-0.25, 0.94, -0.23,TrackingSpace,0.9980469,-1.35, 1.74, 0.62,-0.15829, 0.38418, 0.06704, 0.90711,340.20, 45.91, 0.00,0.68, 0.34, 0.65,0.70, 0.00, -0.72,-0.24, 0.94, -0.24,TrackingSpace,0.9980469,-0.31, 2.26, 1.65,0.03643, -0.56591, 0.00330, -0.82365
08/10/2023 19:57:10.035729,7,start,-1.34, 1.75, 0.73,0.03939, -0.57564, 0.00529, -0.81674,-1.31, 1.75, 0.67,0.03939, -0.57564, 0.00529, -0.81674,-1.32, 1.75, 0.70,0.03939, -0.57564, 0.00529, -0.81674,-1.36, 1.75, 0.70,-0.15363, 0.39436, 0.06705, 0.90354,340.70, 47.16, 0.00,0.69, 0.33, 0.64,0.68, 0.00, -0.73,-0.24, 0.94, -0.22,TrackingSpace,0.9980469,-1.33, 1.74, 0.64,-0.15363, 0.38859, 0.06589, 0.90612,340.75, 46.42, 0.00,0.68, 0.33, 0.65,0.69, 0.00, -0.72,-0.24, 0.94, -0.23,TrackingSpace,0.9980469,-0.30, 2.26, 1.65,0.03658, -0.57059, 0.00403, -0.82041
08/10/2023 19:57:10.049834,8,start,-1.33, 1.75, 0.74,0.04435, -0.58080, 0.00568, -0.81282,-1.31, 1.75, 0.68,0.04435, -0.58080, 0.00568, -0.81282,-1.32, 1.75, 0.71,0.04435, -0.58080, 0.00568, -0.81282,-1.36, 1.75, 0.70,-0.15363, 0.39436, 0.06705, 0.90354,340.70, 47.16, 0.00,0.69, 0.33, 0.64,0.68, 0.00, -0.73,-0.24, 0.94, -0.22,TrackingSpace,0.9980469,-1.33, 1.74, 0.64,-0.15363, 0.38859, 0.06589, 0.90612,340.75, 46.42, 0.00,0.68, 0.33, 0.65,0.69, 0.00, -0.72,-0.24, 0.94, -0.23,TrackingSpace,0.9980469,-0.28, 2.27, 1.64,0.03993, -0.57568, 0.00539, -0.81668
08/10/2023 19:57:10.064293,9,start,-1.32, 1.76, 0.74,0.04873, -0.58583, 0.00390, -0.80896,-1.30, 1.75, 0.68,0.04873, -0.58583, 0.00390, -0.80896,-1.31, 1.75, 0.71,0.04873, -0.58583, 0.00390, -0.80896,-1.34, 1.75, 0.72,-0.15466, 0.40534, 0.06979, 0.89828,340.46, 48.57, 0.00,0.71, 0.33, 0.62,0.66, 0.00, -0.75,-0.25, 0.94, -0.22,TrackingSpace,0.9980469,-1.32, 1.75, 0.66,-0.15469, 0.39961, 0.06861, 0.90093,340.51, 47.84, 0.00,0.70, 0.33, 0.63,0.67, 0.00, -0.74,-0.25, 0.94, -0.22,TrackingSpace,0.9980469,-0.26, 2.28, 1.63,0.04452, -0.58082, 0.00558, -0.81280
