Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/10/2023 19:28:05.627009,0,start,-0.28, 1.28, 0.74,0.04433, -0.92376, -0.31616, -0.21152,-0.34, 1.28, 0.72,0.04433, -0.92376, -0.31616, -0.21152,-0.31, 1.28, 0.73,0.04433, -0.92376, -0.31616, -0.21152,-0.28, 1.28, 0.74,-0.11972, 0.87989, 0.33876, 0.31096,317.89, 141.07, 0.00,0.47, 0.67, -0.58,-0.78, 0.00, -0.63,-0.42, 0.74, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12791, 0.87207, 0.33073, 0.33727,318.46, 137.71, 0.00,0.50, 0.66, -0.55,-0.74, 0.00, -0.67,-0.45, 0.75, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.637873,1,start,-0.28, 1.28, 0.75,0.04420, -0.92305, -0.31776, -0.21224,-0.34, 1.28, 0.72,0.04420, -0.92305, -0.31776, -0.21224,-0.31, 1.28, 0.73,0.04420, -0.92305, -0.31776, -0.21224,-0.28, 1.28, 0.74,-0.11972, 0.87989, 0.33876, 0.31096,317.89, 141.07, 0.00,0.47, 0.67, -0.58,-0.78, 0.00, -0.63,-0.42, 0.74, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12791, 0.87207, 0.33073, 0.33727,318.46, 137.71, 0.00,0.50, 0.66, -0.55,-0.74, 0.00, -0.67,-0.45, 0.75, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.655562,2,start,-0.28, 1.28, 0.75,0.04298, -0.92297, -0.31798, -0.21255,-0.34, 1.28, 0.72,0.04298, -0.92297, -0.31798, -0.21255,-0.31, 1.28, 0.73,0.04298, -0.92297, -0.31798, -0.21255,-0.28, 1.28, 0.74,-0.12040, 0.87922, 0.33935, 0.31196,317.79, 140.93, 0.00,0.47, 0.67, -0.58,-0.78, 0.00, -0.63,-0.42, 0.74, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12870, 0.87127, 0.33115, 0.33862,318.38, 137.52, 0.00,0.50, 0.66, -0.55,-0.74, 0.00, -0.68,-0.45, 0.75, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.674219,3,start,-0.28, 1.28, 0.75,0.04266, -0.92315, -0.31739, -0.21269,-0.34, 1.28, 0.72,0.04266, -0.92315, -0.31739, -0.21269,-0.31, 1.28, 0.73,0.04266, -0.92315, -0.31739, -0.21269,-0.28, 1.28, 0.74,-0.11964, 0.88005, 0.33710, 0.31235,318.08, 140.92, 0.00,0.47, 0.67, -0.58,-0.78, 0.00, -0.63,-0.42, 0.74, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12783, 0.87212, 0.32896, 0.33890,318.67, 137.53, 0.00,0.51, 0.66, -0.55,-0.74, 0.00, -0.68,-0.45, 0.75, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.695029,4,start,-0.28, 1.28, 0.75,0.04313, -0.92329, -0.31678, -0.21291,-0.34, 1.28, 0.72,0.04313, -0.92329, -0.31678, -0.21291,-0.31, 1.28, 0.73,0.04313, -0.92329, -0.31678, -0.21291,-0.28, 1.28, 0.74,-0.11964, 0.88005, 0.33710, 0.31235,318.08, 140.92, 0.00,0.47, 0.67, -0.58,-0.78, 0.00, -0.63,-0.42, 0.74, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12783, 0.87212, 0.32896, 0.33890,318.67, 137.53, 0.00,0.51, 0.66, -0.55,-0.74, 0.00, -0.68,-0.45, 0.75, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.713564,5,start,-0.28, 1.28, 0.75,0.04352, -0.92324, -0.31673, -0.21309,-0.34, 1.28, 0.72,0.04352, -0.92324, -0.31673, -0.21309,-0.31, 1.28, 0.73,0.04352, -0.92324, -0.31673, -0.21309,-0.28, 1.28, 0.74,-0.11710, 0.88253, 0.33529, 0.30823,318.39, 141.50, 0.00,0.47, 0.66, -0.59,-0.78, 0.00, -0.62,-0.41, 0.75, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12633, 0.87360, 0.32623, 0.33829,319.05, 137.66, 0.00,0.51, 0.66, -0.56,-0.74, 0.00, -0.67,-0.44, 0.76, 0.48,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.729683,6,start,-0.28, 1.28, 0.75,0.04348, -0.92310, -0.31700, -0.21332,-0.34, 1.28, 0.72,0.04348, -0.92310, -0.31700, -0.21332,-0.31, 1.28, 0.73,0.04348, -0.92310, -0.31700, -0.21332,-0.28, 1.28, 0.74,-0.11710, 0.88253, 0.33529, 0.30823,318.39, 141.50, 0.00,0.47, 0.66, -0.59,-0.78, 0.00, -0.62,-0.41, 0.75, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12633, 0.87360, 0.32623, 0.33829,319.05, 137.66, 0.00,0.51, 0.66, -0.56,-0.74, 0.00, -0.67,-0.44, 0.76, 0.48,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.745986,7,start,-0.28, 1.28, 0.75,0.04364, -0.92305, -0.31704, -0.21345,-0.34, 1.28, 0.72,0.04364, -0.92305, -0.31704, -0.21345,-0.31, 1.28, 0.73,0.04364, -0.92305, -0.31704, -0.21345,-0.28, 1.28, 0.74,-0.11736, 0.88229, 0.33525, 0.30886,318.39, 141.41, 0.00,0.47, 0.66, -0.58,-0.78, 0.00, -0.62,-0.41, 0.75, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12657, 0.87335, 0.32616, 0.33892,319.04, 137.58, 0.00,0.51, 0.66, -0.56,-0.74, 0.00, -0.67,-0.44, 0.76, 0.48,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.762741,8,start,-0.28, 1.28, 0.75,0.04387, -0.92305, -0.31697, -0.21348,-0.34, 1.28, 0.72,0.04387, -0.92305, -0.31697, -0.21348,-0.31, 1.28, 0.73,0.04387, -0.92305, -0.31697, -0.21348,-0.28, 1.28, 0.74,-0.11736, 0.88229, 0.33525, 0.30886,318.39, 141.41, 0.00,0.47, 0.66, -0.58,-0.78, 0.00, -0.62,-0.41, 0.75, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12657, 0.87335, 0.32616, 0.33892,319.04, 137.58, 0.00,0.51, 0.66, -0.56,-0.74, 0.00, -0.67,-0.44, 0.76, 0.48,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 19:28:05.779052,9,start,-0.28, 1.28, 0.75,0.04398, -0.92301, -0.31700, -0.21361,-0.34, 1.28, 0.72,0.04398, -0.92301, -0.31700, -0.21361,-0.31, 1.28, 0.73,0.04398, -0.92301, -0.31700, -0.21361,-0.28, 1.28, 0.74,-0.12025, 0.87930, 0.34058, 0.31045,317.65, 141.11, 0.00,0.46, 0.67, -0.58,-0.78, 0.00, -0.63,-0.42, 0.74, 0.52,TrackingSpace,0.9980469,-0.34, 1.28, 0.72,-0.12967, 0.87029, 0.33127, 0.34066,318.32, 137.25, 0.00,0.51, 0.66, -0.55,-0.73, 0.00, -0.68,-0.45, 0.75, 0.49,TrackingSpace,0.9980469,0.20, 2.00, 0.15,0.00000, 0.00000, 0.00000, 1.00000
