Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/10/2023 20:55:38.735717,0,start,-0.41, 1.66, -0.25,0.01539, -0.78397, 0.06706, -0.61698,-0.43, 1.65, -0.32,0.01539, -0.78397, 0.06706, -0.61698,-0.42, 1.65, -0.29,0.01539, -0.78397, 0.06706, -0.61698,-0.40, 1.66, -0.22,-0.03005, 0.74350, 0.03348, 0.66722,354.84, 96.19, 0.00,0.99, 0.09, -0.11,-0.11, 0.00, -0.99,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.42, 1.65, -0.28,-0.03128, 0.73483, 0.03397, 0.67667,354.71, 94.72, 0.00,0.99, 0.09, -0.08,-0.08, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.749565,1,start,-0.42, 1.65, -0.26,0.01605, -0.77951, 0.06445, -0.62286,-0.43, 1.65, -0.33,0.01605, -0.77951, 0.06445, -0.62286,-0.42, 1.65, -0.30,0.01605, -0.77951, 0.06445, -0.62286,-0.40, 1.66, -0.22,-0.03005, 0.74350, 0.03348, 0.66722,354.84, 96.19, 0.00,0.99, 0.09, -0.11,-0.11, 0.00, -0.99,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.42, 1.65, -0.28,-0.03128, 0.73483, 0.03397, 0.67667,354.71, 94.72, 0.00,0.99, 0.09, -0.08,-0.08, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.763915,2,start,-0.42, 1.65, -0.27,0.01673, -0.77479, 0.06207, -0.62894,-0.43, 1.65, -0.34,0.01673, -0.77479, 0.06207, -0.62894,-0.43, 1.65, -0.31,0.01673, -0.77479, 0.06207, -0.62894,-0.40, 1.66, -0.22,-0.03005, 0.74350, 0.03348, 0.66722,354.84, 96.19, 0.00,0.99, 0.09, -0.11,-0.11, 0.00, -0.99,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.42, 1.65, -0.28,-0.03128, 0.73483, 0.03397, 0.67667,354.71, 94.72, 0.00,0.99, 0.09, -0.08,-0.08, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.777963,3,start,-0.42, 1.65, -0.28,0.01820, -0.77009, 0.06038, -0.63481,-0.44, 1.65, -0.35,0.01820, -0.77009, 0.06038, -0.63481,-0.43, 1.65, -0.32,0.01820, -0.77009, 0.06038, -0.63481,-0.41, 1.65, -0.24,-0.03068, 0.73370, 0.03321, 0.67796,354.82, 94.52, 0.00,0.99, 0.09, -0.08,-0.08, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.43, 1.65, -0.30,-0.03191, 0.72495, 0.03366, 0.68723,354.68, 93.06, 0.00,0.99, 0.09, -0.05,-0.05, 0.00, -1.00,-0.09, 1.00, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.791953,4,start,-0.43, 1.65, -0.29,0.01994, -0.76533, 0.05897, -0.64062,-0.44, 1.64, -0.36,0.01994, -0.76533, 0.05897, -0.64062,-0.43, 1.65, -0.33,0.01994, -0.76533, 0.05897, -0.64062,-0.41, 1.65, -0.24,-0.03068, 0.73370, 0.03321, 0.67796,354.82, 94.52, 0.00,0.99, 0.09, -0.08,-0.08, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.43, 1.65, -0.30,-0.03191, 0.72495, 0.03366, 0.68723,354.68, 93.06, 0.00,0.99, 0.09, -0.05,-0.05, 0.00, -1.00,-0.09, 1.00, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.806372,5,start,-0.43, 1.65, -0.30,0.02175, -0.76045, 0.05775, -0.64646,-0.44, 1.64, -0.37,0.02175, -0.76045, 0.05775, -0.64646,-0.44, 1.65, -0.34,0.02175, -0.76045, 0.05775, -0.64646,-0.42, 1.65, -0.27,-0.03125, 0.72843, 0.03330, 0.68359,354.77, 93.64, 0.00,0.99, 0.09, -0.06,-0.06, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.43, 1.65, -0.33,-0.03266, 0.71827, 0.03380, 0.69417,354.61, 91.95, 0.00,1.00, 0.09, -0.03,-0.03, 0.00, -1.00,-0.09, 1.00, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.820683,6,start,-0.44, 1.65, -0.31,0.02324, -0.75526, 0.05642, -0.65258,-0.45, 1.64, -0.38,0.02324, -0.75526, 0.05642, -0.65258,-0.44, 1.64, -0.35,0.02324, -0.75526, 0.05642, -0.65258,-0.42, 1.65, -0.27,-0.03125, 0.72843, 0.03330, 0.68359,354.77, 93.64, 0.00,0.99, 0.09, -0.06,-0.06, 0.00, -1.00,-0.09, 1.00, 0.01,TrackingSpace,0.9980469,-0.43, 1.65, -0.33,-0.03266, 0.71827, 0.03380, 0.69417,354.61, 91.95, 0.00,1.00, 0.09, -0.03,-0.03, 0.00, -1.00,-0.09, 1.00, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.834951,7,start,-0.44, 1.65, -0.32,0.02453, -0.74984, 0.05488, -0.65888,-0.45, 1.64, -0.39,0.02453, -0.74984, 0.05488, -0.65888,-0.44, 1.64, -0.36,0.02453, -0.74984, 0.05488, -0.65888,-0.43, 1.65, -0.29,-0.03615, 0.71626, 0.03721, 0.69590,354.05, 91.65, 0.00,0.99, 0.10, -0.03,-0.03, 0.00, -1.00,-0.10, 0.99, 0.00,TrackingSpace,0.9980469,-0.44, 1.64, -0.35,-0.03763, 0.70590, 0.03761, 0.70631,353.90, 89.97, 0.00,0.99, 0.11, 0.00,0.00, 0.00, -1.00,-0.11, 0.99, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.848902,8,start,-0.44, 1.65, -0.33,0.02592, -0.74460, 0.05331, -0.66487,-0.45, 1.64, -0.40,0.02592, -0.74460, 0.05331, -0.66487,-0.45, 1.64, -0.37,0.02592, -0.74460, 0.05331, -0.66487,-0.43, 1.65, -0.29,-0.03615, 0.71626, 0.03721, 0.69590,354.05, 91.65, 0.00,0.99, 0.10, -0.03,-0.03, 0.00, -1.00,-0.10, 0.99, 0.00,TrackingSpace,0.9980469,-0.44, 1.64, -0.35,-0.03763, 0.70590, 0.03761, 0.70631,353.90, 89.97, 0.00,0.99, 0.11, 0.00,0.00, 0.00, -1.00,-0.11, 0.99, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/10/2023 20:55:38.863343,9,start,-0.45, 1.65, -0.35,0.02733, -0.73955, 0.05097, -0.67061,-0.46, 1.64, -0.41,0.02733, -0.73955, 0.05097, -0.67061,-0.45, 1.64, -0.38,0.02733, -0.73955, 0.05097, -0.67061,-0.43, 1.65, -0.29,-0.03615, 0.71626, 0.03721, 0.69590,354.05, 91.65, 0.00,0.99, 0.10, -0.03,-0.03, 0.00, -1.00,-0.10, 0.99, 0.00,TrackingSpace,0.9980469,-0.44, 1.64, -0.35,-0.03763, 0.70590, 0.03761, 0.70631,353.90, 89.97, 0.00,0.99, 0.11, 0.00,0.00, 0.00, -1.00,-0.11, 0.99, 0.00,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
