Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/11/2023 16:26:10.610832,0,start,0.53, 1.26, -0.07,-0.01373, -0.99525, -0.08582, -0.04382,0.46, 1.26, -0.08,-0.01373, -0.99525, -0.08582, -0.04382,0.50, 1.26, -0.07,-0.01373, -0.99525, -0.08582, -0.04382,0.53, 1.26, -0.07,-0.03564, 0.96329, 0.16360, 0.20984,340.72, 155.42, 0.00,0.39, 0.33, -0.86,-0.91, 0.00, -0.42,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.03754, 0.96047, 0.16096, 0.22401,340.97, 153.74, 0.00,0.42, 0.33, -0.85,-0.90, 0.00, -0.44,-0.14, 0.95, 0.29,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01376, -0.99527, -0.08562, -0.04371
08/11/2023 16:26:10.625322,1,start,0.53, 1.26, -0.07,-0.01370, -0.99523, -0.08602, -0.04397,0.46, 1.26, -0.08,-0.01370, -0.99523, -0.08602, -0.04397,0.50, 1.26, -0.07,-0.01370, -0.99523, -0.08602, -0.04397,0.53, 1.26, -0.07,-0.03564, 0.96329, 0.16360, 0.20984,340.72, 155.42, 0.00,0.39, 0.33, -0.86,-0.91, 0.00, -0.42,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.03754, 0.96047, 0.16096, 0.22401,340.97, 153.74, 0.00,0.42, 0.33, -0.85,-0.90, 0.00, -0.44,-0.14, 0.95, 0.29,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01368, -0.99525, -0.08585, -0.04380
08/11/2023 16:26:10.639338,2,start,0.53, 1.26, -0.07,-0.01364, -0.99520, -0.08630, -0.04415,0.46, 1.26, -0.08,-0.01364, -0.99520, -0.08630, -0.04415,0.50, 1.26, -0.07,-0.01364, -0.99520, -0.08630, -0.04415,0.53, 1.26, -0.07,-0.03538, 0.96356, 0.16313, 0.20900,340.78, 155.52, 0.00,0.39, 0.33, -0.86,-0.91, 0.00, -0.41,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.03663, 0.96176, 0.16145, 0.21819,340.94, 154.44, 0.00,0.41, 0.33, -0.85,-0.90, 0.00, -0.43,-0.14, 0.95, 0.29,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01369, -0.99523, -0.08601, -0.04400
08/11/2023 16:26:10.653411,3,start,0.53, 1.26, -0.07,-0.01360, -0.99515, -0.08675, -0.04436,0.46, 1.26, -0.08,-0.01360, -0.99515, -0.08675, -0.04436,0.50, 1.26, -0.07,-0.01360, -0.99515, -0.08675, -0.04436,0.53, 1.26, -0.07,-0.03538, 0.96356, 0.16313, 0.20900,340.78, 155.52, 0.00,0.39, 0.33, -0.86,-0.91, 0.00, -0.41,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.03663, 0.96176, 0.16145, 0.21819,340.94, 154.44, 0.00,0.41, 0.33, -0.85,-0.90, 0.00, -0.43,-0.14, 0.95, 0.29,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01365, -0.99519, -0.08635, -0.04416
08/11/2023 16:26:10.667818,4,start,0.53, 1.26, -0.07,-0.01317, -0.99513, -0.08692, -0.04448,0.46, 1.26, -0.08,-0.01317, -0.99513, -0.08692, -0.04448,0.50, 1.26, -0.07,-0.01317, -0.99513, -0.08692, -0.04448,0.53, 1.26, -0.07,-0.03553, 0.96342, 0.16352, 0.20935,340.73, 155.48, 0.00,0.39, 0.33, -0.86,-0.91, 0.00, -0.42,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.03665, 0.96181, 0.16201, 0.21757,340.88, 154.51, 0.00,0.41, 0.33, -0.85,-0.90, 0.00, -0.43,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01360, -0.99515, -0.08672, -0.04435
08/11/2023 16:26:10.682052,5,start,0.53, 1.26, -0.07,-0.01268, -0.99515, -0.08675, -0.04464,0.46, 1.26, -0.08,-0.01268, -0.99515, -0.08675, -0.04464,0.50, 1.26, -0.07,-0.01268, -0.99515, -0.08675, -0.04464,0.53, 1.26, -0.07,-0.03553, 0.96342, 0.16352, 0.20935,340.73, 155.48, 0.00,0.39, 0.33, -0.86,-0.91, 0.00, -0.42,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.03665, 0.96181, 0.16201, 0.21757,340.88, 154.51, 0.00,0.41, 0.33, -0.85,-0.90, 0.00, -0.43,-0.14, 0.94, 0.30,TrackingSpace,0.9980469,1.18, 1.88, -1.26,-0.01316, -0.99514, -0.08691, -0.04448
08/11/2023 16:26:10.696422,6,start,0.53, 1.26, -0.07,-0.01258, -0.99515, -0.08653, -0.04501,0.46, 1.26, -0.08,-0.01258, -0.99515, -0.08653, -0.04501,0.50, 1.26, -0.07,-0.01258, -0.99515, -0.08653, -0.04501,0.53, 1.26, -0.07,-0.04071, 0.95885, 0.18323, 0.21303,338.36, 154.95, 0.00,0.39, 0.37, -0.84,-0.91, 0.00, -0.42,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.04205, 0.95714, 0.18146, 0.22180,338.53, 153.91, 0.00,0.41, 0.37, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,1.18, 1.88, -1.26,-0.01268, -0.99515, -0.08673, -0.04468
08/11/2023 16:26:10.710296,7,start,0.53, 1.26, -0.07,-0.01257, -0.99517, -0.08622, -0.04531,0.46, 1.26, -0.08,-0.01257, -0.99517, -0.08622, -0.04531,0.50, 1.26, -0.07,-0.01257, -0.99517, -0.08622, -0.04531,0.53, 1.26, -0.07,-0.04071, 0.95885, 0.18323, 0.21303,338.36, 154.95, 0.00,0.39, 0.37, -0.84,-0.91, 0.00, -0.42,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.04205, 0.95714, 0.18146, 0.22180,338.53, 153.91, 0.00,0.41, 0.37, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01263, -0.99516, -0.08648, -0.04502
08/11/2023 16:26:10.724921,8,start,0.53, 1.26, -0.07,-0.01241, -0.99516, -0.08612, -0.04563,0.46, 1.26, -0.08,-0.01241, -0.99516, -0.08612, -0.04563,0.50, 1.26, -0.07,-0.01241, -0.99516, -0.08612, -0.04563,0.53, 1.26, -0.07,-0.04071, 0.95885, 0.18323, 0.21303,338.36, 154.95, 0.00,0.39, 0.37, -0.84,-0.91, 0.00, -0.42,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.04205, 0.95714, 0.18146, 0.22180,338.53, 153.91, 0.00,0.41, 0.37, -0.84,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01256, -0.99517, -0.08622, -0.04530
08/11/2023 16:26:10.738982,9,start,0.53, 1.26, -0.07,-0.01218, -0.99516, -0.08600, -0.04593,0.46, 1.26, -0.08,-0.01218, -0.99516, -0.08600, -0.04593,0.50, 1.26, -0.07,-0.01218, -0.99516, -0.08600, -0.04593,0.53, 1.26, -0.07,-0.04271, 0.95655, 0.18381, 0.22228,338.25, 153.84, 0.00,0.41, 0.37, -0.83,-0.90, 0.00, -0.44,-0.16, 0.93, 0.33,TrackingSpace,0.9980469,0.47, 1.26, -0.08,-0.04414, 0.95461, 0.18180, 0.23178,338.44, 152.70, 0.00,0.43, 0.37, -0.83,-0.89, 0.00, -0.46,-0.17, 0.93, 0.33,TrackingSpace,0.9980469,1.18, 1.87, -1.26,-0.01242, -0.99517, -0.08608, -0.04559
