Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/11/2023 16:36:24.857173,0,start,1.36, 1.62, -0.14,0.08006, 0.33207, -0.11309, -0.93302,1.41, 1.64, -0.10,0.08006, 0.33207, -0.11309, -0.93302,1.39, 1.63, -0.12,0.08006, 0.33207, -0.11309, -0.93302,1.38, 1.63, -0.16,0.06633, -0.43010, 0.03171, 0.89978,8.43, 308.90, 0.00,-0.77, -0.15, 0.62,0.63, 0.00, 0.78,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.43, 1.65, -0.12,0.06752, -0.43621, 0.03285, 0.89671,8.61, 308.12, 0.00,-0.78, -0.15, 0.61,0.62, 0.00, 0.79,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,0.07, 1.98, 0.49,0.07919, 0.32618, -0.11277, -0.93521
08/11/2023 16:36:24.871591,1,start,1.36, 1.62, -0.13,0.08158, 0.33788, -0.11348, -0.93076,1.41, 1.64, -0.09,0.08158, 0.33788, -0.11348, -0.93076,1.38, 1.63, -0.11,0.08158, 0.33788, -0.11348, -0.93076,1.37, 1.63, -0.15,0.06512, -0.43171, 0.03127, 0.89911,8.29, 308.70, 0.00,-0.77, -0.14, 0.62,0.63, 0.00, 0.78,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.42, 1.64, -0.11,0.06713, -0.44173, 0.03317, 0.89402,8.59, 307.41, 0.00,-0.79, -0.15, 0.60,0.61, 0.00, 0.79,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,0.06, 1.98, 0.47,0.08013, 0.33202, -0.11308, -0.93304
08/11/2023 16:36:24.885485,2,start,1.35, 1.62, -0.13,0.08370, 0.34375, -0.11401, -0.92835,1.40, 1.64, -0.09,0.08370, 0.34375, -0.11401, -0.92835,1.38, 1.63, -0.11,0.08370, 0.34375, -0.11401, -0.92835,1.37, 1.63, -0.15,0.06512, -0.43171, 0.03127, 0.89911,8.29, 308.70, 0.00,-0.77, -0.14, 0.62,0.63, 0.00, 0.78,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.42, 1.64, -0.11,0.06713, -0.44173, 0.03317, 0.89402,8.59, 307.41, 0.00,-0.79, -0.15, 0.60,0.61, 0.00, 0.79,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,0.04, 1.98, 0.46,0.08171, 0.33784, -0.11356, -0.93075
08/11/2023 16:36:24.899451,3,start,1.35, 1.62, -0.12,0.08602, 0.34963, -0.11457, -0.92587,1.40, 1.64, -0.08,0.08602, 0.34963, -0.11457, -0.92587,1.37, 1.63, -0.10,0.08602, 0.34963, -0.11457, -0.92587,1.37, 1.63, -0.15,0.06512, -0.43171, 0.03127, 0.89911,8.29, 308.70, 0.00,-0.77, -0.14, 0.62,0.63, 0.00, 0.78,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.42, 1.64, -0.11,0.06713, -0.44173, 0.03317, 0.89402,8.59, 307.41, 0.00,-0.79, -0.15, 0.60,0.61, 0.00, 0.79,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,0.03, 1.98, 0.45,0.08377, 0.34376, -0.11405, -0.92833
08/11/2023 16:36:24.913675,4,start,1.34, 1.62, -0.12,0.08800, 0.35511, -0.11509, -0.92353,1.39, 1.64, -0.08,0.08800, 0.35511, -0.11509, -0.92353,1.37, 1.63, -0.10,0.08800, 0.35511, -0.11509, -0.92353,1.36, 1.62, -0.14,0.06351, -0.43534, 0.03081, 0.89750,8.10, 308.25, 0.00,-0.78, -0.14, 0.61,0.62, 0.00, 0.79,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.41, 1.64, -0.10,0.06551, -0.44491, 0.03265, 0.89258,8.40, 307.01, 0.00,-0.79, -0.15, 0.60,0.60, 0.00, 0.80,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,0.02, 1.98, 0.43,0.08606, 0.34958, -0.11463, -0.92588
08/11/2023 16:36:24.927980,5,start,1.34, 1.62, -0.12,0.09213, 0.36110, -0.11622, -0.92066,1.39, 1.64, -0.07,0.09213, 0.36110, -0.11622, -0.92066,1.36, 1.63, -0.09,0.09213, 0.36110, -0.11622, -0.92066,1.36, 1.62, -0.14,0.06351, -0.43534, 0.03081, 0.89750,8.10, 308.25, 0.00,-0.78, -0.14, 0.61,0.62, 0.00, 0.79,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.41, 1.64, -0.10,0.06551, -0.44491, 0.03265, 0.89258,8.40, 307.01, 0.00,-0.79, -0.15, 0.60,0.60, 0.00, 0.80,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,0.01, 1.98, 0.42,0.08810, 0.35508, -0.11516, -0.92352
08/11/2023 16:36:24.942041,6,start,1.33, 1.62, -0.11,0.10007, 0.36784, -0.11738, -0.91701,1.38, 1.64, -0.07,0.10007, 0.36784, -0.11738, -0.91701,1.36, 1.63, -0.09,0.10007, 0.36784, -0.11738, -0.91701,1.35, 1.62, -0.13,0.06557, -0.43290, 0.03159, 0.89850,8.35, 308.55, 0.00,-0.77, -0.15, 0.62,0.62, 0.00, 0.78,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.40, 1.64, -0.09,0.06872, -0.44749, 0.03451, 0.89098,8.82, 306.66, 0.00,-0.79, -0.15, 0.59,0.60, 0.00, 0.80,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,-0.01, 1.98, 0.40,0.09213, 0.36110, -0.11622, -0.92066
08/11/2023 16:36:24.956403,7,start,1.33, 1.62, -0.11,0.10598, 0.37387, -0.11771, -0.91386,1.38, 1.64, -0.06,0.10598, 0.37387, -0.11771, -0.91386,1.35, 1.63, -0.08,0.10598, 0.37387, -0.11771, -0.91386,1.35, 1.62, -0.13,0.06557, -0.43290, 0.03159, 0.89850,8.35, 308.55, 0.00,-0.77, -0.15, 0.62,0.62, 0.00, 0.78,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,1.40, 1.64, -0.09,0.06872, -0.44749, 0.03451, 0.89098,8.82, 306.66, 0.00,-0.79, -0.15, 0.59,0.60, 0.00, 0.80,-0.12, 0.99, 0.09,TrackingSpace,0.9980469,-0.02, 1.99, 0.38,0.10078, 0.36798, -0.11734, -0.91688
08/11/2023 16:36:24.970599,8,start,1.33, 1.62, -0.10,0.10796, 0.37843, -0.11704, -0.91183,1.37, 1.64, -0.06,0.10796, 0.37843, -0.11704, -0.91183,1.35, 1.63, -0.08,0.10796, 0.37843, -0.11704, -0.91183,1.34, 1.62, -0.12,0.06015, -0.43112, 0.02882, 0.89983,7.65, 308.80, 0.00,-0.77, -0.13, 0.62,0.63, 0.00, 0.78,-0.10, 0.99, 0.08,TrackingSpace,0.9980469,1.39, 1.64, -0.07,0.06317, -0.44377, 0.03138, 0.89336,8.09, 307.17, 0.00,-0.79, -0.14, 0.60,0.60, 0.00, 0.80,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,-0.03, 2.00, 0.36,0.10569, 0.37366, -0.11757, -0.91399
08/11/2023 16:36:24.984618,9,start,1.32, 1.62, -0.10,0.11076, 0.38327, -0.11606, -0.90960,1.37, 1.64, -0.05,0.11076, 0.38327, -0.11606, -0.90960,1.34, 1.63, -0.08,0.11076, 0.38327, -0.11606, -0.90960,1.34, 1.62, -0.12,0.06015, -0.43112, 0.02882, 0.89983,7.65, 308.80, 0.00,-0.77, -0.13, 0.62,0.63, 0.00, 0.78,-0.10, 0.99, 0.08,TrackingSpace,0.9980469,1.39, 1.64, -0.07,0.06317, -0.44377, 0.03138, 0.89336,8.09, 307.17, 0.00,-0.79, -0.14, 0.60,0.60, 0.00, 0.80,-0.11, 0.99, 0.09,TrackingSpace,0.9980469,-0.04, 2.00, 0.35,0.10770, 0.37835, -0.11690, -0.91191
