Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/11/2023 19:46:37.710959,0,start,0.52, 1.26, 0.23,-0.07137, -0.94693, -0.25820, -0.17768,0.46, 1.27, 0.21,-0.07137, -0.94693, -0.25820, -0.17768,0.49, 1.27, 0.22,-0.07137, -0.94693, -0.25820, -0.17768,0.52, 1.26, 0.23,-0.14372, 0.85570, 0.36810, 0.33409,313.45, 137.35, 0.00,0.47, 0.73, -0.51,-0.74, 0.00, -0.68,-0.49, 0.69, 0.53,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14821, 0.85175, 0.35947, 0.35118,314.24, 135.19, 0.00,0.49, 0.72, -0.49,-0.71, 0.00, -0.70,-0.50, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.724828,1,start,0.52, 1.26, 0.23,-0.07122, -0.94687, -0.25844, -0.17768,0.46, 1.27, 0.21,-0.07122, -0.94687, -0.25844, -0.17768,0.49, 1.27, 0.22,-0.07122, -0.94687, -0.25844, -0.17768,0.52, 1.26, 0.23,-0.14372, 0.85570, 0.36810, 0.33409,313.45, 137.35, 0.00,0.47, 0.73, -0.51,-0.74, 0.00, -0.68,-0.49, 0.69, 0.53,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14821, 0.85175, 0.35947, 0.35118,314.24, 135.19, 0.00,0.49, 0.72, -0.49,-0.71, 0.00, -0.70,-0.50, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.739720,2,start,0.52, 1.26, 0.23,-0.07107, -0.94689, -0.25847, -0.17759,0.46, 1.27, 0.21,-0.07107, -0.94689, -0.25847, -0.17759,0.49, 1.27, 0.22,-0.07107, -0.94689, -0.25847, -0.17759,0.52, 1.26, 0.23,-0.14372, 0.85570, 0.36810, 0.33409,313.45, 137.35, 0.00,0.47, 0.73, -0.51,-0.74, 0.00, -0.68,-0.49, 0.69, 0.53,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14821, 0.85175, 0.35947, 0.35118,314.24, 135.19, 0.00,0.49, 0.72, -0.49,-0.71, 0.00, -0.70,-0.50, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.753390,3,start,0.52, 1.26, 0.23,-0.07101, -0.94685, -0.25864, -0.17758,0.46, 1.27, 0.21,-0.07101, -0.94685, -0.25864, -0.17758,0.49, 1.27, 0.22,-0.07101, -0.94685, -0.25864, -0.17758,0.52, 1.26, 0.23,-0.14339, 0.85595, 0.36906, 0.33256,313.35, 137.54, 0.00,0.46, 0.73, -0.51,-0.74, 0.00, -0.68,-0.49, 0.69, 0.54,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14833, 0.85164, 0.35964, 0.35125,314.21, 135.17, 0.00,0.49, 0.72, -0.49,-0.71, 0.00, -0.70,-0.51, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.767332,4,start,0.52, 1.26, 0.23,-0.07080, -0.94688, -0.25860, -0.17757,0.46, 1.27, 0.21,-0.07080, -0.94688, -0.25860, -0.17757,0.49, 1.27, 0.22,-0.07080, -0.94688, -0.25860, -0.17757,0.52, 1.26, 0.23,-0.14339, 0.85595, 0.36906, 0.33256,313.35, 137.54, 0.00,0.46, 0.73, -0.51,-0.74, 0.00, -0.68,-0.49, 0.69, 0.54,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14833, 0.85164, 0.35964, 0.35125,314.21, 135.17, 0.00,0.49, 0.72, -0.49,-0.71, 0.00, -0.70,-0.51, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.781563,5,start,0.52, 1.26, 0.23,-0.07099, -0.94681, -0.25877, -0.17763,0.46, 1.27, 0.21,-0.07099, -0.94681, -0.25877, -0.17763,0.49, 1.27, 0.22,-0.07099, -0.94681, -0.25877, -0.17763,0.52, 1.26, 0.23,-0.14225, 0.85705, 0.36844, 0.33089,313.47, 137.78, 0.00,0.46, 0.73, -0.51,-0.74, 0.00, -0.67,-0.49, 0.69, 0.54,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14741, 0.85255, 0.35865, 0.35041,314.37, 135.31, 0.00,0.49, 0.71, -0.50,-0.71, 0.00, -0.70,-0.50, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.795961,6,start,0.52, 1.26, 0.23,-0.07125, -0.94675, -0.25884, -0.17772,0.46, 1.27, 0.21,-0.07125, -0.94675, -0.25884, -0.17772,0.49, 1.27, 0.22,-0.07125, -0.94675, -0.25884, -0.17772,0.52, 1.26, 0.23,-0.14225, 0.85705, 0.36844, 0.33089,313.47, 137.78, 0.00,0.46, 0.73, -0.51,-0.74, 0.00, -0.67,-0.49, 0.69, 0.54,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.14741, 0.85255, 0.35865, 0.35041,314.37, 135.31, 0.00,0.49, 0.71, -0.50,-0.71, 0.00, -0.70,-0.50, 0.70, 0.51,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.810052,7,start,0.52, 1.26, 0.23,-0.07129, -0.94672, -0.25894, -0.17774,0.46, 1.27, 0.21,-0.07129, -0.94672, -0.25894, -0.17774,0.49, 1.27, 0.22,-0.07129, -0.94672, -0.25894, -0.17774,0.52, 1.26, 0.23,-0.09739, 0.90037, 0.33147, 0.26453,319.58, 147.25, 0.00,0.41, 0.65, -0.64,-0.84, 0.00, -0.54,-0.35, 0.76, 0.55,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.10354, 0.89585, 0.32262, 0.28751,320.39, 144.41, 0.00,0.45, 0.64, -0.63,-0.81, 0.00, -0.58,-0.37, 0.77, 0.52,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.824155,8,start,0.52, 1.26, 0.23,-0.07099, -0.94673, -0.25899, -0.17775,0.46, 1.27, 0.21,-0.07099, -0.94673, -0.25899, -0.17775,0.49, 1.27, 0.22,-0.07099, -0.94673, -0.25899, -0.17775,0.52, 1.26, 0.23,-0.09739, 0.90037, 0.33147, 0.26453,319.58, 147.25, 0.00,0.41, 0.65, -0.64,-0.84, 0.00, -0.54,-0.35, 0.76, 0.55,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.10354, 0.89585, 0.32262, 0.28751,320.39, 144.41, 0.00,0.45, 0.64, -0.63,-0.81, 0.00, -0.58,-0.37, 0.77, 0.52,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/11/2023 19:46:37.838487,9,start,0.52, 1.26, 0.23,-0.07083, -0.94675, -0.25903, -0.17762,0.46, 1.27, 0.21,-0.07083, -0.94675, -0.25903, -0.17762,0.49, 1.27, 0.22,-0.07083, -0.94675, -0.25903, -0.17762,0.52, 1.26, 0.23,-0.09739, 0.90037, 0.33147, 0.26453,319.58, 147.25, 0.00,0.41, 0.65, -0.64,-0.84, 0.00, -0.54,-0.35, 0.76, 0.55,TrackingSpace,0.9960938,0.46, 1.27, 0.21,-0.10354, 0.89585, 0.32262, 0.28751,320.39, 144.41, 0.00,0.45, 0.64, -0.63,-0.81, 0.00, -0.58,-0.37, 0.77, 0.52,TrackingSpace,0.9960938,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
