Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/12/2023 08:20:08.527182,0,start,1.24, 1.65, -1.25,0.01409, 0.79305, 0.05004, -0.60693,1.22, 1.64, -1.19,0.01409, 0.79305, 0.05004, -0.60693,1.23, 1.64, -1.22,0.01409, 0.79305, 0.05004, -0.60693,1.26, 1.64, -1.23,0.08917, 0.87708, 0.17910, -0.43669,336.92, 232.94, 0.00,-0.73, 0.39, -0.55,-0.60, 0.00, 0.80,0.31, 0.92, 0.24,TrackingSpace,0.9980469,1.24, 1.64, -1.17,0.08772, 0.88005, 0.17914, -0.43096,336.99, 232.18, 0.00,-0.73, 0.39, -0.56,-0.61, 0.00, 0.79,0.31, 0.92, 0.24,TrackingSpace,0.9980469,0.14, 2.20, -2.07,0.01276, 0.79416, 0.04878, -0.60561
08/12/2023 08:20:08.541297,1,start,1.23, 1.65, -1.25,0.01527, 0.79180, 0.05191, -0.60838,1.21, 1.64, -1.19,0.01527, 0.79180, 0.05191, -0.60838,1.22, 1.65, -1.22,0.01527, 0.79180, 0.05191, -0.60838,1.25, 1.64, -1.24,0.08981, 0.87432, 0.17733, -0.44279,337.07, 233.72, 0.00,-0.74, 0.39, -0.54,-0.59, 0.00, 0.81,0.31, 0.92, 0.23,TrackingSpace,0.9980469,1.23, 1.64, -1.18,0.08835, 0.87733, 0.17735, -0.43708,337.14, 232.96, 0.00,-0.74, 0.39, -0.56,-0.60, 0.00, 0.80,0.31, 0.92, 0.23,TrackingSpace,0.9980469,0.13, 2.20, -2.07,0.01407, 0.79304, 0.05012, -0.60694
08/12/2023 08:20:08.555427,2,start,1.22, 1.65, -1.26,0.01661, 0.79051, 0.05361, -0.60987,1.21, 1.64, -1.20,0.01661, 0.79051, 0.05361, -0.60987,1.22, 1.65, -1.23,0.01661, 0.79051, 0.05361, -0.60987,1.25, 1.64, -1.24,0.08981, 0.87432, 0.17733, -0.44279,337.07, 233.72, 0.00,-0.74, 0.39, -0.54,-0.59, 0.00, 0.81,0.31, 0.92, 0.23,TrackingSpace,0.9980469,1.23, 1.64, -1.18,0.08835, 0.87733, 0.17735, -0.43708,337.14, 232.96, 0.00,-0.74, 0.39, -0.56,-0.60, 0.00, 0.80,0.31, 0.92, 0.23,TrackingSpace,0.9980469,0.13, 2.21, -2.07,0.01527, 0.79179, 0.05196, -0.60839
08/12/2023 08:20:08.570375,3,start,1.22, 1.65, -1.26,0.01777, 0.78905, 0.05546, -0.61156,1.20, 1.64, -1.20,0.01777, 0.78905, 0.05546, -0.61156,1.21, 1.64, -1.23,0.01777, 0.78905, 0.05546, -0.61156,1.25, 1.64, -1.24,0.08981, 0.87432, 0.17733, -0.44279,337.07, 233.72, 0.00,-0.74, 0.39, -0.54,-0.59, 0.00, 0.81,0.31, 0.92, 0.23,TrackingSpace,0.9980469,1.23, 1.64, -1.18,0.08835, 0.87733, 0.17735, -0.43708,337.14, 232.96, 0.00,-0.74, 0.39, -0.56,-0.60, 0.00, 0.80,0.31, 0.92, 0.23,TrackingSpace,0.9980469,0.12, 2.22, -2.07,0.01660, 0.79049, 0.05365, -0.60989
08/12/2023 08:20:08.584128,4,start,1.21, 1.65, -1.26,0.01862, 0.78749, 0.05706, -0.61340,1.20, 1.64, -1.21,0.01862, 0.78749, 0.05706, -0.61340,1.20, 1.64, -1.23,0.01862, 0.78749, 0.05706, -0.61340,1.24, 1.65, -1.25,0.09167, 0.87089, 0.17784, -0.44891,336.92, 234.54, 0.00,-0.75, 0.39, -0.53,-0.58, 0.00, 0.81,0.32, 0.92, 0.23,TrackingSpace,0.9980469,1.22, 1.64, -1.19,0.09020, 0.87396, 0.17787, -0.44320,336.99, 233.78, 0.00,-0.74, 0.39, -0.54,-0.59, 0.00, 0.81,0.32, 0.92, 0.23,TrackingSpace,0.9980469,0.11, 2.22, -2.07,0.01779, 0.78905, 0.05551, -0.61156
08/12/2023 08:20:08.597705,5,start,1.21, 1.65, -1.27,0.01897, 0.78583, 0.05858, -0.61536,1.19, 1.64, -1.21,0.01897, 0.78583, 0.05858, -0.61536,1.20, 1.64, -1.24,0.01897, 0.78583, 0.05858, -0.61536,1.24, 1.65, -1.25,0.09167, 0.87089, 0.17784, -0.44891,336.92, 234.54, 0.00,-0.75, 0.39, -0.53,-0.58, 0.00, 0.81,0.32, 0.92, 0.23,TrackingSpace,0.9980469,1.22, 1.64, -1.19,0.09020, 0.87396, 0.17787, -0.44320,336.99, 233.78, 0.00,-0.74, 0.39, -0.54,-0.59, 0.00, 0.81,0.32, 0.92, 0.23,TrackingSpace,0.9980469,0.10, 2.23, -2.07,0.01858, 0.78747, 0.05705, -0.61342
08/12/2023 08:20:08.612040,6,start,1.20, 1.64, -1.27,0.01909, 0.78404, 0.05995, -0.61751,1.19, 1.64, -1.21,0.01909, 0.78404, 0.05995, -0.61751,1.19, 1.64, -1.24,0.01909, 0.78404, 0.05995, -0.61751,1.22, 1.65, -1.26,0.09368, 0.86816, 0.17949, -0.45311,336.64, 235.12, 0.00,-0.75, 0.40, -0.52,-0.57, 0.00, 0.82,0.33, 0.92, 0.23,TrackingSpace,0.9980469,1.21, 1.64, -1.20,0.09219, 0.87126, 0.17953, -0.44741,336.71, 234.36, 0.00,-0.75, 0.40, -0.54,-0.58, 0.00, 0.81,0.32, 0.92, 0.23,TrackingSpace,0.9980469,0.09, 2.23, -2.06,0.01898, 0.78582, 0.05857, -0.61538
08/12/2023 08:20:08.626039,7,start,1.19, 1.64, -1.28,0.01946, 0.78249, 0.06093, -0.61937,1.18, 1.64, -1.22,0.01946, 0.78249, 0.06093, -0.61937,1.19, 1.64, -1.25,0.01946, 0.78249, 0.06093, -0.61937,1.22, 1.65, -1.26,0.09368, 0.86816, 0.17949, -0.45311,336.64, 235.12, 0.00,-0.75, 0.40, -0.52,-0.57, 0.00, 0.82,0.33, 0.92, 0.23,TrackingSpace,0.9980469,1.21, 1.64, -1.20,0.09219, 0.87126, 0.17953, -0.44741,336.71, 234.36, 0.00,-0.75, 0.40, -0.54,-0.58, 0.00, 0.81,0.32, 0.92, 0.23,TrackingSpace,0.9980469,0.08, 2.23, -2.06,0.01905, 0.78405, 0.05991, -0.61751
08/12/2023 08:20:08.640047,8,start,1.19, 1.64, -1.28,0.01998, 0.78087, 0.06176, -0.62132,1.17, 1.64, -1.22,0.01998, 0.78087, 0.06176, -0.62132,1.18, 1.64, -1.25,0.01998, 0.78087, 0.06176, -0.62132,1.21, 1.64, -1.27,0.09380, 0.86525, 0.17653, -0.45976,336.94, 235.97, 0.00,-0.76, 0.39, -0.51,-0.56, 0.00, 0.83,0.32, 0.92, 0.22,TrackingSpace,0.9980469,1.19, 1.64, -1.21,0.09235, 0.86839, 0.17660, -0.45408,337.01, 235.21, 0.00,-0.76, 0.39, -0.53,-0.57, 0.00, 0.82,0.32, 0.92, 0.22,TrackingSpace,0.9980469,0.08, 2.23, -2.06,0.01946, 0.78249, 0.06090, -0.61937
08/12/2023 08:20:08.653951,9,start,1.18, 1.64, -1.28,0.02061, 0.77927, 0.06263, -0.62321,1.17, 1.64, -1.23,0.02061, 0.77927, 0.06263, -0.62321,1.18, 1.64, -1.26,0.02061, 0.77927, 0.06263, -0.62321,1.21, 1.64, -1.27,0.09380, 0.86525, 0.17653, -0.45976,336.94, 235.97, 0.00,-0.76, 0.39, -0.51,-0.56, 0.00, 0.83,0.32, 0.92, 0.22,TrackingSpace,0.9980469,1.19, 1.64, -1.21,0.09235, 0.86839, 0.17660, -0.45408,337.01, 235.21, 0.00,-0.76, 0.39, -0.53,-0.57, 0.00, 0.82,0.32, 0.92, 0.22,TrackingSpace,0.9980469,0.07, 2.24, -2.06,0.02003, 0.78090, 0.06175, -0.62128
