,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
2023-08-12 13:13:51,p30_incomplete,calibration,1,1.8603317895079419,1.8603317895079419,,1.9249943104843732,1.9249943104843732,,2.968505355527779,0.9441713985618735,,3.106238722707303,3.106238722707303,,2.618161733038699,0.8245115703297206,
2023-08-12 13:37:54,p30_incomplete,calibration,2,2.6616136151741907,2.6616136151741907,,2.7676014044215775,2.7676014044215775,,2.8748748949028338,0.7891159172067586,,2.99161107484826,2.99161107484826,,2.512253607786124,0.6858033091749054,
2023-08-12 13:24:09,p30_incomplete,screenStabilized_headConstrained,1,2.526545524852386,2.7548850272209893,2.4579594548693775,2.6284246734003904,2.915859369087251,2.542088249131146,,,0.6150330467749445,3.925167422590069,4.6872825355248935,3.6962517950764506,,,0.5336186721634814
2023-08-12 13:43:40,p30_incomplete,screenStabilized_headConstrained,2,4.427909684429766,6.826290368431924,3.7077880146303603,4.586673253584573,7.112013392682772,3.828431590820574,,,0.8665578472352222,5.173971665267889,8.329304041418114,4.2265727662349875,,,0.7507761247881867
2023-08-12 13:31:47,p30_incomplete,screenStabilized_walking,1,3.3580846987664374,3.905488797374229,3.1938508648990753,5.1869972084076155,5.143705616876297,5.1999856826800785,,,,18.064219340217118,17.760893021935672,18.155224219959397,,,
2023-08-12 13:50:44,p30_incomplete,screenStabilized_walking,2,3.2112767844598666,3.169494878829345,3.2238180936136485,5.641958639178875,4.229947197020162,6.065789763144045,,,,19.02479563942849,16.8535733615251,19.67651243926911,,,
2023-08-12 13:33:57,p30_incomplete,worldStabilized_bodyConstrained,1,2.4098649416839732,2.238342396611519,2.4615074126376006,2.953221373763704,2.86061757959618,2.981102774126974,,,,5.953066923991594,6.795766218000688,5.699344745399132,,,
2023-08-12 13:52:35,p30_incomplete,worldStabilized_bodyConstrained,2,2.3661932348077617,2.5442451416928975,2.3126095732146523,2.8168615543560116,3.223652754460359,2.6944401639492925,,,,6.113868759049038,6.621720668288092,5.961033749752366,,,
2023-08-12 13:39:10,p30_incomplete,worldStabilized_sphere,2,3.6756351168845605,3.1897267698179625,4.253323202273078,4.893281167544808,4.104386553451964,5.8311844201640675,,,,16.274889973199333,16.21977335233243,16.340417176783916,,,
2023-08-12 13:26:48,p30_incomplete,worldStabilized_sphere_VR,1,4.247479994784601,3.7489355933385364,4.8396675961741895,5.748518451730271,4.987693053265431,6.652252134199303,,,,16.26618711098374,16.20967927879853,16.333308991210302,,,
2023-08-12 13:46:05,p30_incomplete,worldStabilized_sphere_VR,2,5.291919431281943,4.402019854708301,6.346867304084347,6.896948998405824,5.42531936623701,8.641519499256043,,,,16.759385692476982,16.378443807740524,17.21098027858904,,,
2023-08-12 13:35:57,p30_incomplete,worldStabilized_walking,1,3.473559980024496,3.673514072145398,3.4133706595892104,4.9365844944956585,5.719315695261559,4.700970116425775,,,,17.43228969793915,17.341586267934805,17.459592854154675,,,
2023-08-12 13:54:24,p30_incomplete,worldStabilized_walking,2,6.6078287040652235,6.402342353238726,6.669645137405145,10.097133118682606,10.763892855338527,9.896551870103544,,,,20.31061269523173,21.925034469586812,19.824946393817854,,,
