Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/12/2023 13:54:24.619657,0,start,1.08, 1.43, -1.09,-0.11741, 0.07124, 0.05834, 0.98881,1.15, 1.43, -1.10,-0.11741, 0.07124, 0.05834, 0.98881,1.11, 1.43, -1.10,-0.11741, 0.07124, 0.05834, 0.98881,1.05, 1.43, -1.10,-0.17784, 0.03508, 0.00634, 0.98341,339.50, 4.09, 0.00,0.07, 0.35, 0.93,1.00, 0.00, -0.07,-0.02, 0.94, -0.35,TrackingSpace,0.9980469,1.12, 1.44, -1.11,-0.17405, 0.00846, 0.00150, 0.98470,339.95, 0.98, 0.00,0.02, 0.34, 0.94,1.00, 0.00, -0.02,-0.01, 0.94, -0.34,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.633709,1,start,1.09, 1.43, -1.09,-0.11856, 0.06664, 0.05671, 0.98908,1.15, 1.43, -1.10,-0.11856, 0.06664, 0.05671, 0.98908,1.12, 1.43, -1.10,-0.11856, 0.06664, 0.05671, 0.98908,1.05, 1.43, -1.10,-0.17784, 0.03508, 0.00634, 0.98341,339.50, 4.09, 0.00,0.07, 0.35, 0.93,1.00, 0.00, -0.07,-0.02, 0.94, -0.35,TrackingSpace,0.9980469,1.12, 1.44, -1.11,-0.17405, 0.00846, 0.00150, 0.98470,339.95, 0.98, 0.00,0.02, 0.34, 0.94,1.00, 0.00, -0.02,-0.01, 0.94, -0.34,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.647620,2,start,1.09, 1.42, -1.09,-0.11983, 0.06199, 0.05584, 0.98928,1.16, 1.43, -1.10,-0.11983, 0.06199, 0.05584, 0.98928,1.13, 1.43, -1.09,-0.11983, 0.06199, 0.05584, 0.98928,1.07, 1.43, -1.10,-0.17321, 0.03108, 0.00547, 0.98438,340.04, 3.62, 0.00,0.06, 0.34, 0.94,1.00, 0.00, -0.06,-0.02, 0.94, -0.34,TrackingSpace,0.9980469,1.13, 1.43, -1.11,-0.16943, 0.00296, 0.00051, 0.98554,340.49, 0.34, 0.00,0.01, 0.33, 0.94,1.00, 0.00, -0.01,0.00, 0.94, -0.33,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.661508,3,start,1.10, 1.42, -1.09,-0.12095, 0.05700, 0.05554, 0.98946,1.16, 1.43, -1.09,-0.12095, 0.05700, 0.05554, 0.98946,1.13, 1.43, -1.09,-0.12095, 0.05700, 0.05554, 0.98946,1.07, 1.43, -1.10,-0.17321, 0.03108, 0.00547, 0.98438,340.04, 3.62, 0.00,0.06, 0.34, 0.94,1.00, 0.00, -0.06,-0.02, 0.94, -0.34,TrackingSpace,0.9980469,1.13, 1.43, -1.11,-0.16943, 0.00296, 0.00051, 0.98554,340.49, 0.34, 0.00,0.01, 0.33, 0.94,1.00, 0.00, -0.01,0.00, 0.94, -0.33,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.675719,4,start,1.11, 1.42, -1.08,-0.12200, 0.05182, 0.05542, 0.98963,1.17, 1.43, -1.09,-0.12200, 0.05182, 0.05542, 0.98963,1.14, 1.43, -1.09,-0.12200, 0.05182, 0.05542, 0.98963,1.08, 1.43, -1.09,-0.17444, 0.02609, 0.00462, 0.98431,339.90, 3.04, 0.00,0.05, 0.34, 0.94,1.00, 0.00, -0.05,-0.02, 0.94, -0.34,TrackingSpace,0.9980469,1.15, 1.43, -1.10,-0.17110, -0.00031, -0.00005, 0.98525,340.30, 359.96, 0.00,0.00, 0.34, 0.94,1.00, 0.00, 0.00,0.00, 0.94, -0.34,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.689897,5,start,1.11, 1.42, -1.08,-0.12338, 0.04660, 0.05494, 0.98974,1.18, 1.43, -1.09,-0.12338, 0.04660, 0.05494, 0.98974,1.14, 1.42, -1.08,-0.12338, 0.04660, 0.05494, 0.98974,1.08, 1.43, -1.09,-0.17444, 0.02609, 0.00462, 0.98431,339.90, 3.04, 0.00,0.05, 0.34, 0.94,1.00, 0.00, -0.05,-0.02, 0.94, -0.34,TrackingSpace,0.9980469,1.15, 1.43, -1.10,-0.17110, -0.00031, -0.00005, 0.98525,340.30, 359.96, 0.00,0.00, 0.34, 0.94,1.00, 0.00, 0.00,0.00, 0.94, -0.34,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.703643,6,start,1.12, 1.42, -1.08,-0.12531, 0.04116, 0.05440, 0.98977,1.18, 1.43, -1.09,-0.12531, 0.04116, 0.05440, 0.98977,1.15, 1.42, -1.08,-0.12531, 0.04116, 0.05440, 0.98977,1.10, 1.42, -1.09,-0.21173, 0.00950, 0.00206, 0.97728,335.55, 1.11, 0.00,0.02, 0.41, 0.91,1.00, 0.00, -0.02,-0.01, 0.91, -0.41,TrackingSpace,0.9980469,1.16, 1.43, -1.09,-0.20811, -0.01742, -0.00371, 0.97794,335.97, 357.96, 0.00,-0.03, 0.41, 0.91,1.00, 0.00, 0.04,0.01, 0.91, -0.41,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.717767,7,start,1.12, 1.42, -1.08,-0.12767, 0.03574, 0.05363, 0.98972,1.19, 1.43, -1.08,-0.12767, 0.03574, 0.05363, 0.98972,1.16, 1.42, -1.08,-0.12767, 0.03574, 0.05363, 0.98972,1.10, 1.42, -1.09,-0.21173, 0.00950, 0.00206, 0.97728,335.55, 1.11, 0.00,0.02, 0.41, 0.91,1.00, 0.00, -0.02,-0.01, 0.91, -0.41,TrackingSpace,0.9980469,1.16, 1.43, -1.09,-0.20811, -0.01742, -0.00371, 0.97794,335.97, 357.96, 0.00,-0.03, 0.41, 0.91,1.00, 0.00, 0.04,0.01, 0.91, -0.41,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.732139,8,start,1.13, 1.42, -1.07,-0.13021, 0.03028, 0.05320, 0.98960,1.19, 1.43, -1.08,-0.13021, 0.03028, 0.05320, 0.98960,1.16, 1.42, -1.08,-0.13021, 0.03028, 0.05320, 0.98960,1.10, 1.42, -1.09,-0.21173, 0.00950, 0.00206, 0.97728,335.55, 1.11, 0.00,0.02, 0.41, 0.91,1.00, 0.00, -0.02,-0.01, 0.91, -0.41,TrackingSpace,0.9980469,1.16, 1.43, -1.09,-0.20811, -0.01742, -0.00371, 0.97794,335.97, 357.96, 0.00,-0.03, 0.41, 0.91,1.00, 0.00, 0.04,0.01, 0.91, -0.41,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/12/2023 13:54:24.745674,9,start,1.14, 1.42, -1.07,-0.13253, 0.02482, 0.05348, 0.98942,1.20, 1.43, -1.07,-0.13253, 0.02482, 0.05348, 0.98942,1.17, 1.42, -1.07,-0.13253, 0.02482, 0.05348, 0.98942,1.11, 1.42, -1.08,-0.25726, -0.04456, -0.01188, 0.96524,330.15, 354.71, 0.00,-0.08, 0.50, 0.86,1.00, 0.00, 0.09,0.05, 0.87, -0.50,TrackingSpace,0.9980469,1.18, 1.43, -1.09,-0.25327, -0.06602, -0.01733, 0.96498,330.59, 352.17, 0.00,-0.12, 0.49, 0.86,0.99, 0.00, 0.14,0.07, 0.87, -0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
