Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/04/2023 10:10:27.805164,0,start,-0.34, 1.19, 0.47,0.00571, -0.99762, -0.05086, -0.04616,-0.41, 1.19, 0.46,0.00571, -0.99762, -0.05086, -0.04616,-0.38, 1.19, 0.46,0.00571, -0.99762, -0.05086, -0.04616,-0.34, 1.18, 0.47,-0.04157, 0.95831, 0.19207, 0.20740,337.33, 155.58, 0.00,0.38, 0.39, -0.84,-0.91, 0.00, -0.41,-0.16, 0.92, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04332, 0.95631, 0.19043, 0.21755,337.48, 154.37, 0.00,0.40, 0.38, -0.83,-0.90, 0.00, -0.43,-0.17, 0.92, 0.35,TrackingSpace,0.9980469,0.29, 1.73, -0.76,0.00595, -0.99762, -0.05101, -0.04612
08/04/2023 10:10:27.819086,1,start,-0.34, 1.19, 0.47,0.00561, -0.99761, -0.05096, -0.04635,-0.41, 1.19, 0.46,0.00561, -0.99761, -0.05096, -0.04635,-0.38, 1.19, 0.46,0.00561, -0.99761, -0.05096, -0.04635,-0.34, 1.18, 0.47,-0.04148, 0.95840, 0.19160, 0.20747,337.39, 155.57, 0.00,0.38, 0.38, -0.84,-0.91, 0.00, -0.41,-0.16, 0.92, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04326, 0.95635, 0.18991, 0.21785,337.54, 154.34, 0.00,0.40, 0.38, -0.83,-0.90, 0.00, -0.43,-0.17, 0.92, 0.34,TrackingSpace,0.9980469,0.29, 1.73, -0.76,0.00577, -0.99762, -0.05092, -0.04624
08/04/2023 10:10:27.833404,2,start,-0.34, 1.19, 0.47,0.00550, -0.99760, -0.05091, -0.04653,-0.41, 1.19, 0.46,0.00550, -0.99760, -0.05091, -0.04653,-0.38, 1.19, 0.46,0.00550, -0.99760, -0.05091, -0.04653,-0.34, 1.18, 0.47,-0.04148, 0.95840, 0.19160, 0.20747,337.39, 155.57, 0.00,0.38, 0.38, -0.84,-0.91, 0.00, -0.41,-0.16, 0.92, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04326, 0.95635, 0.18991, 0.21785,337.54, 154.34, 0.00,0.40, 0.38, -0.83,-0.90, 0.00, -0.43,-0.17, 0.92, 0.34,TrackingSpace,0.9980469,0.29, 1.73, -0.76,0.00564, -0.99761, -0.05097, -0.04636
08/04/2023 10:10:27.847529,3,start,-0.34, 1.19, 0.47,0.00512, -0.99759, -0.05097, -0.04680,-0.41, 1.19, 0.46,0.00512, -0.99759, -0.05097, -0.04680,-0.38, 1.19, 0.46,0.00512, -0.99759, -0.05097, -0.04680,-0.34, 1.18, 0.47,-0.04097, 0.95886, 0.18921, 0.20764,337.67, 155.56, 0.00,0.38, 0.38, -0.84,-0.91, 0.00, -0.41,-0.16, 0.93, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04272, 0.95681, 0.18754, 0.21798,337.82, 154.33, 0.00,0.40, 0.38, -0.83,-0.90, 0.00, -0.43,-0.16, 0.93, 0.34,TrackingSpace,0.9980469,0.29, 1.73, -0.76,0.00548, -0.99760, -0.05093, -0.04654
08/04/2023 10:10:27.861549,4,start,-0.34, 1.19, 0.47,0.00474, -0.99757, -0.05107, -0.04719,-0.41, 1.19, 0.46,0.00474, -0.99757, -0.05107, -0.04719,-0.38, 1.19, 0.46,0.00474, -0.99757, -0.05107, -0.04719,-0.34, 1.18, 0.47,-0.04097, 0.95886, 0.18921, 0.20764,337.67, 155.56, 0.00,0.38, 0.38, -0.84,-0.91, 0.00, -0.41,-0.16, 0.93, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04272, 0.95681, 0.18754, 0.21798,337.82, 154.33, 0.00,0.40, 0.38, -0.83,-0.90, 0.00, -0.43,-0.16, 0.93, 0.34,TrackingSpace,0.9980469,0.30, 1.73, -0.76,0.00507, -0.99759, -0.05095, -0.04681
08/04/2023 10:10:27.875989,5,start,-0.34, 1.19, 0.47,0.00466, -0.99755, -0.05122, -0.04741,-0.41, 1.19, 0.46,0.00466, -0.99755, -0.05122, -0.04741,-0.38, 1.19, 0.46,0.00466, -0.99755, -0.05122, -0.04741,-0.34, 1.18, 0.47,-0.04284, 0.95689, 0.19105, 0.21455,337.42, 154.72, 0.00,0.39, 0.38, -0.83,-0.90, 0.00, -0.43,-0.16, 0.92, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04492, 0.95436, 0.18891, 0.22694,337.61, 153.25, 0.00,0.42, 0.38, -0.83,-0.89, 0.00, -0.45,-0.17, 0.92, 0.34,TrackingSpace,0.9980469,0.30, 1.73, -0.76,0.00478, -0.99757, -0.05109, -0.04718
08/04/2023 10:10:27.890173,6,start,-0.34, 1.19, 0.47,0.00452, -0.99753, -0.05138, -0.04772,-0.41, 1.19, 0.46,0.00452, -0.99753, -0.05138, -0.04772,-0.38, 1.19, 0.46,0.00452, -0.99753, -0.05138, -0.04772,-0.34, 1.18, 0.47,-0.04284, 0.95689, 0.19105, 0.21455,337.42, 154.72, 0.00,0.39, 0.38, -0.83,-0.90, 0.00, -0.43,-0.16, 0.92, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04492, 0.95436, 0.18891, 0.22694,337.61, 153.25, 0.00,0.42, 0.38, -0.83,-0.89, 0.00, -0.45,-0.17, 0.92, 0.34,TrackingSpace,0.9980469,0.30, 1.73, -0.76,0.00470, -0.99755, -0.05121, -0.04743
08/04/2023 10:10:27.904242,7,start,-0.34, 1.19, 0.47,0.00413, -0.99751, -0.05149, -0.04801,-0.41, 1.19, 0.46,0.00413, -0.99751, -0.05149, -0.04801,-0.38, 1.19, 0.46,0.00413, -0.99751, -0.05149, -0.04801,-0.34, 1.18, 0.47,-0.04284, 0.95689, 0.19105, 0.21455,337.42, 154.72, 0.00,0.39, 0.38, -0.83,-0.90, 0.00, -0.43,-0.16, 0.92, 0.35,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04492, 0.95436, 0.18891, 0.22694,337.61, 153.25, 0.00,0.42, 0.38, -0.83,-0.89, 0.00, -0.45,-0.17, 0.92, 0.34,TrackingSpace,0.9980469,0.30, 1.73, -0.76,0.00453, -0.99753, -0.05137, -0.04768
08/04/2023 10:10:27.918640,8,start,-0.34, 1.19, 0.47,0.00423, -0.99749, -0.05168, -0.04815,-0.41, 1.19, 0.46,0.00423, -0.99749, -0.05168, -0.04815,-0.38, 1.19, 0.46,0.00423, -0.99749, -0.05168, -0.04815,-0.34, 1.18, 0.47,-0.04343, 0.95595, 0.18685, 0.22219,337.88, 153.83, 0.00,0.41, 0.38, -0.83,-0.90, 0.00, -0.44,-0.17, 0.93, 0.34,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04471, 0.95429, 0.18547, 0.23006,338.00, 152.89, 0.00,0.42, 0.37, -0.83,-0.89, 0.00, -0.46,-0.17, 0.93, 0.33,TrackingSpace,0.9980469,0.30, 1.73, -0.76,0.00412, -0.99751, -0.05150, -0.04798
08/04/2023 10:10:27.933034,9,start,-0.34, 1.19, 0.47,0.00453, -0.99749, -0.05169, -0.04820,-0.41, 1.19, 0.46,0.00453, -0.99749, -0.05169, -0.04820,-0.38, 1.19, 0.46,0.00453, -0.99749, -0.05169, -0.04820,-0.34, 1.18, 0.47,-0.04343, 0.95595, 0.18685, 0.22219,337.88, 153.83, 0.00,0.41, 0.38, -0.83,-0.90, 0.00, -0.44,-0.17, 0.93, 0.34,TrackingSpace,0.9980469,-0.41, 1.18, 0.46,-0.04471, 0.95429, 0.18547, 0.23006,338.00, 152.89, 0.00,0.42, 0.37, -0.83,-0.89, 0.00, -0.46,-0.17, 0.93, 0.33,TrackingSpace,0.9980469,0.30, 1.73, -0.76,0.00428, -0.99749, -0.05169, -0.04813
