Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/13/2023 14:30:36.401763,0,start,0.51, 1.20, -0.05,0.00727, 0.99974, 0.01779, -0.01215,0.45, 1.20, -0.04,0.00727, 0.99974, 0.01779, -0.01215,0.48, 1.20, -0.05,0.00727, 0.99974, 0.01779, -0.01215,0.51, 1.20, -0.05,0.00069, 0.99889, 0.01560, -0.04435,358.21, 185.08, 0.00,-0.09, 0.03, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.03,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00042, 0.99952, 0.01538, -0.02704,358.24, 183.10, 0.00,-0.05, 0.03, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.03,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00729, 0.99974, 0.01779, -0.01215
08/13/2023 14:30:36.415592,1,start,0.51, 1.20, -0.05,0.00725, 0.99974, 0.01779, -0.01213,0.45, 1.20, -0.04,0.00725, 0.99974, 0.01779, -0.01213,0.48, 1.20, -0.05,0.00725, 0.99974, 0.01779, -0.01213,0.51, 1.20, -0.05,0.00077, 0.99887, 0.01726, -0.04432,358.02, 185.08, 0.00,-0.09, 0.03, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.03,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00045, 0.99951, 0.01704, -0.02622,358.05, 183.01, 0.00,-0.05, 0.03, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.03,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00727, 0.99974, 0.01780, -0.01217
08/13/2023 14:30:36.430095,2,start,0.51, 1.20, -0.05,0.00728, 0.99974, 0.01781, -0.01211,0.45, 1.20, -0.04,0.00728, 0.99974, 0.01781, -0.01211,0.48, 1.20, -0.05,0.00728, 0.99974, 0.01781, -0.01211,0.51, 1.20, -0.05,0.00077, 0.99887, 0.01726, -0.04432,358.02, 185.08, 0.00,-0.09, 0.03, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.03,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00045, 0.99951, 0.01704, -0.02622,358.05, 183.01, 0.00,-0.05, 0.03, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.03,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00728, 0.99974, 0.01779, -0.01213
08/13/2023 14:30:36.444172,3,start,0.51, 1.20, -0.05,0.00727, 0.99974, 0.01781, -0.01209,0.45, 1.20, -0.04,0.00727, 0.99974, 0.01781, -0.01209,0.48, 1.20, -0.05,0.00727, 0.99974, 0.01781, -0.01209,0.51, 1.20, -0.05,0.00082, 0.99885, 0.01851, -0.04426,357.88, 185.07, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00048, 0.99949, 0.01829, -0.02616,357.90, 183.00, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00725, 0.99974, 0.01781, -0.01212
08/13/2023 14:30:36.458200,4,start,0.51, 1.20, -0.05,0.00728, 0.99974, 0.01780, -0.01212,0.45, 1.20, -0.04,0.00728, 0.99974, 0.01780, -0.01212,0.48, 1.20, -0.05,0.00728, 0.99974, 0.01780, -0.01212,0.51, 1.20, -0.05,0.00082, 0.99885, 0.01851, -0.04426,357.88, 185.07, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00048, 0.99949, 0.01829, -0.02616,357.90, 183.00, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00726, 0.99974, 0.01780, -0.01211
08/13/2023 14:30:36.472714,5,start,0.51, 1.20, -0.05,0.00726, 0.99974, 0.01778, -0.01211,0.45, 1.20, -0.04,0.00726, 0.99974, 0.01778, -0.01211,0.48, 1.20, -0.05,0.00726, 0.99974, 0.01778, -0.01211,0.51, 1.20, -0.05,0.00082, 0.99884, 0.01853, -0.04436,357.87, 185.09, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00048, 0.99949, 0.01831, -0.02613,357.90, 182.99, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00726, 0.99974, 0.01780, -0.01212
08/13/2023 14:30:36.487018,6,start,0.51, 1.20, -0.05,0.00729, 0.99974, 0.01776, -0.01215,0.45, 1.20, -0.04,0.00729, 0.99974, 0.01776, -0.01215,0.48, 1.20, -0.05,0.00729, 0.99974, 0.01776, -0.01215,0.51, 1.20, -0.05,0.00082, 0.99884, 0.01853, -0.04436,357.87, 185.09, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00048, 0.99949, 0.01831, -0.02613,357.90, 182.99, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00727, 0.99974, 0.01778, -0.01211
08/13/2023 14:30:36.501494,7,start,0.51, 1.20, -0.05,0.00726, 0.99974, 0.01775, -0.01210,0.45, 1.20, -0.04,0.00726, 0.99974, 0.01775, -0.01210,0.48, 1.20, -0.05,0.00726, 0.99974, 0.01775, -0.01210,0.51, 1.20, -0.05,0.00082, 0.99884, 0.01853, -0.04436,357.87, 185.09, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00048, 0.99949, 0.01831, -0.02613,357.90, 182.99, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00727, 0.99974, 0.01773, -0.01214
08/13/2023 14:30:36.515258,8,start,0.51, 1.20, -0.05,0.00728, 0.99974, 0.01774, -0.01215,0.45, 1.20, -0.04,0.00728, 0.99974, 0.01774, -0.01215,0.48, 1.20, -0.05,0.00728, 0.99974, 0.01774, -0.01215,0.51, 1.20, -0.05,0.00080, 0.99889, 0.01850, -0.04324,357.88, 184.96, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00047, 0.99950, 0.01829, -0.02566,357.90, 182.94, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00728, 0.99974, 0.01770, -0.01214
08/13/2023 14:30:36.529716,9,start,0.51, 1.20, -0.05,0.00728, 0.99974, 0.01773, -0.01216,0.45, 1.20, -0.04,0.00728, 0.99974, 0.01773, -0.01216,0.48, 1.20, -0.05,0.00728, 0.99974, 0.01773, -0.01216,0.51, 1.20, -0.05,0.00080, 0.99889, 0.01850, -0.04324,357.88, 184.96, 0.00,-0.09, 0.04, -1.00,-1.00, 0.00, 0.09,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.20, -0.04,0.00047, 0.99950, 0.01829, -0.02566,357.90, 182.94, 0.00,-0.05, 0.04, -1.00,-1.00, 0.00, 0.05,0.00, 1.00, 0.04,TrackingSpace,0.9980469,0.45, 1.25, -1.29,0.00729, 0.99974, 0.01774, -0.01211
