Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/13/2023 14:31:31.191105,0,start,0.51, 1.20, -0.04,0.00841, 0.99893, 0.04448, -0.00917,0.45, 1.20, -0.04,0.00841, 0.99893, 0.04448, -0.00917,0.48, 1.20, -0.04,0.00841, 0.99893, 0.04448, -0.00917,0.51, 1.20, -0.04,-0.00973, 0.99024, 0.10183, 0.09465,348.26, 169.08, 0.00,0.19, 0.20, -0.96,-0.98, 0.00, -0.19,-0.04, 0.98, 0.20,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.01141, 0.98852, 0.10056, 0.11217,348.38, 167.05, 0.00,0.22, 0.20, -0.95,-0.97, 0.00, -0.22,-0.05, 0.98, 0.20,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00843, 0.99893, 0.04449, -0.00919
08/13/2023 14:31:31.205000,1,start,0.51, 1.20, -0.04,0.00820, 0.99893, 0.04462, -0.00920,0.45, 1.20, -0.04,0.00820, 0.99893, 0.04462, -0.00920,0.48, 1.20, -0.04,0.00820, 0.99893, 0.04462, -0.00920,0.51, 1.20, -0.04,-0.01593, 0.98407, 0.12608, 0.12433,345.40, 165.60, 0.00,0.24, 0.25, -0.94,-0.97, 0.00, -0.25,-0.06, 0.97, 0.24,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.01772, 0.98216, 0.12447, 0.13981,345.56, 163.80, 0.00,0.27, 0.25, -0.93,-0.96, 0.00, -0.28,-0.07, 0.97, 0.24,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00842, 0.99893, 0.04448, -0.00917
08/13/2023 14:31:31.219342,2,start,0.51, 1.20, -0.04,0.00777, 0.99893, 0.04473, -0.00917,0.45, 1.20, -0.04,0.00777, 0.99893, 0.04473, -0.00917,0.48, 1.20, -0.04,0.00777, 0.99893, 0.04473, -0.00917,0.51, 1.20, -0.04,-0.01593, 0.98407, 0.12608, 0.12433,345.40, 165.60, 0.00,0.24, 0.25, -0.94,-0.97, 0.00, -0.25,-0.06, 0.97, 0.24,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.01772, 0.98216, 0.12447, 0.13981,345.56, 163.80, 0.00,0.27, 0.25, -0.93,-0.96, 0.00, -0.28,-0.07, 0.97, 0.24,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00815, 0.99893, 0.04463, -0.00919
08/13/2023 14:31:31.233689,3,start,0.51, 1.20, -0.04,0.00764, 0.99893, 0.04474, -0.00912,0.45, 1.20, -0.04,0.00764, 0.99893, 0.04474, -0.00912,0.48, 1.20, -0.04,0.00764, 0.99893, 0.04474, -0.00912,0.51, 1.20, -0.04,-0.01593, 0.98407, 0.12608, 0.12433,345.40, 165.60, 0.00,0.24, 0.25, -0.94,-0.97, 0.00, -0.25,-0.06, 0.97, 0.24,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.01772, 0.98216, 0.12447, 0.13981,345.56, 163.80, 0.00,0.27, 0.25, -0.93,-0.96, 0.00, -0.28,-0.07, 0.97, 0.24,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00775, 0.99893, 0.04474, -0.00919
08/13/2023 14:31:31.247790,4,start,0.51, 1.20, -0.04,0.00750, 0.99892, 0.04482, -0.00923,0.45, 1.20, -0.04,0.00750, 0.99892, 0.04482, -0.00923,0.48, 1.20, -0.04,0.00750, 0.99892, 0.04482, -0.00923,0.51, 1.20, -0.04,-0.02765, 0.97233, 0.16700, 0.16099,340.51, 161.20, 0.00,0.30, 0.33, -0.89,-0.95, 0.00, -0.32,-0.11, 0.94, 0.32,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.02859, 0.97141, 0.16599, 0.16730,340.61, 160.46, 0.00,0.32, 0.33, -0.89,-0.94, 0.00, -0.33,-0.11, 0.94, 0.31,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00770, 0.99893, 0.04474, -0.00914
08/13/2023 14:31:31.261533,5,start,0.51, 1.20, -0.04,0.00735, 0.99892, 0.04486, -0.00924,0.45, 1.20, -0.04,0.00735, 0.99892, 0.04486, -0.00924,0.48, 1.20, -0.04,0.00735, 0.99892, 0.04486, -0.00924,0.51, 1.20, -0.04,-0.02765, 0.97233, 0.16700, 0.16099,340.51, 161.20, 0.00,0.30, 0.33, -0.89,-0.95, 0.00, -0.32,-0.11, 0.94, 0.32,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.02859, 0.97141, 0.16599, 0.16730,340.61, 160.46, 0.00,0.32, 0.33, -0.89,-0.94, 0.00, -0.33,-0.11, 0.94, 0.31,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00746, 0.99892, 0.04483, -0.00918
08/13/2023 14:31:31.275979,6,start,0.51, 1.20, -0.04,0.00735, 0.99892, 0.04489, -0.00920,0.45, 1.20, -0.04,0.00735, 0.99892, 0.04489, -0.00920,0.48, 1.20, -0.04,0.00735, 0.99892, 0.04489, -0.00920,0.51, 1.20, -0.04,-0.02870, 0.97130, 0.16677, 0.16714,340.51, 160.47, 0.00,0.32, 0.33, -0.89,-0.94, 0.00, -0.33,-0.11, 0.94, 0.31,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.02962, 0.97035, 0.16575, 0.17341,340.61, 159.74, 0.00,0.33, 0.33, -0.88,-0.94, 0.00, -0.35,-0.11, 0.94, 0.31,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00739, 0.99892, 0.04486, -0.00924
08/13/2023 14:31:31.289710,7,start,0.51, 1.20, -0.04,0.00741, 0.99892, 0.04489, -0.00922,0.45, 1.20, -0.04,0.00741, 0.99892, 0.04489, -0.00922,0.48, 1.20, -0.04,0.00741, 0.99892, 0.04489, -0.00922,0.51, 1.20, -0.04,-0.02870, 0.97130, 0.16677, 0.16714,340.51, 160.47, 0.00,0.32, 0.33, -0.89,-0.94, 0.00, -0.33,-0.11, 0.94, 0.31,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.02962, 0.97035, 0.16575, 0.17341,340.61, 159.74, 0.00,0.33, 0.33, -0.88,-0.94, 0.00, -0.35,-0.11, 0.94, 0.31,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00737, 0.99892, 0.04488, -0.00923
08/13/2023 14:31:31.303630,8,start,0.51, 1.20, -0.04,0.00754, 0.99892, 0.04486, -0.00923,0.45, 1.20, -0.04,0.00754, 0.99892, 0.04486, -0.00923,0.48, 1.20, -0.04,0.00754, 0.99892, 0.04486, -0.00923,0.51, 1.20, -0.04,-0.02818, 0.97176, 0.16009, 0.17104,341.29, 160.04, 0.00,0.32, 0.32, -0.89,-0.94, 0.00, -0.34,-0.11, 0.95, 0.30,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.02905, 0.97079, 0.15909, 0.17726,341.39, 159.30, 0.00,0.33, 0.32, -0.89,-0.94, 0.00, -0.35,-0.11, 0.95, 0.30,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00746, 0.99892, 0.04488, -0.00922
08/13/2023 14:31:31.318014,9,start,0.51, 1.20, -0.04,0.00753, 0.99892, 0.04494, -0.00924,0.45, 1.20, -0.04,0.00753, 0.99892, 0.04494, -0.00924,0.48, 1.20, -0.04,0.00753, 0.99892, 0.04494, -0.00924,0.51, 1.20, -0.04,-0.02818, 0.97176, 0.16009, 0.17104,341.29, 160.04, 0.00,0.32, 0.32, -0.89,-0.94, 0.00, -0.34,-0.11, 0.95, 0.30,TrackingSpace,0.9980469,0.45, 1.20, -0.04,-0.02905, 0.97079, 0.15909, 0.17726,341.39, 159.30, 0.00,0.33, 0.32, -0.89,-0.94, 0.00, -0.35,-0.11, 0.95, 0.30,TrackingSpace,0.9980469,1.02, 1.72, -1.34,0.00753, 0.99892, 0.04488, -0.00923
