Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/13/2023 14:35:31.302553,0,start,0.50, 1.52, 0.33,0.00784, 0.74554, 0.00665, 0.66638,0.49, 1.52, 0.26,0.00784, 0.74554, 0.00665, 0.66638,0.50, 1.52, 0.30,0.00784, 0.74554, 0.00665, 0.66638,0.50, 1.52, 0.33,0.01317, 0.78201, -0.01653, 0.62291,2.42, 102.92, 0.00,0.97, -0.04, -0.22,-0.22, 0.00, -0.97,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.49, 1.52, 0.27,0.01386, 0.76879, -0.01668, 0.63913,2.49, 100.52, 0.00,0.98, -0.04, -0.18,-0.18, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00800, 0.74566, 0.00642, 0.66624
08/13/2023 14:35:31.316108,1,start,0.50, 1.52, 0.33,0.00797, 0.74542, 0.00708, 0.66651,0.49, 1.52, 0.26,0.00797, 0.74542, 0.00708, 0.66651,0.50, 1.52, 0.29,0.00797, 0.74542, 0.00708, 0.66651,0.50, 1.52, 0.33,0.01334, 0.78177, -0.01674, 0.62320,2.45, 102.88, 0.00,0.97, -0.04, -0.22,-0.22, 0.00, -0.97,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.49, 1.52, 0.27,0.01405, 0.76808, -0.01686, 0.63998,2.51, 100.40, 0.00,0.98, -0.04, -0.18,-0.18, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00787, 0.74554, 0.00670, 0.66638
08/13/2023 14:35:31.330499,2,start,0.50, 1.52, 0.33,0.00822, 0.74529, 0.00748, 0.66665,0.50, 1.52, 0.26,0.00822, 0.74529, 0.00748, 0.66665,0.50, 1.52, 0.29,0.00822, 0.74529, 0.00748, 0.66665,0.50, 1.52, 0.33,0.01334, 0.78177, -0.01674, 0.62320,2.45, 102.88, 0.00,0.97, -0.04, -0.22,-0.22, 0.00, -0.97,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.49, 1.52, 0.27,0.01405, 0.76808, -0.01686, 0.63998,2.51, 100.40, 0.00,0.98, -0.04, -0.18,-0.18, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00798, 0.74542, 0.00708, 0.66651
08/13/2023 14:35:31.344284,3,start,0.50, 1.52, 0.32,0.00851, 0.74507, 0.00789, 0.66689,0.50, 1.52, 0.26,0.00851, 0.74507, 0.00789, 0.66689,0.50, 1.52, 0.29,0.00851, 0.74507, 0.00789, 0.66689,0.50, 1.52, 0.33,0.01426, 0.78091, -0.01784, 0.62423,2.62, 102.72, 0.00,0.97, -0.05, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.49, 1.52, 0.26,0.01496, 0.76782, -0.01795, 0.64024,2.68, 100.35, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.05, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00826, 0.74525, 0.00749, 0.66669
08/13/2023 14:35:31.358543,4,start,0.50, 1.52, 0.32,0.00876, 0.74483, 0.00819, 0.66715,0.50, 1.52, 0.26,0.00876, 0.74483, 0.00819, 0.66715,0.50, 1.52, 0.29,0.00876, 0.74483, 0.00819, 0.66715,0.50, 1.52, 0.33,0.01426, 0.78091, -0.01784, 0.62423,2.62, 102.72, 0.00,0.97, -0.05, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.49, 1.52, 0.26,0.01496, 0.76782, -0.01795, 0.64024,2.68, 100.35, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.05, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00851, 0.74507, 0.00789, 0.66689
08/13/2023 14:35:31.372736,5,start,0.51, 1.52, 0.32,0.00873, 0.74460, 0.00838, 0.66740,0.50, 1.52, 0.26,0.00873, 0.74460, 0.00838, 0.66740,0.50, 1.52, 0.29,0.00873, 0.74460, 0.00838, 0.66740,0.50, 1.52, 0.33,0.01426, 0.78091, -0.01784, 0.62423,2.62, 102.72, 0.00,0.97, -0.05, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.49, 1.52, 0.26,0.01496, 0.76782, -0.01795, 0.64024,2.68, 100.35, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.05, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00874, 0.74483, 0.00819, 0.66715
08/13/2023 14:35:31.386461,6,start,0.51, 1.52, 0.32,0.00840, 0.74428, 0.00855, 0.66776,0.50, 1.52, 0.26,0.00840, 0.74428, 0.00855, 0.66776,0.50, 1.52, 0.29,0.00840, 0.74428, 0.00855, 0.66776,0.50, 1.52, 0.33,0.01427, 0.78059, -0.01783, 0.62462,2.62, 102.67, 0.00,0.97, -0.05, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.50, 1.52, 0.26,0.01495, 0.76818, -0.01795, 0.63981,2.68, 100.42, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.05, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00866, 0.74459, 0.00837, 0.66741
08/13/2023 14:35:31.401273,7,start,0.51, 1.52, 0.32,0.00796, 0.74394, 0.00864, 0.66814,0.50, 1.52, 0.26,0.00796, 0.74394, 0.00864, 0.66814,0.50, 1.52, 0.29,0.00796, 0.74394, 0.00864, 0.66814,0.50, 1.52, 0.33,0.01427, 0.78059, -0.01783, 0.62462,2.62, 102.67, 0.00,0.97, -0.05, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.50, 1.52, 0.26,0.01495, 0.76818, -0.01795, 0.63981,2.68, 100.42, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.05, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00837, 0.74428, 0.00855, 0.66776
08/13/2023 14:35:31.414971,8,start,0.51, 1.52, 0.32,0.00743, 0.74357, 0.00869, 0.66856,0.50, 1.52, 0.26,0.00743, 0.74357, 0.00869, 0.66856,0.51, 1.52, 0.29,0.00743, 0.74357, 0.00869, 0.66856,0.50, 1.52, 0.32,0.01384, 0.78013, -0.01727, 0.62523,2.54, 102.58, 0.00,0.98, -0.04, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.50, 1.52, 0.26,0.01453, 0.76770, -0.01741, 0.64041,2.60, 100.33, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00793, 0.74394, 0.00865, 0.66815
08/13/2023 14:35:31.429729,9,start,0.51, 1.52, 0.32,0.00706, 0.74315, 0.00880, 0.66903,0.50, 1.52, 0.26,0.00706, 0.74315, 0.00880, 0.66903,0.51, 1.52, 0.29,0.00706, 0.74315, 0.00880, 0.66903,0.50, 1.52, 0.32,0.01384, 0.78013, -0.01727, 0.62523,2.54, 102.58, 0.00,0.98, -0.04, -0.22,-0.22, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,0.50, 1.52, 0.26,0.01453, 0.76770, -0.01741, 0.64041,2.60, 100.33, 0.00,0.98, -0.05, -0.18,-0.18, 0.00, -0.98,0.04, 1.00, -0.01,TrackingSpace,0.9980469,1.88, 1.92, 0.71,0.00741, 0.74355, 0.00869, 0.66859
