Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/13/2023 14:33:34.785906,0,start,0.52, 1.22, 0.30,-0.08521, 0.89580, 0.31155, 0.30532,0.47, 1.22, 0.26,-0.08521, 0.89580, 0.31155, 0.30532,0.49, 1.22, 0.28,-0.08521, 0.89580, 0.31155, 0.30532,0.52, 1.22, 0.30,-0.12619, 0.87257, 0.35765, 0.30787,315.42, 141.13, 0.00,0.45, 0.70, -0.55,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13524, 0.86453, 0.35298, 0.33123,315.58, 138.07, 0.00,0.48, 0.70, -0.53,-0.74, 0.00, -0.67,-0.47, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.800153,1,start,0.52, 1.22, 0.30,-0.08586, 0.89600, 0.31107, 0.30504,0.47, 1.22, 0.26,-0.08586, 0.89600, 0.31107, 0.30504,0.49, 1.22, 0.28,-0.08586, 0.89600, 0.31107, 0.30504,0.52, 1.22, 0.30,-0.12619, 0.87257, 0.35765, 0.30787,315.42, 141.13, 0.00,0.45, 0.70, -0.55,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13524, 0.86453, 0.35298, 0.33123,315.58, 138.07, 0.00,0.48, 0.70, -0.53,-0.74, 0.00, -0.67,-0.47, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.813401,2,start,0.52, 1.22, 0.30,-0.08658, 0.89629, 0.31034, 0.30474,0.47, 1.22, 0.26,-0.08658, 0.89629, 0.31034, 0.30474,0.49, 1.22, 0.28,-0.08658, 0.89629, 0.31034, 0.30474,0.52, 1.22, 0.30,-0.12544, 0.87327, 0.35732, 0.30657,315.49, 141.31, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13417, 0.86554, 0.35291, 0.32907,315.64, 138.37, 0.00,0.47, 0.70, -0.53,-0.75, 0.00, -0.66,-0.46, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.828120,3,start,0.52, 1.22, 0.30,-0.08700, 0.89660, 0.30968, 0.30438,0.47, 1.22, 0.26,-0.08700, 0.89660, 0.30968, 0.30438,0.49, 1.22, 0.28,-0.08700, 0.89660, 0.30968, 0.30438,0.52, 1.22, 0.30,-0.12544, 0.87327, 0.35732, 0.30657,315.49, 141.31, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13417, 0.86554, 0.35291, 0.32907,315.64, 138.37, 0.00,0.47, 0.70, -0.53,-0.75, 0.00, -0.66,-0.46, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.842088,4,start,0.52, 1.22, 0.30,-0.08723, 0.89692, 0.30906, 0.30400,0.47, 1.22, 0.26,-0.08723, 0.89692, 0.30906, 0.30400,0.49, 1.22, 0.28,-0.08723, 0.89692, 0.30906, 0.30400,0.52, 1.22, 0.30,-0.12491, 0.87369, 0.35781, 0.30501,315.46, 141.51, 0.00,0.44, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13418, 0.86553, 0.35321, 0.32879,315.60, 138.40, 0.00,0.47, 0.70, -0.53,-0.75, 0.00, -0.66,-0.46, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.855946,5,start,0.52, 1.22, 0.30,-0.08726, 0.89720, 0.30858, 0.30363,0.47, 1.22, 0.26,-0.08726, 0.89720, 0.30858, 0.30363,0.49, 1.22, 0.28,-0.08726, 0.89720, 0.30858, 0.30363,0.52, 1.22, 0.30,-0.12491, 0.87369, 0.35781, 0.30501,315.46, 141.51, 0.00,0.44, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13418, 0.86553, 0.35321, 0.32879,315.60, 138.40, 0.00,0.47, 0.70, -0.53,-0.75, 0.00, -0.66,-0.46, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.870630,6,start,0.52, 1.22, 0.30,-0.08709, 0.89744, 0.30812, 0.30345,0.47, 1.22, 0.26,-0.08709, 0.89744, 0.30812, 0.30345,0.49, 1.22, 0.28,-0.08709, 0.89744, 0.30812, 0.30345,0.52, 1.22, 0.30,-0.12491, 0.87369, 0.35781, 0.30501,315.46, 141.51, 0.00,0.44, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13418, 0.86553, 0.35321, 0.32879,315.60, 138.40, 0.00,0.47, 0.70, -0.53,-0.75, 0.00, -0.66,-0.46, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.884843,7,start,0.52, 1.22, 0.30,-0.08699, 0.89762, 0.30776, 0.30331,0.47, 1.22, 0.26,-0.08699, 0.89762, 0.30776, 0.30331,0.49, 1.22, 0.28,-0.08699, 0.89762, 0.30776, 0.30331,0.52, 1.22, 0.30,-0.12452, 0.87421, 0.35608, 0.30570,315.68, 141.45, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.72, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13317, 0.86655, 0.35182, 0.32800,315.81, 138.54, 0.00,0.47, 0.70, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.899000,8,start,0.52, 1.22, 0.30,-0.08688, 0.89777, 0.30752, 0.30316,0.47, 1.22, 0.26,-0.08688, 0.89777, 0.30752, 0.30316,0.49, 1.22, 0.28,-0.08688, 0.89777, 0.30752, 0.30316,0.52, 1.22, 0.30,-0.12452, 0.87421, 0.35608, 0.30570,315.68, 141.45, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.72, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13317, 0.86655, 0.35182, 0.32800,315.81, 138.54, 0.00,0.47, 0.70, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.912889,9,start,0.52, 1.22, 0.30,-0.08684, 0.89787, 0.30732, 0.30305,0.47, 1.22, 0.26,-0.08684, 0.89787, 0.30732, 0.30305,0.49, 1.22, 0.28,-0.08684, 0.89787, 0.30732, 0.30305,0.52, 1.22, 0.30,-0.12442, 0.87443, 0.35476, 0.30667,315.83, 141.35, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.72, 0.54,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13235, 0.86737, 0.35085, 0.32719,315.95, 138.67, 0.00,0.47, 0.70, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.927246,10,start,0.52, 1.22, 0.29,-0.08657, 0.89799, 0.30726, 0.30286,0.47, 1.22, 0.26,-0.08657, 0.89799, 0.30726, 0.30286,0.49, 1.22, 0.28,-0.08657, 0.89799, 0.30726, 0.30286,0.52, 1.22, 0.30,-0.12442, 0.87443, 0.35476, 0.30667,315.83, 141.35, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.62,-0.44, 0.72, 0.54,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13235, 0.86737, 0.35085, 0.32719,315.95, 138.67, 0.00,0.47, 0.70, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.941502,11,start,0.52, 1.22, 0.29,-0.08634, 0.89805, 0.30736, 0.30262,0.47, 1.22, 0.26,-0.08634, 0.89805, 0.30736, 0.30262,0.49, 1.22, 0.28,-0.08634, 0.89805, 0.30736, 0.30262,0.52, 1.22, 0.30,-0.12446, 0.87447, 0.35387, 0.30755,315.94, 141.25, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.72, 0.54,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13252, 0.86725, 0.34986, 0.32850,316.06, 138.51, 0.00,0.48, 0.69, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.954652,12,start,0.52, 1.22, 0.29,-0.08600, 0.89809, 0.30741, 0.30257,0.47, 1.22, 0.26,-0.08600, 0.89809, 0.30741, 0.30257,0.49, 1.22, 0.28,-0.08600, 0.89809, 0.30741, 0.30257,0.52, 1.22, 0.30,-0.12446, 0.87447, 0.35387, 0.30755,315.94, 141.25, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.72, 0.54,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13252, 0.86725, 0.34986, 0.32850,316.06, 138.51, 0.00,0.48, 0.69, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.969157,13,start,0.52, 1.22, 0.29,-0.08591, 0.89813, 0.30732, 0.30256,0.47, 1.22, 0.26,-0.08591, 0.89813, 0.30732, 0.30256,0.49, 1.22, 0.28,-0.08591, 0.89813, 0.30732, 0.30256,0.52, 1.22, 0.30,-0.12446, 0.87447, 0.35387, 0.30755,315.94, 141.25, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.72, 0.54,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13252, 0.86725, 0.34986, 0.32850,316.06, 138.51, 0.00,0.48, 0.69, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.983259,14,start,0.52, 1.22, 0.29,-0.08602, 0.89817, 0.30709, 0.30262,0.47, 1.22, 0.26,-0.08602, 0.89817, 0.30709, 0.30262,0.49, 1.22, 0.28,-0.08602, 0.89817, 0.30709, 0.30262,0.52, 1.22, 0.30,-0.12535, 0.87341, 0.35667, 0.30696,315.57, 141.27, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13335, 0.86633, 0.35270, 0.32755,315.70, 138.58, 0.00,0.47, 0.70, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:34.997617,15,start,0.52, 1.22, 0.29,-0.08607, 0.89821, 0.30699, 0.30261,0.47, 1.22, 0.26,-0.08607, 0.89821, 0.30699, 0.30261,0.49, 1.22, 0.28,-0.08607, 0.89821, 0.30699, 0.30261,0.52, 1.22, 0.30,-0.12535, 0.87341, 0.35667, 0.30696,315.57, 141.27, 0.00,0.45, 0.70, -0.56,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.47, 1.22, 0.26,-0.13335, 0.86633, 0.35270, 0.32755,315.70, 138.58, 0.00,0.47, 0.70, -0.54,-0.75, 0.00, -0.66,-0.46, 0.72, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:33:35.011293,16,start,0.52, 1.22, 0.29,-0.08639, 0.89829, 0.30667, 0.30259,0.47, 1.22, 0.26,-0.08639, 0.89829, 0.30667, 0.30259,0.49, 1.22, 0.28,-0.08639, 0.89829, 0.30667, 0.30259,0.52, 1.22, 0.29,-0.12654, 0.87225, 0.35768, 0.30859,315.41, 141.03, 0.00,0.45, 0.70, -0.55,-0.78, 0.00, -0.63,-0.44, 0.71, 0.55,TrackingSpace,0.9980469,0.46, 1.22, 0.26,-0.13403, 0.86563, 0.35392, 0.32783,315.53, 138.51, 0.00,0.47, 0.70, -0.53,-0.75, 0.00, -0.66,-0.46, 0.71, 0.52,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
