Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/13/2023 14:37:20.154510,0,start,1.14, 1.51, 0.55,0.00579, -0.99425, -0.10584, 0.01522,1.08, 1.51, 0.55,0.00579, -0.99425, -0.10584, 0.01522,1.11, 1.51, 0.55,0.00579, -0.99425, -0.10584, 0.01522,1.11, 1.51, 0.58,0.01151, 0.97046, 0.23632, -0.04727,332.63, 185.58, 0.00,-0.09, 0.46, -0.88,-1.00, 0.00, 0.10,0.04, 0.89, 0.46,TrackingSpace,0.9980469,1.04, 1.51, 0.58,0.00750, 0.97098, 0.23706, -0.03071,332.56, 183.62, 0.00,-0.06, 0.46, -0.89,-1.00, 0.00, 0.06,0.03, 0.89, 0.46,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.169650,1,start,1.15, 1.51, 0.54,0.00778, -0.99409, -0.10672, 0.01812,1.08, 1.51, 0.55,0.00778, -0.99409, -0.10672, 0.01812,1.12, 1.51, 0.55,0.00778, -0.99409, -0.10672, 0.01812,1.11, 1.51, 0.58,0.01151, 0.97046, 0.23632, -0.04727,332.63, 185.58, 0.00,-0.09, 0.46, -0.88,-1.00, 0.00, 0.10,0.04, 0.89, 0.46,TrackingSpace,0.9980469,1.04, 1.51, 0.58,0.00750, 0.97098, 0.23706, -0.03071,332.56, 183.62, 0.00,-0.06, 0.46, -0.89,-1.00, 0.00, 0.06,0.03, 0.89, 0.46,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.183176,2,start,1.16, 1.51, 0.54,0.00953, -0.99384, -0.10835, 0.02111,1.09, 1.50, 0.54,0.00953, -0.99384, -0.10835, 0.02111,1.12, 1.51, 0.54,0.00953, -0.99384, -0.10835, 0.02111,1.13, 1.51, 0.56,0.01414, 0.96797, 0.24434, -0.05603,331.67, 186.63, 0.00,-0.10, 0.47, -0.87,-0.99, 0.00, 0.12,0.05, 0.88, 0.47,TrackingSpace,0.9980469,1.06, 1.51, 0.56,0.00978, 0.96864, 0.24527, -0.03864,331.58, 184.57, 0.00,-0.07, 0.48, -0.88,-1.00, 0.00, 0.08,0.04, 0.88, 0.47,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.197346,3,start,1.16, 1.50, 0.53,0.01049, -0.99355, -0.11037, 0.02397,1.10, 1.50, 0.53,0.01049, -0.99355, -0.11037, 0.02397,1.13, 1.50, 0.53,0.01049, -0.99355, -0.11037, 0.02397,1.13, 1.51, 0.56,0.01414, 0.96797, 0.24434, -0.05603,331.67, 186.63, 0.00,-0.10, 0.47, -0.87,-0.99, 0.00, 0.12,0.05, 0.88, 0.47,TrackingSpace,0.9980469,1.06, 1.51, 0.56,0.00978, 0.96864, 0.24527, -0.03864,331.58, 184.57, 0.00,-0.07, 0.48, -0.88,-1.00, 0.00, 0.08,0.04, 0.88, 0.47,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.211640,4,start,1.17, 1.50, 0.53,0.01046, -0.99329, -0.11202, 0.02678,1.11, 1.50, 0.53,0.01046, -0.99329, -0.11202, 0.02678,1.14, 1.50, 0.53,0.01046, -0.99329, -0.11202, 0.02678,1.14, 1.51, 0.55,0.01639, 0.96678, 0.24687, -0.06419,331.35, 187.60, 0.00,-0.12, 0.48, -0.87,-0.99, 0.00, 0.13,0.06, 0.88, 0.48,TrackingSpace,0.9980469,1.08, 1.51, 0.55,0.01213, 0.96754, 0.24794, -0.04733,331.25, 185.60, 0.00,-0.09, 0.48, -0.87,-1.00, 0.00, 0.10,0.05, 0.88, 0.48,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.226199,5,start,1.18, 1.50, 0.52,0.01074, -0.99313, -0.11273, 0.02944,1.11, 1.50, 0.52,0.01074, -0.99313, -0.11273, 0.02944,1.15, 1.50, 0.52,0.01074, -0.99313, -0.11273, 0.02944,1.14, 1.51, 0.55,0.01639, 0.96678, 0.24687, -0.06419,331.35, 187.60, 0.00,-0.12, 0.48, -0.87,-0.99, 0.00, 0.13,0.06, 0.88, 0.48,TrackingSpace,0.9980469,1.08, 1.51, 0.55,0.01213, 0.96754, 0.24794, -0.04733,331.25, 185.60, 0.00,-0.09, 0.48, -0.87,-1.00, 0.00, 0.10,0.05, 0.88, 0.48,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.240242,6,start,1.19, 1.51, 0.51,0.01275, -0.99289, -0.11369, 0.03290,1.12, 1.50, 0.52,0.01275, -0.99289, -0.11369, 0.03290,1.15, 1.50, 0.51,0.01275, -0.99289, -0.11369, 0.03290,1.16, 1.50, 0.53,0.01887, 0.96502, 0.25127, -0.07246,330.81, 188.59, 0.00,-0.13, 0.49, -0.86,-0.99, 0.00, 0.15,0.07, 0.87, 0.48,TrackingSpace,0.9980469,1.10, 1.50, 0.54,0.01455, 0.96589, 0.25250, -0.05565,330.70, 186.60, 0.00,-0.10, 0.49, -0.87,-0.99, 0.00, 0.11,0.06, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.254182,7,start,1.19, 1.51, 0.51,0.01476, -0.99249, -0.11585, 0.03643,1.13, 1.51, 0.51,0.01476, -0.99249, -0.11585, 0.03643,1.16, 1.51, 0.51,0.01476, -0.99249, -0.11585, 0.03643,1.16, 1.50, 0.53,0.01887, 0.96502, 0.25127, -0.07246,330.81, 188.59, 0.00,-0.13, 0.49, -0.86,-0.99, 0.00, 0.15,0.07, 0.87, 0.48,TrackingSpace,0.9980469,1.10, 1.50, 0.54,0.01455, 0.96589, 0.25250, -0.05565,330.70, 186.60, 0.00,-0.10, 0.49, -0.87,-0.99, 0.00, 0.11,0.06, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.268836,8,start,1.20, 1.51, 0.50,0.01434, -0.99208, -0.11839, 0.03941,1.14, 1.51, 0.50,0.01434, -0.99208, -0.11839, 0.03941,1.17, 1.51, 0.50,0.01434, -0.99208, -0.11839, 0.03941,1.16, 1.50, 0.53,0.01887, 0.96502, 0.25127, -0.07246,330.81, 188.59, 0.00,-0.13, 0.49, -0.86,-0.99, 0.00, 0.15,0.07, 0.87, 0.48,TrackingSpace,0.9980469,1.10, 1.50, 0.54,0.01455, 0.96589, 0.25250, -0.05565,330.70, 186.60, 0.00,-0.10, 0.49, -0.87,-0.99, 0.00, 0.11,0.06, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.282988,9,start,1.21, 1.51, 0.49,0.01439, -0.99167, -0.12032, 0.04358,1.14, 1.51, 0.50,0.01439, -0.99167, -0.12032, 0.04358,1.18, 1.51, 0.49,0.01439, -0.99167, -0.12032, 0.04358,1.18, 1.50, 0.52,0.02139, 0.96365, 0.25360, -0.08129,330.51, 189.64, 0.00,-0.15, 0.49, -0.86,-0.99, 0.00, 0.17,0.08, 0.87, 0.49,TrackingSpace,0.9980469,1.12, 1.50, 0.52,0.01746, 0.96455, 0.25488, -0.06608,330.40, 187.84, 0.00,-0.12, 0.49, -0.86,-0.99, 0.00, 0.14,0.07, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.296659,10,start,1.21, 1.51, 0.49,0.01467, -0.99130, -0.12186, 0.04756,1.15, 1.51, 0.49,0.01467, -0.99130, -0.12186, 0.04756,1.18, 1.51, 0.49,0.01467, -0.99130, -0.12186, 0.04756,1.18, 1.50, 0.52,0.02139, 0.96365, 0.25360, -0.08129,330.51, 189.64, 0.00,-0.15, 0.49, -0.86,-0.99, 0.00, 0.17,0.08, 0.87, 0.49,TrackingSpace,0.9980469,1.12, 1.50, 0.52,0.01746, 0.96455, 0.25488, -0.06608,330.40, 187.84, 0.00,-0.12, 0.49, -0.86,-0.99, 0.00, 0.14,0.07, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.310691,11,start,1.22, 1.51, 0.48,0.01388, -0.99101, -0.12290, 0.05107,1.16, 1.51, 0.48,0.01388, -0.99101, -0.12290, 0.05107,1.19, 1.51, 0.48,0.01388, -0.99101, -0.12290, 0.05107,1.20, 1.51, 0.50,0.02515, 0.96181, 0.25562, -0.09462,330.23, 191.24, 0.00,-0.17, 0.50, -0.85,-0.98, 0.00, 0.19,0.10, 0.87, 0.49,TrackingSpace,0.9980469,1.13, 1.51, 0.51,0.02149, 0.96281, 0.25700, -0.08050,330.11, 189.56, 0.00,-0.14, 0.50, -0.85,-0.99, 0.00, 0.17,0.08, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.324739,12,start,1.23, 1.51, 0.47,0.01364, -0.99074, -0.12336, 0.05505,1.17, 1.51, 0.48,0.01364, -0.99074, -0.12336, 0.05505,1.20, 1.51, 0.48,0.01364, -0.99074, -0.12336, 0.05505,1.20, 1.51, 0.50,0.02515, 0.96181, 0.25562, -0.09462,330.23, 191.24, 0.00,-0.17, 0.50, -0.85,-0.98, 0.00, 0.19,0.10, 0.87, 0.49,TrackingSpace,0.9980469,1.13, 1.51, 0.51,0.02149, 0.96281, 0.25700, -0.08050,330.11, 189.56, 0.00,-0.14, 0.50, -0.85,-0.99, 0.00, 0.17,0.08, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.338504,13,start,1.24, 1.51, 0.47,0.01392, -0.99050, -0.12338, 0.05917,1.17, 1.51, 0.47,0.01392, -0.99050, -0.12338, 0.05917,1.21, 1.51, 0.47,0.01392, -0.99050, -0.12338, 0.05917,1.20, 1.51, 0.50,0.02515, 0.96181, 0.25562, -0.09462,330.23, 191.24, 0.00,-0.17, 0.50, -0.85,-0.98, 0.00, 0.19,0.10, 0.87, 0.49,TrackingSpace,0.9980469,1.13, 1.51, 0.51,0.02149, 0.96281, 0.25700, -0.08050,330.11, 189.56, 0.00,-0.14, 0.50, -0.85,-0.99, 0.00, 0.17,0.08, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.351945,14,start,1.24, 1.52, 0.46,0.01441, -0.99038, -0.12204, 0.06355,1.18, 1.51, 0.47,0.01441, -0.99038, -0.12204, 0.06355,1.21, 1.51, 0.46,0.01441, -0.99038, -0.12204, 0.06355,1.22, 1.51, 0.48,0.02901, 0.96000, 0.25646, -0.10859,330.09, 192.91, 0.00,-0.19, 0.50, -0.84,-0.97, 0.00, 0.22,0.11, 0.87, 0.49,TrackingSpace,0.9980469,1.15, 1.51, 0.49,0.02416, 0.96153, 0.25846, -0.08987,329.91, 190.68, 0.00,-0.16, 0.50, -0.85,-0.98, 0.00, 0.19,0.09, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.366550,15,start,1.25, 1.52, 0.45,0.01592, -0.99025, -0.12049, 0.06807,1.19, 1.51, 0.46,0.01592, -0.99025, -0.12049, 0.06807,1.22, 1.51, 0.46,0.01592, -0.99025, -0.12049, 0.06807,1.22, 1.51, 0.48,0.02901, 0.96000, 0.25646, -0.10859,330.09, 192.91, 0.00,-0.19, 0.50, -0.84,-0.97, 0.00, 0.22,0.11, 0.87, 0.49,TrackingSpace,0.9980469,1.15, 1.51, 0.49,0.02416, 0.96153, 0.25846, -0.08987,329.91, 190.68, 0.00,-0.16, 0.50, -0.85,-0.98, 0.00, 0.19,0.09, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
08/13/2023 14:37:20.380650,16,start,1.26, 1.52, 0.45,0.01748, -0.99001, -0.11972, 0.07246,1.20, 1.51, 0.45,0.01748, -0.99001, -0.11972, 0.07246,1.23, 1.52, 0.45,0.01748, -0.99001, -0.11972, 0.07246,1.23, 1.51, 0.47,0.03275, 0.95827, 0.25621, -0.12249,330.06, 194.57, 0.00,-0.22, 0.50, -0.84,-0.97, 0.00, 0.25,0.13, 0.87, 0.48,TrackingSpace,0.9980469,1.17, 1.51, 0.48,0.02836, 0.95989, 0.25823, -0.10543,329.89, 192.54, 0.00,-0.19, 0.50, -0.84,-0.98, 0.00, 0.22,0.11, 0.87, 0.49,TrackingSpace,0.9980469,1.00, 2.00, -0.31,0.00000, 0.00000, 0.00000, 1.00000
