Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
08/03/2023 18:43:06.912510,0,start,-0.38, 1.09, 1.82,-0.02642, -0.93176, -0.04742, 0.35899,-0.43, 1.09, 1.86,-0.02642, -0.93176, -0.04742, 0.35899,-0.40, 1.09, 1.84,-0.02642, -0.93176, -0.04742, 0.35899,-0.38, 1.08, 1.82,0.01869, 0.93366, 0.04926, -0.35426,353.96, 221.56, 0.00,-0.66, 0.11, -0.74,-0.75, 0.00, 0.66,0.07, 0.99, 0.08,TrackingSpace,0.9980469,-0.43, 1.08, 1.86,0.01742, 0.94166, 0.04934, -0.33246,354.00, 218.89, 0.00,-0.62, 0.10, -0.77,-0.78, 0.00, 0.63,0.07, 0.99, 0.08,TrackingSpace,0.9980469,-1.23, 1.21, 0.92,-0.02486, -0.93208, -0.04627, 0.35843
08/03/2023 18:43:06.920594,1,start,-0.38, 1.09, 1.82,-0.02854, -0.93145, -0.04933, 0.35938,-0.43, 1.09, 1.86,-0.02854, -0.93145, -0.04933, 0.35938,-0.40, 1.09, 1.84,-0.02854, -0.93145, -0.04933, 0.35938,-0.38, 1.08, 1.82,0.01829, 0.93528, 0.04886, -0.35006,354.02, 221.04, 0.00,-0.65, 0.10, -0.75,-0.75, 0.00, 0.66,0.07, 0.99, 0.08,TrackingSpace,0.9980469,-0.43, 1.08, 1.86,0.01720, 0.94206, 0.04889, -0.33142,354.06, 218.76, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.63,0.06, 0.99, 0.08,TrackingSpace,0.9980469,-1.24, 1.22, 0.92,-0.02646, -0.93178, -0.04752, 0.35893
08/03/2023 18:43:06.941645,2,start,-0.38, 1.09, 1.82,-0.02911, -0.93150, -0.05011, 0.35910,-0.43, 1.09, 1.86,-0.02911, -0.93150, -0.05011, 0.35910,-0.40, 1.09, 1.84,-0.02911, -0.93150, -0.05011, 0.35910,-0.38, 1.08, 1.82,0.01829, 0.93528, 0.04886, -0.35006,354.02, 221.04, 0.00,-0.65, 0.10, -0.75,-0.75, 0.00, 0.66,0.07, 0.99, 0.08,TrackingSpace,0.9980469,-0.43, 1.08, 1.86,0.01720, 0.94206, 0.04889, -0.33142,354.06, 218.76, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.63,0.06, 0.99, 0.08,TrackingSpace,0.9980469,-1.24, 1.23, 0.92,-0.02859, -0.93145, -0.04936, 0.35936
08/03/2023 18:43:06.957966,3,start,-0.38, 1.09, 1.82,-0.02967, -0.93151, -0.05046, 0.35897,-0.43, 1.09, 1.86,-0.02967, -0.93151, -0.05046, 0.35897,-0.40, 1.09, 1.84,-0.02967, -0.93151, -0.05046, 0.35897,-0.38, 1.08, 1.82,0.01721, 0.93590, 0.04616, -0.34881,354.35, 220.88, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.06, 1.00, 0.07,TrackingSpace,0.9980469,-0.43, 1.08, 1.86,0.01622, 0.94228, 0.04615, -0.33123,354.39, 218.73, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.63,0.06, 1.00, 0.08,TrackingSpace,0.9980469,-1.23, 1.23, 0.92,-0.02910, -0.93151, -0.05014, 0.35907
08/03/2023 18:43:06.980083,4,start,-0.38, 1.09, 1.82,-0.02996, -0.93166, -0.05037, 0.35858,-0.43, 1.09, 1.86,-0.02996, -0.93166, -0.05037, 0.35858,-0.40, 1.09, 1.84,-0.02996, -0.93166, -0.05037, 0.35858,-0.38, 1.08, 1.82,0.01721, 0.93590, 0.04616, -0.34881,354.35, 220.88, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.06, 1.00, 0.07,TrackingSpace,0.9980469,-0.43, 1.08, 1.86,0.01622, 0.94228, 0.04615, -0.33123,354.39, 218.73, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.63,0.06, 1.00, 0.08,TrackingSpace,0.9980469,-1.23, 1.23, 0.92,-0.02960, -0.93163, -0.05014, 0.35870
08/03/2023 18:43:06.997671,5,start,-0.38, 1.09, 1.82,-0.02999, -0.93179, -0.04999, 0.35828,-0.43, 1.09, 1.86,-0.02999, -0.93179, -0.04999, 0.35828,-0.40, 1.09, 1.84,-0.02999, -0.93179, -0.04999, 0.35828,-0.38, 1.08, 1.82,0.01725, 0.93595, 0.04630, -0.34865,354.34, 220.86, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.06, 1.00, 0.07,TrackingSpace,0.9980469,-0.43, 1.09, 1.86,0.01610, 0.94330, 0.04625, -0.32831,354.39, 218.38, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.62,0.06, 1.00, 0.08,TrackingSpace,0.9980469,-1.23, 1.23, 0.92,-0.02964, -0.93174, -0.04997, 0.35845
08/03/2023 18:43:07.014589,6,start,-0.38, 1.09, 1.82,-0.03001, -0.93193, -0.04940, 0.35799,-0.43, 1.09, 1.86,-0.03001, -0.93193, -0.04940, 0.35799,-0.40, 1.09, 1.84,-0.03001, -0.93193, -0.04940, 0.35799,-0.38, 1.08, 1.82,0.01762, 0.93589, 0.04730, -0.34866,354.21, 220.86, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.07, 0.99, 0.08,TrackingSpace,0.9980469,-0.43, 1.09, 1.86,0.01660, 0.94228, 0.04724, -0.33108,354.26, 218.72, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.63,0.06, 0.99, 0.08,TrackingSpace,0.9980469,-1.23, 1.23, 0.92,-0.02993, -0.93181, -0.04992, 0.35825
08/03/2023 18:43:07.031384,7,start,-0.38, 1.09, 1.82,-0.03010, -0.93216, -0.04856, 0.35750,-0.43, 1.09, 1.86,-0.03010, -0.93216, -0.04856, 0.35750,-0.40, 1.09, 1.84,-0.03010, -0.93216, -0.04856, 0.35750,-0.38, 1.08, 1.82,0.01762, 0.93589, 0.04730, -0.34866,354.21, 220.86, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.07, 0.99, 0.08,TrackingSpace,0.9980469,-0.43, 1.09, 1.86,0.01660, 0.94228, 0.04724, -0.33108,354.26, 218.72, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.63,0.06, 0.99, 0.08,TrackingSpace,0.9980469,-1.23, 1.23, 0.92,-0.02997, -0.93197, -0.04929, 0.35793
08/03/2023 18:43:07.048034,8,start,-0.38, 1.09, 1.82,-0.02990, -0.93239, -0.04807, 0.35701,-0.43, 1.09, 1.86,-0.02990, -0.93239, -0.04807, 0.35701,-0.40, 1.09, 1.84,-0.02990, -0.93239, -0.04807, 0.35701,-0.38, 1.08, 1.82,0.01687, 0.93622, 0.04539, -0.34807,354.45, 220.79, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.06, 1.00, 0.07,TrackingSpace,0.9980469,-0.43, 1.09, 1.86,0.01579, 0.94314, 0.04527, -0.32891,354.50, 218.45, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.62,0.06, 1.00, 0.08,TrackingSpace,0.9980469,-1.23, 1.23, 0.92,-0.03000, -0.93217, -0.04850, 0.35751
08/03/2023 18:43:07.064527,9,start,-0.38, 1.08, 1.82,-0.02980, -0.93263, -0.04749, 0.35646,-0.43, 1.09, 1.86,-0.02980, -0.93263, -0.04749, 0.35646,-0.40, 1.09, 1.84,-0.02980, -0.93263, -0.04749, 0.35646,-0.38, 1.08, 1.82,0.01687, 0.93622, 0.04539, -0.34807,354.45, 220.79, 0.00,-0.65, 0.10, -0.75,-0.76, 0.00, 0.65,0.06, 1.00, 0.07,TrackingSpace,0.9980469,-0.43, 1.09, 1.86,0.01579, 0.94314, 0.04527, -0.32891,354.50, 218.45, 0.00,-0.62, 0.10, -0.78,-0.78, 0.00, 0.62,0.06, 1.00, 0.08,TrackingSpace,0.9980469,-1.23, 1.22, 0.91,-0.02986, -0.93240, -0.04807, 0.35697
