,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-07-31 18:18:40,sydney_pilot_2,calibration,3.0190488826023647,3.1951515682671503,3.4228811566049027,0.5809674304289927,
2023-07-31 18:19:26,sydney_pilot_2,calibration,2.621458833981578,2.769162576608452,3.2227136426928005,0.6420688577496925,
2023-08-03 18:43:06,sydney_pilot_2,calibration,1.6837478508664494,2.170830389786908,3.479335897793767,0.5408091546646001,
2023-08-03 19:31:27,sydney_pilot_2,calibration,1.7850325960079452,1.885985104920864,3.5185023300994285,0.7239492161970736,
2023-07-31 18:20:09,sydney_pilot_2,screenStabilized_headConstrained,2.1308496186105366,2.2266546636220337,,,0.357789792637671
2023-07-31 18:21:48,sydney_pilot_2,screenStabilized_headConstrained,2.1331027133647575,2.24352572596336,,,0.5081843025012767
2023-07-31 18:25:21,sydney_pilot_2,screenStabilized_walking,2.638264688748082,3.9607251238061134,,,
2023-07-31 18:23:34,sydney_pilot_2,worldStabilized_bodyConstrained,1.2806003478009962,1.4232922711769318,,,
2023-07-31 18:32:35,sydney_pilot_2,worldStabilized_sphere,2.8642608504598313,3.628530871917644,,,
2023-07-31 18:28:42,sydney_pilot_2,worldStabilized_sphere_VR,2.7873156887011854,3.475532866808649,,,
2023-07-31 18:26:53,sydney_pilot_2,worldStabilized_walking,3.971115993603299,6.356281341666696,,,
