,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Expected Visual Angle_x,Expected Visual Angle_y,Actual Visual Angle_x,Actual Visual Angle_y,Cosine Similarity,Euclidean Error
0,06/23/2023 21:18:22.721426,228,static,-0.1,1.05,-0.29,-0.04068,0.66239,0.03519,0.74723,-0.09,1.05,-0.34,-0.04068,0.66239,0.03519,0.74723,-0.1,1.05,-0.31,-0.04068,0.66239,0.03519,0.74723,-0.1,1.05,-0.28,-0.15303,0.65223,0.13678,0.72971,336.31,83.58,0.0,0.91,0.4,0.1,0.11,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15459,0.64374,0.13499,0.73721,336.31,82.26,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.54,75.05,19.97,-0.04042,0.66243,0.03513,0.74721,3.1360940188220328,2.4702611071745197,0.07561785244384611,1.0,0.0,-168.64,-74.0,-20.279999999999998,-3.231094018822033,-1.4202611071745197,-0.3906178524438461,-1.6904777756985998,-1.838282886772206,-1.6911058499689098,-1.839192680099864,0.0035206017570751564,101.18214505914709
1,06/23/2023 21:18:22.735842,229,static,-0.1,1.05,-0.29,-0.04071,0.66236,0.03518,0.74725,-0.09,1.05,-0.34,-0.04071,0.66236,0.03518,0.74725,-0.1,1.05,-0.31,-0.04071,0.66236,0.03518,0.74725,-0.1,1.05,-0.28,-0.15318,0.65223,0.13693,0.72964,336.29,83.59,0.0,0.91,0.4,0.1,0.11,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15475,0.64374,0.13514,0.73715,336.29,82.26,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.51,75.13,19.97,-0.04068,0.6624,0.03519,0.74722,3.1360940188220328,2.4702611071745197,0.07561785244384611,1.0,0.0,-168.60999999999999,-74.08,-20.279999999999998,-3.231094018822033,-1.4202611071745197,-0.3906178524438461,-1.6904988672532497,-1.8380075863582555,-1.6911058499689098,-1.839192680099864,0.008152397097538486,101.17436346526301
2,06/23/2023 21:18:22.749285,230,static,-0.1,1.05,-0.29,-0.04092,0.66235,0.03529,0.74725,-0.09,1.05,-0.34,-0.04092,0.66235,0.03529,0.74725,-0.1,1.05,-0.31,-0.04092,0.66235,0.03529,0.74725,-0.1,1.05,-0.28,-0.15304,0.65222,0.13679,0.72971,336.31,83.58,0.0,0.91,0.4,0.1,0.11,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15461,0.64373,0.135,0.73721,336.31,82.25,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.5,75.14,19.98,-0.04072,0.66236,0.03519,0.74725,3.1360940188220328,2.4702611071745197,0.07561785244384611,1.0,0.0,-168.6,-74.09,-20.29,-3.231094018822033,-1.4202611071745197,-0.3906178524438461,-1.6905643650744633,-1.8380987717415485,-1.6911058499689098,-1.839192680099864,0.007842199793185702,101.17896702377874
3,06/23/2023 21:18:22.763397,231,static,-0.1,1.05,-0.29,-0.04114,0.66242,0.0351,0.74718,-0.09,1.05,-0.34,-0.04114,0.66242,0.0351,0.74718,-0.1,1.05,-0.31,-0.04114,0.66242,0.0351,0.74718,-0.1,1.05,-0.28,-0.15341,0.6521,0.13709,0.72968,336.25,83.57,0.0,0.91,0.4,0.1,0.11,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15498,0.6436,0.1353,0.73719,336.26,82.25,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.48,75.2,19.97,-0.04089,0.66235,0.03525,0.74725,3.1360940188220328,2.4702611071745197,0.07561785244384611,1.0,0.0,-168.57999999999998,-74.15,-20.279999999999998,-3.231094018822033,-1.4202611071745197,-0.3906178524438461,-1.6905199662076131,-1.8377671518491476,-1.6911058499689098,-1.839192680099864,0.012243396078842483,101.1676431399274
4,06/23/2023 21:18:22.777146,232,static,-0.1,1.05,-0.29,-0.04129,0.66242,0.03505,0.74717,-0.09,1.05,-0.34,-0.04129,0.66242,0.03505,0.74717,-0.1,1.05,-0.31,-0.04129,0.66242,0.03505,0.74717,-0.1,1.05,-0.28,-0.15337,0.65223,0.13711,0.72958,336.26,83.59,0.0,0.91,0.4,0.1,0.11,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15494,0.64373,0.13532,0.73708,336.26,82.26,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.48,75.22,19.89,-0.04114,0.66243,0.03506,0.74717,3.1360940188220328,2.4702611071745197,0.07561785244384611,1.0,0.0,-168.57999999999998,-74.17,-20.2,-3.231094018822033,-1.4202611071745197,-0.3906178524438461,-1.6900521574487737,-1.836694684448026,-1.6911058499689098,-1.839192680099864,0.021007204173774233,101.12195953165936
5,06/23/2023 21:18:22.790538,233,static,-0.1,1.05,-0.29,-0.04132,0.66247,0.035,0.74713,-0.09,1.05,-0.34,-0.04132,0.66247,0.035,0.74713,-0.1,1.05,-0.31,-0.04132,0.66247,0.035,0.74713,-0.1,1.05,-0.28,-0.153,0.65542,0.13801,0.72661,336.22,84.1,0.0,0.91,0.4,0.09,0.1,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.1552,0.64375,0.13557,0.73696,336.22,82.28,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.47,75.24,19.87,-0.04126,0.66244,0.03501,0.74716,2.057665890766688,1.9962267651721706,-0.06654640218602553,1.0,0.0,-168.57,-74.19,-20.18,-2.1526658907666882,-0.9462267651721705,-0.24845359781397447,-1.6899421979806737,-1.8363753440955368,-1.6857045972243487,-1.8275729475447873,0.0655035317790731,101.11630885673182
6,06/23/2023 21:18:22.804501,234,static,-0.1,1.05,-0.29,-0.04134,0.66252,0.03499,0.74709,-0.09,1.05,-0.34,-0.04134,0.66252,0.03499,0.74709,-0.1,1.05,-0.32,-0.04134,0.66252,0.03499,0.74709,-0.1,1.05,-0.28,-0.15303,0.65541,0.13803,0.72661,336.21,84.1,0.0,0.91,0.4,0.09,0.1,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15523,0.64374,0.13559,0.73696,336.21,82.27,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.47,75.25,19.84,-0.04131,0.66248,0.03502,0.74712,2.057665890766688,1.9962267651721706,-0.06654640218602553,1.0,0.0,-168.57,-74.2,-20.16,-2.1526658907666882,-0.9462267651721705,-0.24845359781397447,-1.689825227569819,-1.8360902159068793,-1.6857045972243487,-1.8275729475447873,0.06304654899721232,101.09903344645865
7,06/23/2023 21:18:22.818564,235,static,-0.1,1.05,-0.29,-0.04129,0.66258,0.03506,0.74703,-0.09,1.05,-0.34,-0.04129,0.66258,0.03506,0.74703,-0.1,1.05,-0.32,-0.04129,0.66258,0.03506,0.74703,-0.1,1.05,-0.28,-0.15171,0.6558,0.1369,0.72676,336.42,84.12,0.0,0.91,0.4,0.09,0.1,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.1539,0.64414,0.13449,0.73709,336.41,82.3,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.47,75.26,19.82,-0.04133,0.66253,0.03502,0.74707,2.057665890766688,1.9962267651721706,-0.06654640218602553,1.0,0.0,-168.57,-74.21000000000001,-20.14,-2.1526658907666882,-0.9462267651721705,-0.24845359781397447,-1.6897082538862775,-1.8358051203957653,-1.6857045972243487,-1.8275729475447873,0.060589560494570475,101.08717402544126
8,06/23/2023 21:18:22.831902,236,static,-0.1,1.05,-0.29,-0.04126,0.66261,0.03515,0.747,-0.09,1.05,-0.34,-0.04126,0.66261,0.03515,0.747,-0.1,1.05,-0.32,-0.04126,0.66261,0.03515,0.747,-0.1,1.05,-0.28,-0.15169,0.65579,0.13688,0.72677,336.42,84.12,0.0,0.91,0.4,0.09,0.1,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15388,0.64414,0.13447,0.7371,336.42,82.3,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.47,75.26,19.82,-0.04129,0.66256,0.03509,0.74705,2.057665890766688,1.9962267651721706,-0.06654640218602553,1.0,0.0,-168.57,-74.21000000000001,-20.14,-2.1526658907666882,-0.9462267651721705,-0.24845359781397447,-1.6897082538862775,-1.8358051203957653,-1.6857045972243487,-1.8275729475447873,0.060589560494570475,101.08717402544126
9,06/23/2023 21:18:22.846406,237,static,-0.1,1.05,-0.29,-0.04126,0.66263,0.03521,0.74698,-0.09,1.05,-0.34,-0.04126,0.66263,0.03521,0.74698,-0.1,1.05,-0.32,-0.04126,0.66263,0.03521,0.74698,-0.1,1.05,-0.28,-0.15168,0.65582,0.13687,0.72675,336.42,84.13,0.0,0.91,0.4,0.09,0.1,0.0,-0.99,-0.4,0.92,-0.04,WorldSpace,0.9980469,-0.09,1.05,-0.35,-0.15387,0.64417,0.13447,0.73708,336.42,82.3,0.0,0.91,0.4,0.12,0.13,0.0,-0.99,-0.4,0.92,-0.05,WorldSpace,0.9980469,168.46,75.27,19.8,-0.04127,0.6626,0.03515,0.74701,2.057665890766688,1.9962267651721706,-0.06654640218602553,1.0,0.0,-168.56,-74.22,-20.12,-2.1526658907666882,-0.9462267651721705,-0.24845359781397447,-1.6895982584447655,-1.8355200576029138,-1.6857045972243487,-1.8275729475447873,0.05801459704762661,101.07550978751252
